command,text_orig,key,is_skippable,fit_mode,time,intro,volume,a,r,g,b,fadetime,block,image,screenadapt,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,,avg_npc_094,avg_npc_078,1,,,,,,,36,,,,False
name,那让他们来吧，让他们杀了我们吧！,,,,,,,,,,,,,,,感染者,,,,,,,,,37,那让他们来吧，让他们杀了我们吧！,なら来させろ、殺してみろ！,感染者,True
name,我们在这么偏的地方建了个几乎不能住人的村子，他们还要来！那就只能让他们来了！,,,,,,,,,,,,,,,感染者,,,,,,,,,38,我们在这么偏的地方建了个几乎不能住人的村子，他们还要来！那就只能让他们来了！,私たちはこんな辺鄙な場所にほとんど住めない村を作ったのに、彼らはまだ来ようとしています！それなら、彼らを来させるしかありませんね！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_078,,,,,,,,,39,,,,False
name,先生，你可以藏好，让我和他们说话。或者我藏起来......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,40,先生，你可以藏好，让我和他们说话。或者我藏起来......,先生、あなたは隠れていてください。私が彼らと話をします。あるいは、私が隠れるかもしれません……。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_094,,,,,,,,,41,,,,False
name,你又是谁？我说了，你们这种军官贵族，不论装成什么样！都只是想要我们把命——,,,,,,,,,,,,,,,感染者,,,,,,,,,42,你又是谁？我说了，你们这种军官贵族，不论装成什么样！都只是想要我们把命——,お前は誰だ？言っただろう、君たちのような軍官貴族は、どんなふうに装っていても、ただ私たちの命を――,感染者,True
name,哈，你可能和他们不一样，因为你居然愿意和我们说话！他们可是连用鞭子抽我们都嫌烦！,,,,,,,,,,,,,,,感染者,,,,,,,,,43,哈，你可能和他们不一样，因为你居然愿意和我们说话！他们可是连用鞭子抽我们都嫌烦！,はあ、君は彼らと違うかもしれないね、だって君は私たちと話をしてくれるなんて！彼らは鞭で叩くのすら面倒だと思っているんだから！,感染者,True
name,嗯？人呢？,,,,,,,,,,,,,,,感染者,,,,,,,,,44,嗯？人呢？,ん？人はどこだ？,感染者,True
name,消失了......？,,,,,,,,,,,,,,,感染者,,,,,,,,,45,消失了......？,消えた……？,感染者,True
name,这又是什么骗局？哎......我们的命......,,,,,,,,,,,,,,,感染者,,,,,,,,,46,这又是什么骗局？哎......我们的命......,これはまたどういう詐欺なのでしょうか？ああ……私たちの命が……,感染者,True
name,我们的命也就这点程度。,,,,,,,,,,,,,,,感染者,,,,,,,,,47,我们的命也就这点程度。,私たちの命はこんな程度のものです。,感染者,True
stopmusic,,,,,,,,,,,,3,,,,,,,,,,,,,48,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,51,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,52,,,,False
character,,,,,,,,,,,,1,true,,,avg_npc_082,,,,,,,,,53,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,54,,,,False
name,对自己的命有认知也是好事。,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,55,对自己的命有认知也是好事。,自分の命を認識することも良いことです。,感染者巡回隊,True
playmusic,,$nervous_loop,,,,$nervous_intro,0.4,,,,,,,,,,,,,,,,,,56,,,,False
character,,,,,,,,,,,,,,,,avg_npc_094,,,,,,,,,57,,,,False
name,啊......纠察队老爷......,,,,,,,,,,,,,,,感染者,,,,,,,,,58,啊......纠察队老爷......,ああ……巡回隊の皆さま……です。,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,59,,,,False
name,......又穷又破。体格也很差。送军队矿场去也没什么油水赚。,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,60,......又穷又破。体格也很差。送军队矿场去也没什么油水赚。,……貧しくてぼろぼろです。体格もとても悪いです。軍隊の鉱山に送っても稼ぎはあまりありません。,感染者巡回隊,True
name,你是要怎么个死法？痛快的还是慢慢的？,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,61,你是要怎么个死法？痛快的还是慢慢的？,あなたはどんな死に方を望みますか？すっきりした死に方、それともゆっくりした死に方ですか？,感染者巡回隊,True
character,,,,,,,,,,,,,,,,avg_npc_094,,,,,,,,,62,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,0.5,0,20,20,20,true,63,,,,False
name,......老爷！你看我这样，留我一命对你们没什么坏处！,,,,,,,,,,,,,,,感染者,,,,,,,,,64,......老爷！你看我这样，留我一命对你们没什么坏处！,……ご主人様！私のこの様子を見てください。命を助けていただいても、あなた方に何の害もありません！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,65,,,,False
name,手上拿着武器，还在说这个？,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,66,手上拿着武器，还在说这个？,手に武器を持っていて、まだこんなことを言うのですか？,感染者巡察隊,True
character,,,,,,,,,,,,,,,,avg_npc_094,,,,,,,,,67,,,,False
camerashake,,,,,,,,,,,,,false,,,,,,0.5,0,20,20,20,true,68,,,,False
name,......对不起，老爷！这是用来对付刚才那个家伙的！她现在不知道跑哪去了......,,,,,,,,,,,,,,,感染者,,,,,,,,,69,,,,False
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,70,,,,False
name,感染者比驮兽还不如。驮兽还能装运货物，你们活着只是浪费陛下的土地！,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,71,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,False
character,,,,,,,,,,,,1,true,,,avg_npc_078,,,,,,,,,74,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,75,,,,False
name,为什么？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,76,,,,False
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,77,,,,False
name,——,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,78,,,,False
name,你是哪来的？,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,79,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078,,,,,,,,,80,,,,False
name,从很远的东方来的。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,81,,,,False
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,82,,,,False
name,说什么东西......你，也是感染者？,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,83,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078,,,,,,,,,84,,,,False
name,是。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,85,,,,False
name,我能思想，也能说话。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,86,,,,False
name,我们感染者有生有死，这生死为什么要你来定？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,87,,,,False
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,88,,,,False
name,说什么！,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,89,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078#4,,,,,,,,,90,,,,False
name,如果能给我们一个安稳的场合自行死去，我们甚至都不会有这么愤怒......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,91,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078#5,,,,,,,,,92,,,,False
name,但是，感染者兄弟，抬起头来看看！看看他的眼神，他的嘴，他的笑！,,,,,,,,,,,,,,,塔露拉,,,,,,,,,93,,,,False
name,他们想决定我们怎么死，他们想操控我们。也许我们的命不值几个钱，但你难道就能值一枚金币？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,94,,,,False
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,95,,,,False
name,你！,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,96,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078#4,,,,,,,,,97,,,,False
name,兄弟，在他们以前的暴行里，他们有因为谁态度好就放过谁吗，有因为别人做得对就让他们活吗？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,98,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078#5,,,,,,,,,99,,,,False
name,不对！他们以前让你们活着，只是因为你们还有油水可榨！,,,,,,,,,,,,,,,塔露拉,,,,,,,,,100,,,,False
name,当你们没了钱没了土地，他们就会把你们一脚踢开，因为在城市里，感染者甚至都不能活下去！,,,,,,,,,,,,,,,塔露拉,,,,,,,,,101,,,,False
name,我们感染者，怎么活，怎么死，只该我们自己决定！,,,,,,,,,,,,,,,塔露拉,,,,,,,,,102,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078#5,avg_npc_094,2,,,,,,,103,,,,False
name,......！,,,,,,,,,,,,,,,感染者,,,,,,,,,104,,,,False
name,你......究竟是谁？,,,,,,,,,,,,,,,感染者,,,,,,,,,105,,,,False
character,,,,,,,,,,,,,,,,avg_npc_082,,,,,,,,,106,,,,False
name,混账东西！你叫什么名字......,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,107,,,,False
name,以皇帝的名义！居然用这些歪理邪说蛊惑他的子民，我们这就处死你！,,,,,,,,,,,,,,,感染者纠察队,,,,,,,,,108,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078,,,,,,,,,109,,,,False
name,对于兄弟们，我是没有名字的。你们想怎么叫我都可以，如果一定要叫名字，你们可以叫我塔露拉。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,110,,,,False
name,对于敌人，你们不需要知道我的名字。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,111,,,,False
name,但我的火会点燃你们。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,112,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,False
blocker,,,,,,,,,,,,3,true,,,,,,,,,,,,114,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,False
