command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,screenadapt,time,intro,volume,crossfade,delay,a,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,不过，我认识你身边那个人。,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,不过，我认识你身边那个人。,でも、あなたのそばのあの人なら知っているよ。,？？？,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
name,整合运动......还要，继续战斗吗？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,整合运动......还要，继续战斗吗？,インテグラ運動……まだ、戦うつもりなの？,アーミヤ,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,36,,,,False
name,唉唉，别这样。,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,唉唉，别这样。,あぁ、そんな顔しないで。,？？？,True
name,我和那个塔露拉龙女可合不来。毕竟我并不是专职守门的人啊。做完了自己的工作赶过来也是很累的！,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,我和那个塔露拉龙女可合不来。毕竟我并不是专职守门的人啊。做完了自己的工作赶过来也是很累的！,私はあのタルラのドラゴン娘とは仲良くないし、門番じゃないからね。自分の仕事を済ませて駆けつけるのも疲れるんだよ！,？？？,True
name,为了搞好关系，我们互换姓名吧？,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,为了搞好关系，我们互换姓名吧？,仲良くするために、名前を交換しない？,？？？,True
name,你可以叫我——W。,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,你可以叫我——W。,私のことは――Wと呼んで。,？？？,True
name,为了见你身边那个人，我在这里可是等了好久呢。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,为了见你身边那个人，我在这里可是等了好久呢。,あなたのそばのあの人に会うために、ここでずっと待っていたんだ。,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,——博士？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,——博士？,――ドクター？,アーミヤ,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,44,,,,False
name,Dr.{@Nickname}......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,Dr.{@Nickname}......,ドクター{@Nickname}……,W,True
name,我有些问题想要问问{@Nickname}，能不能请各位把他......直接送给我呢？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,我有些问题想要问问{@Nickname}，能不能请各位把他......直接送给我呢？,{@Nickname}にちょっと聞きたいことがあるんだけど、そちらの方……私に引き渡してくれない？,W,True
stopmusic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
character,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
name,你在浪费你自己的时间。,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,你在浪费你自己的时间。,自分の時間を無駄にしているだけよ。,ニアール,True
character,,,,,char_148_nearl_1#8,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,50,,,,False
name,——别急嘛。我也有些你们会感兴趣的情报哦。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,——别急嘛。我也有些你们会感兴趣的情报哦。,――そんなに急がなくても。あなたたちも興味がある情報を持ってきたよ。,W,True
name,其实，我们刚刚遇到了不少身手很利落的家伙......和你们的穿着打扮差不多。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,其实，我们刚刚遇到了不少身手很利落的家伙......和你们的穿着打扮差不多。,実は、さっき腕の立つ人たちに会ってきたんだ……君たちと似たような格好をしていたよ。,W,True
name,虽然做过伪装，但也就是骗骗乌萨斯人的程度，这点小把戏，可是难不倒我的~,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,虽然做过伪装，但也就是骗骗乌萨斯人的程度，这点小把戏，可是难不倒我的~,変装してたけど、ウルサス人ぐらいしか騙せないレベルでね、こんな小細工じゃ私には通じないさ～,W,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,1,,,,0,54,,,,False
name,侦察小队的各位吗......？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,侦察小队的各位吗......？,偵察隊の皆さんのこと……？,アーミヤ,True
name,太好了......他们平安无——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,太好了......他们平安无——,よかった……彼らは無事――,アーミヤ,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,57,,,,False
name,小兔子，你就是他们的组织者吧？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,小兔子，你就是他们的组织者吧？,小兎ちゃん、君が彼らのまとめ役なんだろう？,W,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
name,？！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,？！,？！,アーミヤ,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,2,,,,0,61,,,,False
name,我很想知道，你究竟有什么魔力......能让他们都心甘情愿，毫无价值地为你送命？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,我很想知道，你究竟有什么魔力......能让他们都心甘情愿，毫无价值地为你送命？,知りたいんだよね、君にはどんな魅力があるんだろう……あんなにも喜んで、無駄死にまでしてくれるなんて。,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,char_1504_cqbw,1,,,,0,63,,,,False
name,什么......你想说什么？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,什么......你想说什么？,なに……何が言いたいの？,アーミヤ,True
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
name,没错，他们——没有一个人能跟着你回去哦。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,没错，他们——没有一个人能跟着你回去哦。,そう、その人たちは――一人も君と一緒に帰れないよ。,W,True
name,你呀......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,你呀......,君はさ……,W,True
name,你真的......配得上别人的牺牲吗？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,你真的......配得上别人的牺牲吗？,本当に……他人の犠牲に値する存在なの？,W,True
playmusic,,$m_bat_game02_loop,,,,,,,,,,$m_bat_game02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,0,69,,,,False
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
name,————,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,————,————,アーミヤ,True
decision,你的行为，有什么意义吗，W？,,,,,,,,,,,,,,,,,,,,,,,,,,,,别管她，出口就在前方！;阿米娅......;你的行为，有什么意义吗，W？,1;2;3,,3,72,你的行为，有什么意义吗，W？,君の行動に何の意味があるんだ、W？,,True
decision,阿米娅......,,,,,,,,,,,,,,,,,,,,,,,,,,,,别管她，出口就在前方！;阿米娅......;你的行为，有什么意义吗，W？,1;2;3,,3,73,阿米娅......,アーミヤ……,,True
decision,别管她，出口就在前方！,,,,,,,,,,,,,,,,,,,,,,,,,,,,别管她，出口就在前方！;阿米娅......;你的行为，有什么意义吗，W？,1;2;3,,3,74,别管她，出口就在前方！,彼女は無視して、出口はすぐそこよ！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,75,,,,False
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
name,还没轮到你。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,还没轮到你。,まだ君の番じゃないよ。,W,True
name,阿米娅......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,阿米娅......,アーミヤ……,W,True
name,————你。生气了吗？,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,————你。生气了吗？,――――君、怒ったの？,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,False
name,......你不该说这种话。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,......你不该说这种话。,……そんなことを言うべきじゃない。,アーミヤ,True
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
name,好啊，好啊......就该这样嘛。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,好啊，好啊......就该这样嘛。,いいね、いいね……そうでなきゃ。,W,True
name,来吧。,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,来吧。,さあ、来いよ。,W,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,整合运动的W，你不该说这种话！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,整合运动的W，你不该说这种话！,インテグラ運動のW、そんなことを言わないで！,アーミヤ,True
name,每个人的生命，都有价值......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,每个人的生命，都有价值......,誰の命にも、価値がある……,アーミヤ,True
name,这不是你能玷污的事！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,这不是你能玷污的事！,それは君に汚せるものじゃない！,アーミヤ,True
name,博士！！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,博士！！,ドクター！！,アーミヤ,True
decision,罗德岛，准备战斗！,,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛，准备战斗！,1,,1,90,罗德岛，准备战斗！,ロドス、戦闘準備！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,91,,,,False
character,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
name,哼哼......,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,哼哼......,ふふん……,W,True
delay,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0,95,,,,False
