command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,intro,volume,crossfade,delay,time,name2,focus,options,values,references,block,option_number,index,text,jp_text,jp_name,text_match
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,32,,,,False
name,虽然看上去人数众多，但整合运动这样松散的布置，是拦不住我们的。,,,,杜宾,,,,,,,,,,,,,,,,0,33,虽然看上去人数众多，但整合运动这样松散的布置，是拦不住我们的。,数は多そうに見えても、レユニオンのような緩い配置では私たちを止められません。,ドーベルマン,True
predicate,,,,,,,,,,,,,,,,,,,3,,0,34,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,35,,,,False
name,整合运动的通信方式，从过往的战斗来看，是十分原始的。,,,,杜宾,,,,,,,,,,,,,,,,0,36,整合运动的通信方式，从过往的战斗来看，是十分原始的。,レユニオンの通信手段は、これまでの戦闘から見て非常に原始的です。,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,37,,,,False
name,在我们突破敌人的阻碍，当他们开始组织起来，尝试截击我们的时候......,,,,临光,,,,,,,,,,,,,,,,0,38,在我们突破敌人的阻碍，当他们开始组织起来，尝试截击我们的时候......,私たちが敵の障害を突破し、彼らが集結して迎撃しようとするころには……,ニアール,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,39,,,,False
name,当整合运动终于集结完毕，我们也早已经到达了下一个区域。,,,,杜宾,,,,,,,,,,,,,,,,0,40,当整合运动终于集结完毕，我们也早已经到达了下一个区域。,レユニオンがやっと集結できた時には、私たちはすでに次のエリアに到着しているでしょう。,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,41,,,,False
name,不错。,,,,临光,,,,,,,,,,,,,,,,0,42,不错。,その通りだ。,ニアール,True
name,猛烈冲击，搅乱阵形，破坏火力点，迅速撤退。,,,,临光,,,,,,,,,,,,,,,,0,43,猛烈冲击，搅乱阵形，破坏火力点，迅速撤退。,強襲して陣形を混乱させ、火力拠点を破壊し、素早く撤退する。,ニアール,True
name,......杜宾，你在考验我，还是在考验——,,,,临光,,,,,,,,,,,,,,,,0,44,......杜宾，你在考验我，还是在考验——,……ドーベルマン、私を試しているのか、それとも——,ニアール,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,char_130_doberm_ex,2,,,,,0,45,,,,False
name,肉眼可见的威胁远比进退两难容易处理得多。,,,,杜宾,,,,,,,,,,,,,,,,0,46,肉眼可见的威胁远比进退两难容易处理得多。,目に見える脅威のほうが、進退に迷うよりよほど対処しやすい。,ドーベルマン,True
name,我可以把这看作是博士的命令吗，阿米娅？,,,,杜宾,,,,,,,,,,,,,,,,0,47,我可以把这看作是博士的命令吗，阿米娅？,これをドクターの命令と見なしていいですか、アーミヤ？,ドーベルマン,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,char_130_doberm_ex,1,,,,,0,48,,,,False
name,局势很明了了。我相信博士的选择......,,,,阿米娅,,,,,,,,,,,,,,,,0,49,局势很明了了。我相信博士的选择......,状況ははっきりしました。私はドクターの選択を信じます……,アーミヤ,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,char_130_doberm_ex,2,,,,,0,50,,,,False
name,——所谓信任，也不光是一场战役就能轻松建立的。,,,,杜宾,,,,,,,,,,,,,,,,0,51,——所谓信任，也不光是一场战役就能轻松建立的。,――信頼というものは、一度の戦いで簡単に築けるものじゃない。,ドーベルマン,True
name,我很看好博士，但阿米娅......,,,,杜宾,,,,,,,,,,,,,,,,0,52,我很看好博士，但阿米娅......,私はドクターを評価していますが、アーミヤ……,ドーベルマン,True
name,不要放松警惕。你当然可以借助博士的智慧，但不可以完全依赖他。,,,,杜宾,,,,,,,,,,,,,,,,0,53,不要放松警惕。你当然可以借助博士的智慧，但不可以完全依赖他。,油断しないでください。ドクターの知恵を借りていいですが、完全に頼ってはいけません。,ドーベルマン,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,char_130_doberm_ex,1,,,,,0,54,,,,False
name,——我知道。,,,,阿米娅,,,,,,,,,,,,,,,,0,55,——我知道。,――わかっています。,アーミヤ,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,56,,,,False
name,别介意，博士，我没想刁难你。,,,,杜宾,,,,,,,,,,,,,,,,0,57,别介意，博士，我没想刁难你。,気にしないでください、ドクター。あなたを困らせるつもりはありません。,ドーベルマン,True
name,只是，希望你能理解——阿米娅需要更多的学习和成长。,,,,杜宾,,,,,,,,,,,,,,,,0,58,只是，希望你能理解——阿米娅需要更多的学习和成长。,ただ、理解してほしい――アーミヤにはもっと多くの学びと成長が必要なんです。,ドーベルマン,True
name,站在我的立场上，你也不会允许阿米娅太依靠别人的。,,,,杜宾,,,,,,,,,,,,,,,,0,59,站在我的立场上，你也不会允许阿米娅太依靠别人的。,私の立場なら、あなたもアーミヤが他人に頼りすぎることを許さないでしょう。,ドーベルマン,True
name,不过，我已经认可了你的指挥能力。,,,,杜宾,,,,,,,,,,,,,,,,0,60,不过，我已经认可了你的指挥能力。,ですが、私はすでにあなたの指揮能力を認めています。,ドーベルマン,True
decision,谢谢......,,,,,,,,,,,,,,,,谢谢......,1,,,1,61,谢谢......,ありがとう……,,True
predicate,,,,,,,,,,,,,,,,,,,1,,0,62,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,63,,,,False
name,也别那么拘谨，我们可已经是共患难的战友了。,,,,杜宾,,,,,,,,,,,,,,,,0,64,也别那么拘谨，我们可已经是共患难的战友了。,そんなにかしこまらないでください。私たちはすでに苦楽を共にした仲間です。,ドーベルマン,True
name,至少在战场，我的生命，已经交给你了。,,,,杜宾,,,,,,,,,,,,,,,,0,65,至少在战场，我的生命，已经交给你了。,少なくとも戦場では、私の命はあなたに預けました。,ドーベルマン,True
name,闲谈到此为止，抓紧时间。,,,,杜宾,,,,,,,,,,,,,,,,0,66,闲谈到此为止，抓紧时间。,雑談はここまでにして、時間を大切にしましょう。,ドーベルマン,True
character,,,,,char_148_nearl_1#1,,,,,,,,,,char_130_doberm_ex,1,,,,,0,67,,,,False
name,是的。,,,,临光,,,,,,,,,,,,,,,,0,68,是的。,はい。,ニアール,True
name,卡西米尔有句谚语：“喘息时，死亡就会追上你。”,,,,临光,,,,,,,,,,,,,,,,0,69,卡西米尔有句谚语：“喘息时，死亡就会追上你。”,カジミエーシュにはこんな諺があります。「息をついた瞬間、死が君に追いつく」。,ニアール,True
delay,,,,,,,,,,,,,,0.6,,,,,,,0,70,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,0,71,,,,False
