command,text_orig,key,is_skippable,fit_mode,time,intro,volume,a,r,g,b,fadetime,block,image,screenadapt,options,values,references,name,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,Delay,xstrength,ystrength,vibrato,randomness,fadeout,effect,keep,amount,initr,option_number,index,text,jp_text,jp_name,text_match
name,那谢谢你的理解。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,33,那谢谢你的理解。,では、ご理解いただきありがとうございます。,ケルシー,True
predicate,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
name,如果我的想法能够赢得你的认同......,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,35,如果我的想法能够赢得你的认同......,もし私の考えがあなたの賛同を得られたら……,ケルシー,True
name,你会不会觉得，我会因此而感到欣喜？,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,36,你会不会觉得，我会因此而感到欣喜？,そのことで私が喜ぶと思いませんか？,ケルシー,True
name,尊重是双向的。如果你重视我的观点，并且得出有益的结论，那么我也会将你的观点纳入考量。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,37,尊重是双向的。如果你重视我的观点，并且得出有益的结论，那么我也会将你的观点纳入考量。,尊重は双方向のものです。もしあなたが私の見解を重視し、有益な結論を導き出したならば、私もあなたの見解を考慮に入れます。,ケルシー,True
predicate,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
name,塔露拉在维护自己的形象。她需要让普通的感染者尊重她，让萨卡兹雇佣兵服从她，让游击队信任她，让狂热者崇拜她......,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,39,塔露拉在维护自己的形象。她需要让普通的感染者尊重她，让萨卡兹雇佣兵服从她，让游击队信任她，让狂热者崇拜她......,タルラは自分のイメージを守っています。彼女は普通の感染者に尊敬され、サカズの傭兵に従われ、ゲリラに信頼され、熱狂者に崇拝される必要があります……,ケルシー,True
name,她就必须让自己和他们之间的距离清晰可见，让这些人能够相互审视。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,40,她就必须让自己和他们之间的距离清晰可见，让这些人能够相互审视。,彼女は自分と彼らとの距離をはっきりと見えるようにし、これらの人々がお互いを見つめ合えるようにしなければなりません。,ケルシー,True
name,根据整合运动的一系列表现，我们可以很清楚地知道，整合运动的其他领袖对塔露拉的行为并没有太多认识。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,41,根据整合运动的一系列表现，我们可以很清楚地知道，整合运动的其他领袖对塔露拉的行为并没有太多认识。,統合運動の一連の行動から、私たちは他の統合運動のリーダーたちがタルラの行動についてあまり理解していないことをはっきりと知ることができます。,ケルシー,True
name,即使是已经窥见她阴谋的爱国者，也没有能力在急剧变化中力挽狂澜。假使他能杀了塔露拉，也一样改变不了整合运动倾颓的趋势。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,42,,,,False
name,何况，塔露拉在脑海中勾勒这个利用感染者的阴谋......她需要的时间，可能比现在整合运动存在的时间更长。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,43,,,,False
name,我猜想，整合运动迄今为止的所有行动，都是以一个前提去设计的......,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,44,,,,False
name,“整合运动将在事件结束后毁灭。”,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,45,,,,False
name,塔露拉会将尖锐而隐秘的力量分散在疆土各处，在需要的时候召集他们，让他们在合适的时机出现。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,46,,,,False
name,博士，我想，乌萨斯帝国的第三集团军其实是不会允许任何感染者自由行动的。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,47,,,,False
name,只不过，整合运动现在的所有作为，都在他们的容忍范围之内。这种表面上的暴力、缺乏纪律与散漫，是第三集团军所乐见的。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,48,,,,False
name,仔细想想，他们会仅仅只是旁观吗？他们如此冒险，就真的甘愿只是让塔露拉一人操纵一城甚至一国的局势吗？,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,49,,,,False
name,还是说，这甚至也是塔露拉的砝码，用来骗取乌萨斯军队的力量......让他们蛰伏在某处，只等着事态变化到即将超脱她掌控的地步。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,50,,,,False
name,那时，她就可以名正言顺地......动用她根本无法触及的力量。如她所愿。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,51,,,,False
name,但这需要时间。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,52,,,,False
decision,你都这么说了，她为什么还不是一个暴君？,,,,,,,,,,,,,,,你都这么说了，她为什么还不是一个暴君？,1,,,,,,,,,,,,,,,,,,,,,,1,53,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
name,因为现在的整合运动想要一个这样的领袖，却不真的需要这样一个领袖。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,55,,,,False
name,暴君珍惜自己的羽翼，即使他们往往因为短视或狂躁而肆意地摧毁了它们，而后又真情实感地痛哭流涕。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,56,,,,False
name,阴谋家不会。暴君有棋子，阴谋家也有；但暴君自己同在棋盘，阴谋家却坐在棋盘之外。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,57,,,,False
name,假设她有人性，她就可能犯错。但是对一个合格的阴谋家来说，当阴谋行驶在轨道上时，即使自身死了，她的阴谋一样会继续自然发展。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,58,,,,False
decision,我们的行动没有用吗？,,,,,,,,,,,,,,,我们的行动没有用吗？,1,,,,,,,,,,,,,,,,,,,,,,1,59,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
name,如果是那样，我们根本就不会带着罗德岛的雇员们出生入死。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,61,,,,False
name,仅仅是杀了她自然是没有用的。所以，我们要在各个部分各个地方，分解她的阴谋，对抗她的指令，令她的阴谋失效。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,62,,,,False
name,如果我们不能停止一艘舰船继续向前，那么我们就把它拆成碎片，让它在到达目的地时只剩下无害的空壳。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,63,,,,False
name,......啊，也许我的说法会让你误会。我们还是得停下切尔诺伯格这座核心城的。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,64,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,,,,False
blocker,,,,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,,,,False
background,,,,,,,,,,,,,,bg_cherunder_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,0,70,,,,False
name,博士，你担忧过阿米娅他们是否可能会遭遇突发事态......,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,71,,,,False
name,我认为，摆在我们面前的，这才是真正的突发事态。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,72,,,,False
character,,,,,,,,,,,,,,,,,,,avg_npc_091,,,,,,,,,,,,,,,,,,,,0,73,,,,False
name,W，W。W在哪？W更强。,,,,,,,,,,,,,,,,,,牧群化萨卡兹战士,,,,,,,,,,,,,,,,,,,,0,74,,,,False
name,不要，不要进入......,,,,,,,,,,,,,,,,,,牧群化萨卡兹战士,,,,,,,,,,,,,,,,,,,,0,75,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
decision,能和他们交流吗？,,,,,,,,,,,,,,,能和他们交流吗？,1,,,,,,,,,,,,,,,,,,,,,,1,78,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,0,80,,,,False
name,（萨卡兹某部族语言）,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,81,,,,False
character,,,,,,,,,,,,,,,,,,,avg_npc_091,,,,,,,,,,,,,,,,,,,,0,82,,,,False
name,地下充斥黑暗。黑暗滋生邪恶。邪恶带来痛苦。,,,,,,,,,,,,,,,,,,牧群化萨卡兹战士,,,,,,,,,,,,,,,,,,,,0,83,,,,False
name,太多的，痛苦。,,,,,,,,,,,,,,,,,,牧群化萨卡兹战士,,,,,,,,,,,,,,,,,,,,0,84,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,0,85,,,,False
name,（萨卡兹某部族语言）,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,86,,,,False
character,,,,,,,,,,,,,,,,,,,avg_npc_091,,,,,,,,,,,,,,,,,,,,0,87,,,,False
name,你们，分享我们的痛苦？,,,,,,,,,,,,,,,,,,牧群化萨卡兹战士,,,,,,,,,,,,,,,,,,,,0,88,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,0,89,,,,False
name,不行。即使他们不是卡兹戴尔出身，也应该对母语类的暗示有所反应。他们的主动思维能力已经损坏了。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,90,,,,False
decision,你说的那些词句能影响他们？,,,,,,,,,,,,,,,你说的那些词句能影响他们？,1,,,,,,,,,,,,,,,,,,,,,,1,91,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
name,原本是应该能的。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,等等......这不是常理性的手段。不要好奇。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,94,,,,False
name,但如果我用这种手段都不能唤醒他们的意识，那他们确实已经失去了思考能力而不是单纯的表达能力。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,95,,,,False
name,是他们的脑活动被封锁了，还是他们的神经系统被感染器官扰乱了......我们剩下的时间尚不够我们探明问题的答案。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,96,,,,False
name,只是依据事实判断，我想可能凶多吉少。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,97,,,,False
decision,他们似乎不会攻击我们。,,,,,,,,,,,,,,,他们似乎不会攻击我们。,1,,,,,,,,,,,,,,,,,,,,,,1,98,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
name,他们在阻止我们深入。深度感染的萨卡兹雇佣兵，在这个区域的，大概有六个左右，大多数时间里只是进行着看似无意识的漫游。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,100,,,,False
name,他们的活动范围不会延伸到这个通道之外，而现在这些深度感染者是在意识到我们的行为后才聚集在这里的。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,101,,,,False
name,并且，只要我们不跨过界线，他们就不会采取进一步的行动。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,102,,,,False
name,侦查干员，能检测出我们与石棺之间线性距离吗？根据我提供的波形来判定位置。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,103,,,,False
name,......1.4公里。准确数字？,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,104,,,,False
name,1453米。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,105,,,,False
name,......如果我没算错，那么，之前整合运动与萨卡兹特殊感染者发生冲突的位置，距离市政厅的距离也恰巧是1.4公里左右。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,106,,,,False
name,我们原本打算从市政厅下方的避难通道进入石棺区，现在，那个出口可能已经被这些萨卡兹特殊感染者占据了。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,107,,,,False
name,我有一个未经证实的猜想，博士......,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,108,,,,False
decision,什么样的猜想？,,,,,,,,,,,,,,,什么样的猜想？,1,,,,,,,,,,,,,,,,,,,,,,1,109,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
name,虽然不知道目的是什么，但这些萨卡兹特殊感染者可能是在阻止其他人进入石棺区，而这个控制区域的大小，也恰好是1.4公里。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,111,,,,False
decision,你说的也许是对的，但是目的呢？,,,,,,,,,,,,,,,你说的也许是对的，但是目的呢？,1,,,,,,,,,,,,,,,,,,,,,,1,112,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,113,,,,False
name,（摇头）,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,114,,,,False
name,至少不再是这些萨卡兹原本的目的了。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,115,,,,False
name,......,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,116,,,,False
name,源自卡兹戴尔，可悲的萨卡兹人，无论在哪里都会成为工具。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,117,,,,False
name,我认为，感染者现在的处境也与萨卡兹相似，现在的这些萨卡兹只能在充满仇恨和失去一切间选择。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,118,,,,False
name,......本来，事情该有所改变。我们是能够改变的。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,119,,,,False
name,失去了家乡的提卡兹，变成了无根之人萨卡兹。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,120,,,,False
name,现在，我们面前的这些萨卡兹，则连人都算不上了。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,121,,,,False
decision,你要怎么做？,,,,,,,,,,,,,,,你要怎么做？,1,,,,,,,,,,,,,,,,,,,,,,1,122,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,123,,,,False
name,诸位干员，检查你们的防化装备。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,124,,,,False
name,我们面对的也许是二级紧急感染事态。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,125,,,,False
name,博士，我们要在尽可能减少损耗的情况下，尽可能多地停止特殊感染者的运作。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,126,,,,False
name,......我们有段时间没有出面解决紧急感染事态了，这身行头，简直就像是乌萨斯的感染者纠察队。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,127,,,,False
decision,感染者纠察队？,,,,,,,,,,,,,,,感染者纠察队？,1,,,,,,,,,,,,,,,,,,,,,,1,128,,,,False
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,129,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,132,,,,False
blocker,,,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,,,,False
image,,,,,,,,,,,,0,,avg_8_26,,,,,,0,0,1,1,,,,,,,,,,,,,,,,0,134,,,,False
blocker,,,,,,,,0,,,,1.5,false,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
imagetween,,,,,,,,,,,,,false,,,,,,,,,,,1,1,1,1,15,,,,,,,,,,,0,137,,,,False
name,我无法否认的一点是，我们配备的防化设备与乌萨斯对感染者的残暴统治象征......分享着同一个原型设计。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,138,,,,False
name,虽然，我们在行为上和感染者纠察队有着本质的不同，但我也只能希望我们真能继续保持这种本质差异，不因种种外力所迫变得面目全非。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,139,,,,False
name,这也是我们对很多事情的期望。和我一段时间前对你说的那样。希望你也如此。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,140,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,141,,,,False
blocker,,,,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,142,,,,False
image,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,143,,,,False
background,,,,,,,,,,,,,,bg_chercen_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,144,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
character,,,,,,,,,,,,1,true,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,0,146,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,,,,False
stopmusic,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,0,150,,,,False
playsound,,$flashback,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0,151,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2,3,30,30,false,,,,,0,152,,,,False
cameraeffect,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,1,,0,153,,,,False
cameraeffect,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,0,,0,154,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,,,,False
playsound,,$flashback,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0,156,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2,3,30,30,false,,,,,0,157,,,,False
cameraeffect,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,1,,0,158,,,,False
cameraeffect,,,,,,,,,,,,0.5,false,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,0,,0,159,,,,False
playsound,,$flashback,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0,160,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2,3,30,30,false,,,,,0,161,,,,False
cameraeffect,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,1,,0,162,,,,False
cameraeffect,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,0,,0,163,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
name,——————————！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,165,,,,False
name,————这是，陈长官的？,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,0,166,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,,,,False
blocker,,,,,,,,1,0,0,0,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,,2,0,168,,,,False
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,169,,,,False
cameraeffect,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,1,,0,170,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,171,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,172,,,,False
blocker,,,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,173,,,,False
