command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
decision,没人赢。,,3,1,,,1;2;3,誰も勝っていません。,
decision,不。,,3,2,,,1;2;3,いいえ。,
decision,那不算是胜利。,,3,3,,,1;2;3,それは勝利とは言えません。,
predicate,,,0,,1;2;3,,,,
name,可以理解。根据PRTS申报的数据，在干员的协力下，你正是在罗德岛处理了敌对感染者的遗体。,凯尔希,0,,,,,理解できます。PRTSの報告によれば、オペレーターたちの協力のもと、あなたはロドスで敵対感染者の遺体を処理しました。,ケルシー
decision,我不认为她是敌人。,,1,1,,,1,私は彼女を敵だとは思いません。,
predicate,,,0,,1,,,,
name,博士，“分清敌我”。,凯尔希,0,,,,,ドクター、「敵味方を見極めてください」。,ケルシー
name,......不。也许这会让你会错意，请听我说完。,凯尔希,0,,,,,……いいえ。それだと誤解を招くかもしれません。最後まで聞いてください。,ケルシー
decision,......？,,1,1,,,1,……？,
predicate,,,0,,1,,,,
name,我没有指责你，博士。,凯尔希,0,,,,,私はあなたを責めていません、ドクター。,ケルシー
name,我从阿米娅的讲述中了解了敌指挥官的情况。现场的判断属于你们，如何看待他们，只能由身在现场的你们决定。,凯尔希,0,,,,,アーミヤから敵指揮官について聞いています。現場での判断はあなた方に属し、彼らをどう捉えるかは現場にいるあなた方だけが決められます。,ケルシー
name,我没有跳出职责来判断立场的权力。,凯尔希,0,,,,,私は自分の職責を超えて立場を判断する権限はありません。,ケルシー
name,你曾经尝试去理解感染者的行为动机，你愿意承担她——霜星——所作所为导致的所有后果。,凯尔希,0,,,,,あなたは感染者の行動動機を理解しようとし、フロストノヴァの行いのすべての結果を引き受ける覚悟をもっています。,ケルシー
name,你也这么做了。,凯尔希,0,,,,,あなたは、実際にそうしました。,ケルシー
name,如果你打算诚实地去了解这片大地，博士，我没有指责你的理由。,凯尔希,0,,,,,もしあなたがこの大地を誠実に理解しようとしているのなら、ドクター、私はあなたを責める理由はありません。,ケルシー
name,我甚至可以向罗德岛干员担保你的行为。坚持下去，博士，做自己的决定，我会尽量不做干涉。,凯尔希,0,,,,,私はロドスのオペレーターにもあなたの行動を保証できます。ドクター、あなた自身の判断を貫いてください。私はできるだけ干渉しません。,ケルシー
name,之后的后果，我会解决罗德岛应承担的那部分。,凯尔希,0,,,,,その後の結果、ロドスが負うべき部分は私が処理します。,ケルシー
name,你的责任与权力相辅相成。“分清敌我”，是你自己的判断，不是我的。,凯尔希,0,,,,,あなたの責任と権限は表裏一体です。「敵味方の区別」は、あなた自身の判断であり、私のものではありません。,ケルシー
name,......,凯尔希,0,,,,,……,
name,（轻声）如果你真的与他们共呼吸。,凯尔希,0,,,,,（小声で）もし本当に彼らと共に息づいているなら……。,ケルシー
decision,我这么做......你其实完全认可？,,1,1,,,1,私がこうしたこと……本当にあなたは認めているのですか？,
predicate,,,0,,1,,,,
name,我没有这么说过。,凯尔希,0,,,,,私はそう言った覚えはありません。,ケルシー
name,言归正传。霜星及其率领的小队，也就是“雪怪小队”，从属于一支感染者游击队。,凯尔希,0,,,,,本題に戻ります。フロストノヴァと彼女が率いるスノーストライカー隊は、感染者ゲリラ部隊に所属しています。,ケルシー
name,现在，整合运动能够驱策的精锐武装力量只剩下两支。感染者游击队是其中一支。,凯尔希,0,,,,,今、統合運動が動かせる精鋭の武力は二つだけです。感染者ゲリラ部隊はその一つです。,ケルシー
name,另一支，是由萨卡兹雇佣兵“W”带领的萨卡兹雇佣军。,凯尔希,0,,,,,もう一つは、サルカズ傭兵「W」が率いるサルカズ傭兵軍です。,ケルシー
name,据我所知，W依赖一系列手段，窃取了整合运动这支萨卡兹雇佣军的领头人地位。,凯尔希,0,,,,,私の知る限り、Wはさまざまな手段を使って、統合運動に属するサルカズ傭兵軍のリーダーの地位を手に入れました。,ケルシー
name,因为我们没时间复习历史常识，所以我直截了当地告诉你——萨卡兹雇佣军并不可靠，对W，对整合运动，都一样。,凯尔希,0,,,,,歴史の知識を復習する時間はないので、単刀直入に伝えます――サルカズ傭兵軍はWにも、統合運動にも信用できません。,ケルシー
name,萨卡兹雇佣军并不是普通的雇佣兵组织。他们是卡兹戴尔无处容放的军事力量在大地各处的流露。,凯尔希,0,,,,,サルカズ傭兵軍は普通の傭兵組織ではありません。カズデールに居場所のない軍事力が各地に流出したものです。,ケルシー
name,妄图控制它，只会引来他们背后的牵线人。,凯尔希,0,,,,,それを支配しようとすると、背後の黒幕を招くだけです。,ケルシー
decision,你似乎对萨卡兹有很深的了解。,,1,1,,,1,あなたはサルカズについてとても詳しそうですね。,
predicate,,,0,,1,,,,
name,这不是重点。,凯尔希,0,,,,,それは重要ではありません。,ケルシー
name,重点在于，雪怪小队所属的感染者游击队和雇佣兵全然不同。,凯尔希,0,,,,,重要なのは、スノーストライカー隊のような感染者ゲリラ部隊と傭兵は全く異なるということです。,ケルシー
name,形式，编制，行事方式以及信条，游击队和雇佣兵之间没有一点相似之处。,凯尔希,0,,,,,形式、編制、行動様式、信条、あらゆる点でゲリラ部隊と傭兵の間に共通点はありません。,ケルシー
name,在成为整合运动的武装前，它是独立的感染者游击队，他们的威名在特定区域的感染者中比它的后起之秀整合运动更加响亮。,凯尔希,0,,,,,統合運動の武装勢力になる前は、独立した感染者ゲリラ部隊であり、特定の地域の感染者たちの間では、新興組織である統合運動よりも名声が高かったです。,ケルシー
name,......在成为游击队之前，他们曾是乌萨斯强大军事力量的一部分。,凯尔希,0,,,,,……ゲリラ部隊になる前は、ウルサスの強大な軍事力の一部でした。,ケルシー
decision,是西北冻原的游击队？,,1,1,,,1,北西部ツンドラ地帯のゲリラ部隊ですか？,
predicate,,,0,,1,,,,
name,——,凯尔希,0,,,,,――,ケルシー
name,无论你从哪里得到了这条信息，博士，我都该为此夸赞你。,凯尔希,0,,,,,どこでこの情報を得たのかはともかく、ドクター、それについてはあなたを称賛します。,ケルシー
name,尽管这样的情报很基础，但你能主动去获取情报这一行为，让我感到欣慰。,凯尔希,0,,,,,こうした情報は基本的なものですが、能動的に情報を集める姿勢を私は嬉しく思います。,ケルシー
decision,夸我不用拐弯抹角。,,3,1,,,1;2;3,褒めるなら遠回しに言わなくていいですよ。,
decision,......,,3,2,,,1;2;3,……,
decision,我有点怀疑你在讽刺我？,,3,3,,,1;2;3,あなたが皮肉を言っているのかと少し疑っています。,
predicate,,,0,,1;2;3,,,,
name,点到为止。,凯尔希,0,,,,,そこまでにしておきます。,ケルシー
name,我们身处切尔诺伯格核心城的基础工业结构处。,凯尔希,0,,,,,私たちはチェルノボーグ中枢都市の基礎工業構造部にいます。,ケルシー
name,接下来，我们带领的这三支小队将穿过错综复杂的地下通道、下水管道与工业层，前往核心城的中央区域。,凯尔希,0,,,,,これから、私たちが率いる三つの小隊は複雑な地下通路、下水管や工業層を通って中枢都市の中央区域に向かいます。,ケルシー
name,注意，哪怕是恰巧在这里巡逻的敌人，也不会是普通的整合运动暴徒。,凯尔希,0,,,,,注意してください。ここを巡回する敵でさえ普通の統合運動の暴徒とは限りません。,ケルシー
name,我们会遇见经过严苛训练的......“士兵”。游击队以乌萨斯现役军的训练方式训练过的整合运动“士兵”。,凯尔希,0,,,,,私たちは厳しい訓練を受けた……「兵士」と遭遇するでしょう。ウルサス現役軍の訓練を受けた統合運動の「兵士」です。,ケルシー
name,侦查干员发现核心城内的通讯遭到了人为切断，或者说，整合运动并没有尝试维持城内的通讯。,凯尔希,0,,,,,偵察オペレーターによると、中枢都市内の通信が人為的に遮断されており、統合運動は都市内の通信維持を試みていません。,ケルシー
name,这对于利用常规通讯手法进行交流的现代小队有着很强的制约力。,凯尔希,0,,,,,通常の通信手段を使って連絡を取る現代の小隊には大きな制約となります。,ケルシー
name,却也意味着，整合运动也有特殊的通讯手段，或者是他们完全没有准备好应战。,凯尔希,0,,,,,しかしこれは、統合運動にも特殊な通信手段があるか、あるいはまったく戦闘準備ができていないことを意味します。,ケルシー
name,参照一个月前在切尔诺伯格发生的事件，后者的情况几乎不会发生。但是，切断通讯，底层的整合运动将不会收到任何直接命令。,凯尔希,0,,,,,1ヶ月前のチェルノボーグでの事件を参考にすれば、後者の可能性はほとんどありません。ただし、通信が遮断されれば、下層の統合運動は直接命令を受け取れません。,ケルシー
name,大多数时间里，他们会自由行事。,凯尔希,0,,,,,ほとんどの場合、彼らは自由に行動することになります。,ケルシー
name,恐怕他们还不知道，他们频道收不到的那个信号——那个只有国家与城邦才能辨别的信号，正在划定乌萨斯的疆域。,凯尔希,0,,,,,おそらく彼らは、自分たちのチャンネルで受信できないあの信号――国や都市だけが判別できる信号が、ウルサスの領土を定めていることに気づいていません。,ケルシー
name,这是一座酝酿着风暴的城区。混乱，无论是无意还是故意，都会像沉重的烟雾一样四处弥漫。,凯尔希,0,,,,,ここは嵐を孕んだ都市区域です。混乱は意図的であれ偶然であれ、重い煙のように広がっていきます。,ケルシー
name,先我一步，崩溃的种子已经被人播撒出去了。,凯尔希,0,,,,,私より先に、崩壊の種がすでに撒かれています。,ケルシー
decision,结论呢？,,1,1,,,1,結論は？,
predicate,,,0,,1,,,,
name,某种冲突正在整合运动内部孕育。,凯尔希,0,,,,,何らかの衝突が統合運動の内部で育まれています。,ケルシー
decision,你很确定？,,1,1,,,1,あなたは確信していますか？,
predicate,,,0,,1,,,,
name,类似的事情在这片大地上发生过无数遍。,凯尔希,0,,,,,このようなことは、この大地で何度も繰り返されています。,ケルシー
decision,你是不是还有什么没和我说？,,1,1,,,1,あなたはまだ私に話していないことがあるのでは？,
predicate,,,0,,1,,,,
name,能说的差不多就这些，剩下的，等要讨论的时候再讨论。,凯尔希,0,,,,,今言えるのはこれくらいです。残りは必要になったときに話します。,ケルシー
name,即使我们只是在做战前准备工作，我们也要兼顾效率。,凯尔希,0,,,,,たとえ戦闘準備作業だけでも、効率も考えなければなりません。,ケルシー
name,请你帮我通知R-4小队的成员，博士。请他们来取这批装置。,凯尔希,0,,,,,ドクター、R-4小隊のメンバーにこの装置を取りに来るよう伝えてください。,ケルシー
decision,......等一等......？,,1,1,,,1,……ちょっと待って……？,
predicate,,,0,,1,,,,
name,还有什么问题？,凯尔希,0,,,,,ほかに質問はありますか？,ケルシー
decision,这些装置似乎是迷迭香的。,,1,1,,,1,これらの装置はローズマリーのもののようですね。,
predicate,,,0,,1,,,,
name,是的。,凯尔希,0,,,,,そうです。,ケルシー
name,那么，你与迷迭香干员的交流似乎并不局限于生物处理室里的谈话。,凯尔希,0,,,,,あなたとローズマリーオペレーターの交流は、生体処理室での会話にのみとどまっていないようですね。,ケルシー
decision,我看到她准备战斗的样子。,,1,1,,,1,彼女が戦闘の準備をしている様子を見ました。,
predicate,,,0,,1,,,,
decision,很难想像她居然有使用这种装置的力量。,,1,1,,,1,彼女がこんな装置を使う力を持っているとは想像できません。,
predicate,,,0,,1,,,,
character,,char_003_kalts_1,0,,,,,,
name,事实上，每一个精英干员都具备相当的力量。他们必须独当一面。,凯尔希,0,,,,,実際、エリートオペレーターは誰でも相応の力を持っています。皆、独立して行動できなければなりません。,ケルシー
name,......所以你还没来得及了解迷迭香的战斗方式。,凯尔希,0,,,,,……つまり、まだローズマリーの戦闘方法を理解していないのですね。,ケルシー
name,事先声明，有些事情不只该他们自己承担。罗德岛的战地指挥官身负多种职能，帮忙分担干员身上的压力，也是其中必要的一环。,凯尔希,0,,,,,あらかじめ言っておきますが、いくつかのことは彼らだけが抱えるべきではありません。ロドスの戦地指揮官は多くの役割を担っており、オペレーターの負担を分担するのもその必要な一つです。,ケルシー
name,在这之后的战斗中，你可能会被某些事实冲击。,凯尔希,0,,,,,これからの戦闘では、いくつかの現実に衝撃を受けるかもしれません。,ケルシー
decision,啊......？,,1,1,,,1,ああ……？,
predicate,,,0,,1,,,,
name,很少有不会被迷迭香的战斗震慑住的人。,凯尔希,0,,,,,ローズマリーの戦闘に驚かされない者は滅多にいません。,ケルシー
name,做好心理准备。,凯尔希,0,,,,,心の準備をしておいてください。,ケルシー
dialog,,,0,,,,,,
character,,,0,,,,,,
stopmusic,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_cherunder,,,
blocker,,,0,,,,,,
playmusic,,,0,,,,,,
character,,avg_npc_012,0,,,,,,
name,博士，你来了！,罗德岛干员,0,,,,,ドクター、いらっしゃいましたね！,ロドスオペレーター
name,我们截住了敌人的巡逻小队，正在稳步处理中。,罗德岛干员,0,,,,,敵のパトロール隊を阻止し、順調に対処中です。,ロドスオペレーター
decision,战斗已经开始了？,,1,1,,,1,戦闘はすでに始まっているのですか？,
predicate,,,0,,1,,,,
name,博士，你的位置有点危险......,罗德岛干员,0,,,,,ドクター、その位置は少し危険です……,ロドスオペレーター
name,我建议你不要站在那个位置。,罗德岛干员,0,,,,,その場所には立たない方がいいと思います。,ロドスオペレーター
decision,我才刚刚到位。,,1,1,,,1,やっと今到着したばかりです。,
predicate,,,0,,1,,,,
name,你那里，那里是......,罗德岛干员,0,,,,,あなたのその場所、そこは……,ロドスオペレーター
name,博士，她身边真的很危险！,罗德岛干员,0,,,,,ドクター、彼女のそばは本当に危険です！,ロドスオペレーター
character,,,0,,,,,,
name,......敌人。,？？？,0,,,,,……敵。,？？？
decision,难道说......,,1,1,,,1,まさか……,
predicate,,,0,,1,,,,
decision,......迷迭香？,,1,1,,,1,……ローズマリー？,
predicate,,,0,,1,,,,
playsound,,,0,,,,,,
character,,avg_npc_042,0,,,,,,
delay,,,0,,,,,,
name,敌人。,迷迭香,0,,,,,敵です。,ローズマリー
name,博士，那些是杀害我家人的......敌人！,迷迭香,0,,,,,ドクター、あれは私の家族を殺した……敵です！,ローズマリー
decision,你怎么这么凶？,,3,1,,,1;2;3,どうしてそんなに怖い顔をしているのですか？,
decision,......？,,3,2,,,1;2;3,……？,
decision,迷迭香？发生什么事......,,3,3,,,1;2;3,ローズマリー？何があったの……,
predicate,,,0,,1;2;3,,,,
dialog,,,0,,,,,,
character,,,0,,,,,,
blocker,,,0,,,,,,
name,......,迷迭香,0,,,,,……,
name,博士，让一让。不要呆在这条走道。,迷迭香,0,,,,,ドクター、どいてください。この通路にはいないでください。,ローズマリー
name,我和阿米娅不一样。阿米娅的法术能绕过家人，准确地惩罚别人......,迷迭香,0,,,,,私はアーミヤとは違います。アーミヤの術は家族を避けて、正確に敵だけを罰することができますが……,ローズマリー
name,我不能。我做不到。,迷迭香,0,,,,,私はできません。私にはできません。,ローズマリー
name,所以，不要站在迷迭香和战场之间。,迷迭香,0,,,,,だから、ローズマリーと戦場の間に立たないでください。,ローズマリー
decision,......,,1,1,,,1,……,
predicate,,,0,,1,,,,
name,噫！！,整合运动成员,0,,,,,うわっ！！,統合運動メンバー
camerashake,,,0,,,,,,
name,那个背着大盒子的女孩，怎，怎，怎么......,整合运动成员,0,,,,,あの大きな箱を背負った少女、ど、どうして……,統合運動メンバー
name,我的眼睛要看不到了，我的眼睛，我的头！！好痛！好痛！！,整合运动成员,0,,,,,目が、見えなくなる、目が、頭が！！痛い！痛い！！,統合運動メンバー
name,有什么东西要把我捏碎了！,整合运动成员,0,,,,,何かが俺を握り潰そうとしている！,統合運動メンバー
name,......,迷迭香,0,,,,,……,
name,不会的。,迷迭香,0,,,,,そんなことはありません。,ローズマリー
name,我已经很久没捏死过人了。,迷迭香,0,,,,,私はもうずっと誰も握り潰していません。,ローズマリー
name,那些剑，那些剑——,整合运动成员,0,,,,,あの剣、あの剣――,統合運動メンバー
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,迷迭香？！,,1,1,,,1,ローズマリー？！,
predicate,,,0,,1,,,,
name,整合运动......,迷迭香,0,,,,,統合運動……,ローズマリー
name,我不要你们留在我的记忆里。,迷迭香,0,,,,,私は、あなたたちに私の記憶の中に残ってほしくありません。,ローズマリー
name,我不要。,迷迭香,0,,,,,私は、嫌です。,ローズマリー
dialog,,,0,,,,,,
blocker,,,0,,,,,,
image,,,0,,,,,,
