command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,name2,duration,xstrength,ystrength,vibrato,randomness,fadeout,focus,options,values,references,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,xFrom,xTo,yFrom,yTo,option_number,index,text,jp_text,jp_name,text_match
name,二少爷，你要是泉下有知，也不会想看到这般光景吧？,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,35,二少爷，你要是泉下有知，也不会想看到这般光景吧？,坊ちゃん、お前が天国で見ているなら、こんな光景は見たくないだろうな？,ネズミ王,True
name,罢了，罢了。龙门终归还是走到这步。,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,36,罢了，罢了。龙门终归还是走到这步。,もういい、もういい。結局、龍門はここまで来てしまったか。,ネズミ王,True
name,但晖洁......晖洁！小心啊，晖洁......千万别把命送了！,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,37,但晖洁......晖洁！小心啊，晖洁......千万别把命送了！,でもフイジエ……フイジエ！気を付けろ、フイジエ……絶対に命を落とすなよ！,ネズミ王,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
background,,,,,,,,,,,,bg_lungmenbridge,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
blocker,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
,龙门停舰接舷区  7:20 p.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,,,,False
character,,,,,,,,,,,,,,,,avg_npc_015,avg_npc_015,,,,,,,,,,,,,,,,,,,,,,,0,44,,,,False
camerashake,,,,,,,,,,,false,,,,,,,0.7,0,8,30,30,true,,,,,,,,,,,,,,,,,0,45,,,,False
name,啊......啊！唔，呃......,,,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,,,,,,,,,,,0,46,啊......啊！唔，呃......,ああ……あっ！う、うう……,群れ,True
character,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
name,哎，这个数量，真不是说说的......近卫局还没扫荡到这里吗？,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,48,哎，这个数量，真不是说说的......近卫局还没扫荡到这里吗？,ああ、この数、本当に冗談じゃないな……近衛局はまだここを掃討していないのか？,ロドスオペレーター,True
name,昨天整合运动来一次，今天特殊感染者又来一次，就算是我们也顶不太住啊，又不能在城市里使用大规格武器......,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,49,昨天整合运动来一次，今天特殊感染者又来一次，就算是我们也顶不太住啊，又不能在城市里使用大规格武器......,昨日は整合運動、今日は特殊感染者、これじゃ私たちも持たないぞ。しかも市街地では大型武器も使えないし……,ロドスオペレーター,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
character,,,,,,,,,,1,true,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,0,53,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
name,你好，干员。他们是这次的敌人吗？,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,55,你好，干员。他们是这次的敌人吗？,こんにちは、オペレーターさん。彼らが今回の敵なのですか？,ローズマリー,True
character,,,,,,,,,,,,,,,,avg_npc_042,avg_npc_012,,,,,,,2,,,,,,,,,,,,,,,,0,56,,,,False
name,迷迭香！哎，有救了有救了。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,57,迷迭香！哎，有救了有救了。,ローズマリー！ああ、これで助かった、助かったぞ。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,avg_npc_042,avg_npc_012,,,,,,,1,,,,,,,,,,,,,,,,0,58,,,,False
name,他们都是被源石技艺转化的感染者......？没办法限制住他们的活动吗？,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,59,他们都是被源石技艺转化的感染者......？没办法限制住他们的活动吗？,皆さんは全部オリジ二ウム技術で変質した感染者なのですか……？彼らの行動をどうして抑えられないのでしょうか？,ローズマリー,True
character,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
name,是的，我们配备的大多是些防御装备，没想到连钢索和高纤维网都不太顶用，对上这些感染者，恐怕要上战争用军械才行。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,61,是的，我们配备的大多是些防御装备，没想到连钢索和高纤维网都不太顶用，对上这些感染者，恐怕要上战争用军械才行。,そうです、私たちが装備しているのは大半が防御用の装備です。ワイヤーも高強度ネットもあまり効かなくて、これらの感染者には軍用兵器が必要でしょう。,ロドスオペレーター,True
name,防线的压力实在太大，没办法，我们只能向本舰请求支援。幸亏来的是你，现在我们有办法了。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,62,防线的压力实在太大，没办法，我们只能向本舰请求支援。幸亏来的是你，现在我们有办法了。,防衛ラインへのプレッシャーが強すぎてどうしようもありません。本艦に支援を要請するしかありませんでした。来てくれて助かりました、これで打開できます。,ロドスオペレーター,True
name,他们体内的源石结构把他们的身体变得很坚韧，我们得用可控重火力去限制他们的行动。另外......我们检测不到他们的大脑活动的迹象。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,63,他们体内的源石结构把他们的身体变得很坚韧，我们得用可控重火力去限制他们的行动。另外......我们检测不到他们的大脑活动的迹象。,彼らの体内のオリジ二ウム構造で肉体が非常に頑強になっています。制御可能な重火力で行動を制限しなければなりません。また……脳活動の兆候も検出できません。,ロドスオペレーター,True
name,根据观察对比，他们似乎......实质上，已经死亡了。现在的他们纯粹是被某种支配性法术驱动的。哎，太过分了。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,64,根据观察对比，他们似乎......实质上，已经死亡了。现在的他们纯粹是被某种支配性法术驱动的。哎，太过分了。,観察結果によれば、彼らは……実質的にすでに死んでいるようです。いまは何かの支配系術式で動かされている存在です。ひどすぎますね。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
name,做出这种事的人......要付出代价。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,66,做出这种事的人......要付出代价。,こんなことをした人には……必ず代償が伴います。,ローズマリー,True
name,啊，你们的安全更重要。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,67,啊，你们的安全更重要。,ああ、皆さんの安全の方が大切です。,ローズマリー,True
name,帮我制定计划吧，我来......让他们的躁动停下。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,68,帮我制定计划吧，我来......让他们的躁动停下。,私に作戦を立てるのを手伝ってください、私が……彼らの暴走を止めます。,ローズマリー,True
decision,你要参与战斗？,,,,,,,,,,,,,,,,,,,,,,,,你要参与战斗？,1,,,,,,,,,,,,,,1,69,你要参与战斗？,君も戦闘に参加するのか？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,70,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
name,嗯。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,72,嗯。,はい。,ローズマリー,True
decision,可你看起来......,,,,,,,,,,,,,,,,,,,,,,,,可你看起来......,1,,,,,,,,,,,,,,1,73,可你看起来......,だけど君の見た目は……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,74,,,,False
character,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
name,......博士......你没见过迷迭香是吗？,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,76,......博士......你没见过迷迭香是吗？,……ドクター……ローズマリーに会ったこと、ありませんよね？,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
name,博士，请让一下。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,78,博士，请让一下。,ドクター、少しどいてくださいますか？,ローズマリー,True
character,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,,,,,,,,0,79,,,,False
name,那你可得小心，站远一点。这一定是你第一次见这种架势。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,80,那你可得小心，站远一点。这一定是你第一次见这种架势。,それなら君は気を付けて、少し離れててください。こういう現場を見るのは初めてでしょうから。,ロドスオペレーター,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
camerashake,,,,,,,,,,,true,,,,,,,2,0,8,30,30,true,,,,,,,,,,,,,,,,,0,83,,,,False
decision,放在舱门里的铁盒飞起来了？！,,,,,,,,,,,,,,,,,,,,,,,,放在舱门里的铁盒飞起来了？！;......？;漂浮在空中的器械，是你的装备？,1;2;3,,,,,,,,,,,,,,3,84,放在舱门里的铁盒飞起来了？！,ハッチに置いてあった鉄の箱が飛んだ？！,,True
decision,......？,,,,,,,,,,,,,,,,,,,,,,,,放在舱门里的铁盒飞起来了？！;......？;漂浮在空中的器械，是你的装备？,1;2;3,,,,,,,,,,,,,,3,85,......？,……？,,True
decision,漂浮在空中的器械，是你的装备？,,,,,,,,,,,,,,,,,,,,,,,,放在舱门里的铁盒飞起来了？！;......？;漂浮在空中的器械，是你的装备？,1;2;3,,,,,,,,,,,,,,3,86,漂浮在空中的器械，是你的装备？,空中に浮かんでる装置、それは君の装備か？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,,,,,0,87,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,0,90,,,,False
name,是我的。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,91,是我的。,はい、私のものです。,ローズマリー,True
name,干员，请向我描述一下目标的感觉。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,92,干员，请向我描述一下目标的感觉。,オペレーターさん、ターゲットの様子を教えてください。,ローズマリー,True
character,,,,,,,,,,,,,,,,avg_npc_012,,,,,,,,,,,,,,,,,,,,,,,,0,93,,,,False
name,了解，我查下交流手册......嗯，目标是，呃，表征活跃的大量不安个体？,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,94,了解，我查下交流手册......嗯，目标是，呃，表征活跃的大量不安个体？,了解しました、コミュニケーションマニュアルを確認します……うーん、ターゲットは、ええと、活発な動きを示す不安集団ですか？,ロドスオペレーター,True
name,集群活动，缺乏有效目标，趋势明显，既定路径不明。大致就这些！,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,95,集群活动，缺乏有效目标，趋势明显，既定路径不明。大致就这些！,集団行動、明確なターゲットなし、動きの傾向ははっきりしているけど進路不明――大体これだけです！,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
name,——我知道了。请交给我。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,97,——我知道了。请交给我。,――分かりました。私に任せてください。,ローズマリー,True
name,凯尔希医生叮嘱过，在处理结束以后，要让罗德岛本舰立刻离开龙门......！,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,98,凯尔希医生叮嘱过，在处理结束以后，要让罗德岛本舰立刻离开龙门......！,ケルシー先生から、処理が終わったらすぐにロドス本艦を龍門から離脱させるよう、指示されています……！,ローズマリー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,,,False
stopmusic,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,101,,,,False
blocker,,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
background,,,,,,,,,,,,bg_turf,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,0,103,,,,False
blocker,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,,,,False
playsound,,$rungeneral,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0,105,,,,False
character,,,,,,,,,,1,true,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,0,106,,,,False
delay,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,107,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,,,,False
name,晚上好啊，老陈。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,109,晚上好啊，老陈。,こんばんは、チェン。,ホシグマ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,111,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,,,,False
character,,,,,,,,,,1,true,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,0,113,,,,False
delay,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,114,,,,False
character,,,,,,,,,,,,,,,,char_010_chen_1#3,,,,,,,,,,,,,,,,,,,,,,,,0,115,,,,False
name,星熊......？你怎么在这，你的伤怎么样了？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,116,星熊......？你怎么在这，你的伤怎么样了？,ホシグマ……？どうしてここに、怪我はどうした？,チェン,True
character,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,0,117,,,,False
name,我可是鬼啊。那点小伤，早就好了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,118,我可是鬼啊。那点小伤，早就好了。,私は鬼だよ。あんな小さな怪我、もうとっくに治ったさ。,ホシグマ,True
playmusic,,$drift_loop,,,,,,,,,,,,$drift_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0,119,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,,,,,,,2,,,,,,,,,,,,,,,,0,120,,,,False
name,那我就——,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,121,那我就——,それなら――,チェン,True
name,等下，你是在这等我？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,122,等下，你是在这等我？,待って……ここで私を待っていたのか？,チェン,True
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,,,,,,,1,,,,,,,,,,,,,,,,0,123,,,,False
name,你推着的这架沙地车，是不是雷姆必拓那款最新型？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,124,你推着的这架沙地车，是不是雷姆必拓那款最新型？,君が押しているそのバギー、レムビトの最新モデルだろう？,ホシグマ,True
name,“越野，爬坡，防尘，高续航低耗能，最小的环境影响，最大的驾驶享受？”,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,125,“越野，爬坡，防尘，高续航低耗能，最小的环境影响，最大的驾驶享受？”,『オフロード、登坂、防塵、超長航続距離、省エネ設計、環境への最小影響、最大のドライビング快感？』,ホシグマ,True
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,2,,,,,,,,,,,,,,,,0,126,,,,False
name,......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,127,......,……,チェン,True
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,1,,,,,,,,,,,,,,,,0,128,,,,False
name,啊，不好意思。终端上看多了，一不小心就把广告词记得滚瓜烂熟了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,129,啊，不好意思。终端上看多了，一不小心就把广告词记得滚瓜烂熟了。,あ、ごめんな。端末で何度も見てたら、うっかりCMのセリフまで全部覚えちゃってさ。,ホシグマ,True
name,真是架好车，就算我对越野不感兴趣，也想过要买一台呢。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,130,真是架好车，就算我对越野不感兴趣，也想过要买一台呢。,本当にいい車だな。あんまりオフロードには興味ないけど、ちょっと欲しくなるよ。,ホシグマ,True
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,2,,,,,,,,,,,,,,,,0,131,,,,False
name,你是想说什么？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,132,你是想说什么？,何が言いたいんだ？,チェン,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,133,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,,,,False
image,,,,,,,,,,0,,avg_7_3,,,,,,,,,,,,,,,,0,0,1,1,,,,,,,,,0,136,,,,False
imagetween,,,,,,,,,,,false,,,,,,,20,,,,,,,,,,,,,,1,1,0.87,0.87,,,,,0,137,,,,False
blocker,,,,,,0,0,0,0,1,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,138,,,,False
name,风尘仆仆的，老陈，你想往哪里去？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,139,,,,False
name,为什么你会知道我在这里......？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,140,,,,False
name,你私下出城的时候都会从这里走。哪有缺口，哪有别人不知道的通道，你我都知道。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,141,,,,False
name,——近卫局已经发了通缉令。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,142,,,,False
name,你不会信的。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,143,,,,False
name,那肯定。你是什么样的人，我再清楚不过了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,144,,,,False
name,只有从这条路才能出龙门了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
name,我躲躲藏藏了一路。如果近卫局的人都像你一样懂道理......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,146,,,,False
name,那你就绝不可能出得了龙门。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,147,,,,False
name,......什么？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
name,你在说什么？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
name,他们和我一样，不希望你去。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
name,星熊......你要拦我？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,151,,,,False
name,怎么你也要拦我，星熊？！,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,152,,,,False
name,我当然要拦你，老陈。我是龙门近卫局的督察，更是你的朋友。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
name,你是不是想来次千里单骑的英雄大冒险？不能放你出城的原因，也就这一个了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
name,你是龙门人，星熊！,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,155,,,,False
name,我们已经没有其他机会了，再由魏彦吾用他的手段解决这事，只会牺牲更多人！,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,156,,,,False
name,用你的法子就能解决了吗？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,157,,,,False
name,......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,158,,,,False
name,他们叫你鬼姐，他们相信你能保护得了他们热爱的龙门。星熊，放我去。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,159,,,,False
name,......哈。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,160,,,,False
