command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,intro,volume,crossfade,delay,time,name2,focus,options,values,references,block,option_number,index,text,jp_text,jp_name,text_match
name,怎么办？,,,,临光,,,,,,,,,,,,,,,,0,15,怎么办？,どうしますか？,ニアール,True
character,,,,,char_148_nearl_1,,,,,,,,,,char_130_doberm_ex,2,,,,,0,16,,,,False
name,选择不多......,,,,杜宾,,,,,,,,,,,,,,,,0,17,选择不多......,選択肢は多くありません……,ドーベルマン,True
name,博士，你的想法呢？,,,,杜宾,,,,,,,,,,,,,,,,0,18,博士，你的想法呢？,ドクター、あなたの考えは？,ドーベルマン,True
decision,敌人想组织反击也需要时间。,,,,,,,,,,,,,,,,正面碾压过去就好！;......大概，他们也没法阻拦......;敌人想组织反击也需要时间。,1;2;3,,,3,19,敌人想组织反击也需要时间。,敵が反撃を組織するにも時間が必要だ。,,True
decision,正面碾压过去就好！,,,,,,,,,,,,,,,,正面碾压过去就好！;......大概，他们也没法阻拦......;敌人想组织反击也需要时间。,1;2;3,,,3,20,正面碾压过去就好！,正面から突破すればいい！,,True
decision,......大概，他们也没法阻拦......,,,,,,,,,,,,,,,,正面碾压过去就好！;......大概，他们也没法阻拦......;敌人想组织反击也需要时间。,1;2;3,,,3,21,......大概，他们也没法阻拦......,……たぶん、彼らも止められないだろう……,,True
predicate,,,,,,,,,,,,,,,,,,,1,,0,22,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,23,,,,False
name,整合运动的个人实力并不能和我们相提并论。,,,,杜宾,,,,,,,,,,,,,,,,0,24,整合运动的个人实力并不能和我们相提并论。,レユニオンの個々の戦力は私たちには及びません。,ドーベルマン,True
name,大多数情况下，都只是在依赖人海战术围攻我们。,,,,杜宾,,,,,,,,,,,,,,,,0,25,大多数情况下，都只是在依赖人海战术围攻我们。,多くの場合、人海戦術で包囲してくるだけです。,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,26,,,,False
name,依靠速度，不断前进，尽量减少一次性交战的人数的话——,,,,临光,,,,,,,,,,,,,,,,0,27,依靠速度，不断前进，尽量减少一次性交战的人数的话——,スピードで押し切って進み、一度に戦う敵の数を減らせば――,ニアール,True
predicate,,,,,,,,,,,,,,,,,,,2,,0,28,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,29,,,,False
name,他们并没有构筑防御工事。,,,,杜宾,,,,,,,,,,,,,,,,0,30,他们并没有构筑防御工事。,彼らは防御陣地を作っていません。,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,31,,,,False
name,如果我们突袭他们的封锁线......,,,,临光,,,,,,,,,,,,,,,,0,32,如果我们突袭他们的封锁线......,こちらが彼らの封鎖線を奇襲すれば……,ニアール,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,33,,,,False
name,虽然看上去人数众多，但整合运动这样松散的布置，是拦不住我们的。,,,,杜宾,,,,,,,,,,,,,,,,0,34,虽然看上去人数众多，但整合运动这样松散的布置，是拦不住我们的。,人数は多く見えても、レユニオンのような緩い布陣では私たちを止められません。,ドーベルマン,True
predicate,,,,,,,,,,,,,,,,,,,3,,0,35,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,36,,,,False
name,整合运动的通信方式，从过往的战斗来看，是十分原始的。,,,,杜宾,,,,,,,,,,,,,,,,0,37,整合运动的通信方式，从过往的战斗来看，是十分原始的。,過去の戦闘を見ると、レユニオンの通信方法は非常に原始的です。,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,38,,,,False
name,在我们突破敌人的阻碍，当他们开始组织起来，尝试截击我们的时候......,,,,临光,,,,,,,,,,,,,,,,0,39,在我们突破敌人的阻碍，当他们开始组织起来，尝试截击我们的时候......,私たちが敵の障害を突破して、彼らがまとまり始めて迎撃しようとしたときには……,ニアール,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,40,,,,False
name,当整合运动终于集结完毕，我们也早已经到达了下一个区域。,,,,杜宾,,,,,,,,,,,,,,,,0,41,当整合运动终于集结完毕，我们也早已经到达了下一个区域。,レユニオンがようやく集結できても、私たちはすでに次のエリアに到着しているでしょう。,ドーベルマン,True
predicate,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,43,,,,False
name,不错。,,,,临光,,,,,,,,,,,,,,,,0,44,不错。,その通りです。,ニアール,True
name,猛烈冲击，搅乱阵形，破坏火力点，迅速撤退。,,,,临光,,,,,,,,,,,,,,,,0,45,猛烈冲击，搅乱阵形，破坏火力点，迅速撤退。,激しく突撃し、陣形を乱し、火力ポイントを破壊して素早く退却します。,ニアール,True
name,......杜宾，你在考验我，还是在考验——,,,,临光,,,,,,,,,,,,,,,,0,46,......杜宾，你在考验我，还是在考验——,……ドーベルマン、あなたは私を試しているのですか、それとも――,ニアール,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,char_130_doberm_ex,2,,,,,0,47,,,,False
name,肉眼可见的威胁远比进退两难容易处理得多。,,,,杜宾,,,,,,,,,,,,,,,,0,48,肉眼可见的威胁远比进退两难容易处理得多。,目に見える脅威の方が、進退に迷うよりはるかに対処しやすいです。,ドーベルマン,True
name,我可以把这看作是博士的命令吗，阿米娅？,,,,杜宾,,,,,,,,,,,,,,,,0,49,我可以把这看作是博士的命令吗，阿米娅？,これはドクターの命令と見なしてもいいですか、アーミヤ？,ドーベルマン,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,char_130_doberm_ex,1,,,,,0,50,,,,False
name,局势很明了了。我相信博士的选择......,,,,阿米娅,,,,,,,,,,,,,,,,0,51,局势很明了了。我相信博士的选择......,状況ははっきりしました。わたしはドクターの選択を信じます……,アーミヤ,True
character,,,,,char_002_amiya_1#1,,,,,,,,,,char_130_doberm_ex,2,,,,,0,52,,,,False
name,——所谓信任，也不光是一场战役就能轻松建立的。,,,,杜宾,,,,,,,,,,,,,,,,0,53,——所谓信任，也不光是一场战役就能轻松建立的。,——いわゆる信頼というのは、一度の戦いで簡単に築けるものではありません。,ドーベルマン,True
name,我很看好博士，但阿米娅......,,,,杜宾,,,,,,,,,,,,,,,,0,54,我很看好博士，但阿米娅......,ドクターを高く評価していますが、アーミヤ……,ドーベルマン,True
name,不要放松警惕。你当然可以借助博士的智慧，但不可以完全依赖他。,,,,杜宾,,,,,,,,,,,,,,,,0,55,不要放松警惕。你当然可以借助博士的智慧，但不可以完全依赖他。,警戒を怠らないでください。ドクターの知恵を活かすのはいいですが、完全に頼り切るのはだめです。,ドーベルマン,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,char_130_doberm_ex,1,,,,,0,56,,,,False
name,——我知道。,,,,阿米娅,,,,,,,,,,,,,,,,0,57,——我知道。,——わかりました。,アーミヤ,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,58,,,,False
name,别介意，博士，我没想刁难你。,,,,杜宾,,,,,,,,,,,,,,,,0,59,别介意，博士，我没想刁难你。,気にしないでください、ドクター。あなたを困らせるつもりはありません。,ドーベルマン,True
name,只是，希望你能理解——阿米娅需要更多的学习和成长。,,,,杜宾,,,,,,,,,,,,,,,,0,60,只是，希望你能理解——阿米娅需要更多的学习和成长。,ただ、分かってほしいのは――アーミヤにはもっと学びと成長が必要だということです。,ドーベルマン,True
name,站在我的立场上，你也不会允许阿米娅太依靠别人的。,,,,杜宾,,,,,,,,,,,,,,,,0,61,站在我的立场上，你也不会允许阿米娅太依靠别人的。,もしあなたが私の立場でも、アーミヤが他人に頼りすぎることを許さないでしょう。,ドーベルマン,True
name,不过，我已经认可了你的指挥能力。,,,,杜宾,,,,,,,,,,,,,,,,0,62,不过，我已经认可了你的指挥能力。,しかし、あなたの指揮能力はすでに認めています。,ドーベルマン,True
decision,谢谢......,,,,,,,,,,,,,,,,谢谢......,1,,,1,63,谢谢......,ありがとう……,,True
predicate,,,,,,,,,,,,,,,,,,,1,,0,64,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,65,,,,False
name,也别那么拘谨，我们可已经是共患难的战友了。,,,,杜宾,,,,,,,,,,,,,,,,0,66,也别那么拘谨，我们可已经是共患难的战友了。,そんなにかしこまらなくてもいいですよ。私たちはすでに苦楽を共にする仲間です。,ドーベルマン,True
name,至少在战场，我的生命，已经交给你了。,,,,杜宾,,,,,,,,,,,,,,,,0,67,至少在战场，我的生命，已经交给你了。,少なくとも戦場では、私の命はあなたに預けています。,ドーベルマン,True
name,闲谈到此为止，抓紧时间。,,,,杜宾,,,,,,,,,,,,,,,,0,68,闲谈到此为止，抓紧时间。,雑談はここまでにして、時間を有効に使いましょう。,ドーベルマン,True
character,,,,,char_148_nearl_1#1,,,,,,,,,,char_130_doberm_ex,1,,,,,0,69,,,,False
name,是的。,,,,临光,,,,,,,,,,,,,,,,0,70,是的。,はい。,ニアール,True
name,卡西米尔有句谚语：“喘息时，死亡就会追上你。”,,,,临光,,,,,,,,,,,,,,,,0,71,卡西米尔有句谚语：“喘息时，死亡就会追上你。”,カジミエーシュにはこんなことわざがあります。「息をつくと、死があなたに追いつくのだ」と。,ニアール,True
delay,,,,,,,,,,,,,,0.6,,,,,,,0,72,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,0,73,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,0,74,,,,False
image,,,,,,,,,,,,,,,,,,,,,0,75,,,,False
