command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,name,name2,focus,options,values,references,time,block,option_number,index,text,jp_text,jp_name,text_match
name,乌萨斯的军事力量，怎么还没有集结反攻？,,,,,,,,,,,,,阿米娅,,,,,,,,0,26,乌萨斯的军事力量，怎么还没有集结反攻？,ウルサスの軍事力は、なぜまだ反撃のために集結していないのでしょう？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_130_doberm_ex,2,,,,,,0,27,,,,False
name,从我的经验来说，一般暴乱发生后，不出片刻，暴徒就会被全副武装的军警清剿。,,,,,,,,,,,,,杜宾,,,,,,,,0,28,从我的经验来说，一般暴乱发生后，不出片刻，暴徒就会被全副武装的军警清剿。,私の経験では、暴動が起きれば、すぐに武装した軍や警察が鎮圧します。,ドーベルマン,True
name,虽然，我们刚才也见证了一小撮军警被整合运动围攻的景象......,,,,,,,,,,,,,杜宾,,,,,,,,0,29,虽然，我们刚才也见证了一小撮军警被整合运动围攻的景象......,もっとも、さきほど統合運動に取り囲まれたごく少数の軍警も目撃しましたが……,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_130_doberm_ex,1,,,,,,0,30,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,0,31,......,……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_130_doberm_ex,2,,,,,,0,32,,,,False
name,那个蒙面的整合运动头目，即使是有一点不同......但她也没有能够吞没一城的水平。,,,,,,,,,,,,,杜宾,,,,,,,,0,33,那个蒙面的整合运动头目，即使是有一点不同......但她也没有能够吞没一城的水平。,あの仮面をした統合運動の首領、多少違いはあっても……都市全体を飲み込めるほどの力量はありません。,ドーベルマン,True
name,除非......,,,,,,,,,,,,,杜宾,,,,,,,,0,34,除非......,もしや……,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,0,35,,,,False
name,除非什么？,,,,,,,,,,,,,阿米娅,,,,,,,,0,36,除非什么？,何が「もしや」なんですか？,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,0,37,,,,False
name,我以前经历的战争中......,,,,,,,,,,,,,杜宾,,,,,,,,0,38,我以前经历的战争中......,私が以前経験した戦争でも……,ドーベルマン,True
name,也有行为与整合运动的掌控者如出一辙的领袖。,,,,,,,,,,,,,杜宾,,,,,,,,0,39,也有行为与整合运动的掌控者如出一辙的领袖。,統合運動の支配者と全く同じような行動をとるリーダーがいました。,ドーベルマン,True
name,于他而言，士兵不过是棋子，达到目的后就可以随意丢弃。,,,,,,,,,,,,,杜宾,,,,,,,,0,40,于他而言，士兵不过是棋子，达到目的后就可以随意丢弃。,彼にとって兵士とはただの駒であり、目的を果たせば容赦なく捨てる存在です。,ドーベルマン,True
name,既合理高效地运用兵力，又在不需要的时候放纵其自生自灭......,,,,,,,,,,,,,杜宾,,,,,,,,0,41,既合理高效地运用兵力，又在不需要的时候放纵其自生自灭......,兵力を理にかなって効率的に使い、不要なときには放っておいて勝手に滅びさせる……,ドーベルマン,True
name,因为训练与管理的成本太高了。,,,,,,,,,,,,,杜宾,,,,,,,,0,42,因为训练与管理的成本太高了。,訓練や管理のコストが高すぎるからです。,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,0,43,,,,False
name,所以，他只是放养他们？,,,,,,,,,,,,,Ace,,,,,,,,0,44,所以，他只是放养他们？,つまり、彼は彼らを放任しているんですか？,エース,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,0,45,,,,False
name,对。大多数时候，他只要把仇恨和恐慌当做口粮，喂养他们......,,,,,,,,,,,,,杜宾,,,,,,,,0,46,对。大多数时候，他只要把仇恨和恐慌当做口粮，喂养他们......,その通り。ほとんどの場合、憎しみや恐怖を糧として彼らを育てるだけです……,ドーベルマン,True
name,只需在必要时，轻轻地推一下——追随者就会振臂高呼。,,,,,,,,,,,,,杜宾,,,,,,,,0,47,只需在必要时，轻轻地推一下——追随者就会振臂高呼。,必要なときにほんの少し背中を押せば——従者はすぐに歓呼します。,ドーベルマン,True
name,如果整合运动的运作，真如他们宣传的那般......,,,,,,,,,,,,,杜宾,,,,,,,,0,48,如果整合运动的运作，真如他们宣传的那般......,本当に統合運動の運営が彼らの宣伝通りなら……,ドーベルマン,True
character,,,,,,,,,,,,,,char_013_riop,,,,,,,,0,49,,,,False
name,唔......,,,,,,,,,,,,,近卫干员,,,,,,,,0,50,唔......,う……,近衛オペレーター,True
name,穿上衣服，戴上标志，所有的感染者都可以是整合运动？,,,,,,,,,,,,,近卫干员,,,,,,,,0,51,穿上衣服，戴上标志，所有的感染者都可以是整合运动？,服を着て、マークをつければ、すべての感染者が統合運動になれるのですか？,近衛オペレーター,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,0,52,,,,False
name,是的。,,,,,,,,,,,,,杜宾,,,,,,,,0,53,是的。,そうです。,ドーベルマン,True
name,他们确实......将源源不断。,,,,,,,,,,,,,杜宾,,,,,,,,0,54,他们确实......将源源不断。,彼らは本当に……絶え間なく増えるでしょう。,ドーベルマン,True
name,被压迫、想要呼喊的感染者太多了。这时候，无论整合运动给出的是怎样的出路......,,,,,,,,,,,,,杜宾,,,,,,,,0,55,被压迫、想要呼喊的感染者太多了。这时候，无论整合运动给出的是怎样的出路......,虐げられ、叫びたい感染者が多すぎるのです。この時期に、統合運動がどんな出口を示しても……,ドーベルマン,True
name,只要在铁屋子上钻个口，哪怕外面就是一片火海，里面的人依然会互相推搡着探出身子。,,,,,,,,,,,,,杜宾,,,,,,,,0,56,只要在铁屋子上钻个口，哪怕外面就是一片火海，里面的人依然会互相推搡着探出身子。,鉄の家に穴が開くだけで、外が炎に包まれていても、みんな競い合って身を乗り出すのです。,ドーベルマン,True
character,,,,,,,,,,,,,,char_016_medic,,,,,,,,0,57,,,,False
name,唔......,,,,,,,,,,,,,医疗干员,,,,,,,,0,58,唔......,う……,医療オペレーター,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,0,59,,,,False
name,博士.,,,,,,,,,,,,,杜宾,,,,,,,,0,60,博士.,ドクター。,ドーベルマン,True
name,这和你我不同。即使我还没有完全信任你，但至少我信任你的能力。,,,,,,,,,,,,,杜宾,,,,,,,,0,61,这和你我不同。即使我还没有完全信任你，但至少我信任你的能力。,これはあなたや私とは違います。私はまだあなたを完全には信頼していませんが、少なくともあなたの能力は信じています。,ドーベルマン,True
decision,......,,,,,,,,,,,,,,,,......,1,,,,1,62,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,1,,,0,63,,,,False
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,0,64,,,,False
name,与你完全不同......,,,,,,,,,,,,,杜宾,,,,,,,,0,65,与你完全不同......,あなたとは全く異なる存在です……,ドーベルマン,True
name,这种领袖并不是指挥官。,,,,,,,,,,,,,杜宾,,,,,,,,0,66,这种领袖并不是指挥官。,このようなリーダーは指揮官ではありません。,ドーベルマン,True
name,践踏敌人，同时也践踏同伴，又或者说，“随从”，的生命。,,,,,,,,,,,,,杜宾,,,,,,,,0,67,践踏敌人，同时也践踏同伴，又或者说，“随从”，的生命。,敵を踏みにじると同時に、仲間——いや「従者」の命さえも踏みにじっています。,ドーベルマン,True
name,也许连随从都算不上，整合运动的暴徒，不过是领袖的棋子。,,,,,,,,,,,,,杜宾,,,,,,,,0,68,也许连随从都算不上，整合运动的暴徒，不过是领袖的棋子。,もしかしたら従者ですらなく、統合運動の暴徒たちはリーダーの駒でしかありません。,ドーベルマン,True
name,这样的人，是暴君。,,,,,,,,,,,,,杜宾,,,,,,,,0,69,这样的人，是暴君。,こういう人間こそ、暴君です。,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,1,,,,,,0,70,,,,False
name,无论敌人是谁，我们都会完成任务。,,,,,,,,,,,,,Ace,,,,,,,,0,71,无论敌人是谁，我们都会完成任务。,敵が誰であろうと、私たちは任務を遂行します。,エース,True
name,以前有人训导过我和我的队友——,,,,,,,,,,,,,Ace,,,,,,,,0,72,以前有人训导过我和我的队友——,かつて、私や仲間にこう教えられたことがあります——,エース,True
name,“如果是棋子，那就吃掉；如果是堡垒，那就攻陷；如果是王权，那就推翻”。,,,,,,,,,,,,,Ace,,,,,,,,0,73,“如果是棋子，那就吃掉；如果是堡垒，那就攻陷；如果是王权，那就推翻”。,「駒ならば倒せ、要塞ならば攻略しろ、王ならば打ち倒せ」。,エース,True
playmusic,,$calamity_loop,,,,,,,,$calamity_intro,1,1.5,,,,,,,,,,0,74,,,,False
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,2,,,,,,0,75,,,,False
name,Ace......稍等一下。,,,,,,,,,,,,,杜宾,,,,,,,,0,76,Ace......稍等一下。,エース……ちょっと待ってください。,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,0,77,,,,False
name,博士，正前方，盘踞着敌人的轻装甲部队。,,,,,,,,,,,,,Ace,,,,,,,,0,78,博士，正前方，盘踞着敌人的轻装甲部队。,ドクター、正面に敵の軽装甲部隊が陣取っています。,エース,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,0,79,,,,False
name,我们被发现了吗？,,,,,,,,,,,,,阿米娅,,,,,,,,0,80,我们被发现了吗？,私たち、見つかりましたか？,アーミヤ,True
character,,,,,,,,,,,,,,char_014_riope,,,,,,,,0,81,,,,False
name,还没有。,,,,,,,,,,,,,Ace,,,,,,,,0,82,还没有。,まだです。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,2,,,,,,0,83,,,,False
name,但是......,,,,,,,,,,,,,杜宾,,,,,,,,0,84,但是......,ですが……,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,1,,,,,,0,85,,,,False
name,我们避不开。这是这条路径中的最短路线，如果我们迂回，就会损失时间。,,,,,,,,,,,,,Ace,,,,,,,,0,86,我们避不开。这是这条路径中的最短路线，如果我们迂回，就会损失时间。,避けられません。この道が一番短いルートで、迂回すれば時間を失います。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,2,,,,,,0,87,,,,False
name,那没什么好说的了。无论他们是棋子还是暴徒，只要从战场上赶出去就好！,,,,,,,,,,,,,杜宾,,,,,,,,0,88,那没什么好说的了。无论他们是棋子还是暴徒，只要从战场上赶出去就好！,では、もう言うことはありません。彼らが駒であろうと暴徒であろうと、戦場から追い出せばそれでいい！,ドーベルマン,True
delay,,,,,,,,,,,,,,,,,,,,0.6,,0,89,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,0,90,,,,False
