command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,name,name2,focus,effect,keep,amount,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,......希望是这样，领袖。,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,38,......希望是这样，领袖。,……そうであってほしいです、リーダー。,ファントムアーチャー,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,2,,,,,,,0,39,,,,False
name,嗯，你背着的怎么是......梅菲斯特？他没有......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,40,嗯，你背着的怎么是......梅菲斯特？他没有......,あら、あなたが背負っているのは……メフィスト？彼は……,タルラ,True
name,......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,41,......,……,タルラ,True
name,浮士德是不是为了救他牺牲了自己？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,42,浮士德是不是为了救他牺牲了自己？,ファウストは彼を救うために自らを犠牲にしたの？,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,1,,,,,,,0,43,,,,False
name,......确实如此，领袖。浮士德不顾自己的命，用法术掩盖了我们所有人的踪迹，把逃出来的机会......让给了我们。,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,44,......确实如此，领袖。浮士德不顾自己的命，用法术掩盖了我们所有人的踪迹，把逃出来的机会......让给了我们。,……その通りです、リーダー。ファウストは自分の命を顧みず、術を使って私たち全員の痕跡を隠し、逃げる機会を……私たちに託してくれました。,ファントムアーチャー,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,2,,,,,,,0,45,,,,False
name,哦？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,46,哦？,あら？,タルラ,True
name,......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,47,......,……,タルラ,True
name,幻影弩手们，整合运动的同胞们......我们会永远怀念浮士德。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,48,幻影弩手们，整合运动的同胞们......我们会永远怀念浮士德。,ファントムアーチャーたち、インテグレーションムーブメントの仲間たち……ファウストのことは永遠に忘れません。,タルラ,True
name,扶他下去吧。梅菲斯特也许需要一点时间去休息。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,49,扶他下去吧。梅菲斯特也许需要一点时间去休息。,彼を下ろしてあげて。メフィストも少し休む時間が必要かもしれないわ。,タルラ,True
name,我会让战士们领你们去现在的驻地。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,50,我会让战士们领你们去现在的驻地。,戦士たちに、あなたたちを今の駐屯地に案内させるわ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,1,,,,,,,0,51,,,,False
name,还有，领袖......我们很早就失去了弑君者的消息，我们不确定她的下落。,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,52,还有，领袖......我们很早就失去了弑君者的消息，我们不确定她的下落。,それから、リーダー……私たちはかなり早くからキングスレイヤーの消息を失いました。彼女の行方は不明です。,ファントムアーチャー,True
name,至于......雪怪小队，以及霜星小姐，他们都......都......,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,53,至于......雪怪小队，以及霜星小姐，他们都......都......,そして……イエティ小隊やフロストノヴァさん、彼らも……みんな……,ファントムアーチャー,True
character,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,0,54,,,,False
name,——,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,55,——,——,タルラ,True
name,真是无比令人沉痛的消息。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,56,真是无比令人沉痛的消息。,本当に痛ましい知らせだわ。,タルラ,True
name,请允许我......独处一小会儿。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,57,请允许我......独处一小会儿。,少しだけ……ひとりにさせてちょうだい。,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
blocker,,,,,,1,true,1,0,0,0,,,,,,,,,,,,,,0,60,,,,False
background,,,,,,,,,,,,bg_perimeter,coverall,,,,,,,,,,,,0,61,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,1,,,,,,,,,,0,62,,,,False
blocker,,,,,,1,true,0,0,0,0,,,,,,,,,,,,,,0,63,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,0,64,,,,False
character,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,0,65,,,,False
name,......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,66,......,……,タルラ,True
name,萨卡兹。不要让他们和任何城内的整合运动成员接触。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,67,萨卡兹。不要让他们和任何城内的整合运动成员接触。,サルカズ。彼らを街の中のインテグレーションムーブメントのメンバーと絶対に接触させないで。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_053,,,,,,,,,0,68,,,,False
name,做到哪一步？,,,,,,,,,,,,,,,萨卡兹战士,,,,,,,,,0,69,做到哪一步？,どこまでやればいい？,サルカズ戦士,True
character,,,,,,,,,,,,,,,,char_011_talula_1,,,,,,,,,0,70,,,,False
name,最后一步。永远不要。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,71,最后一步。永远不要。,最後まで。絶対に接触させてはならないわ。,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,72,,,,False
blocker,,,,,,1,true,1,0,0,0,,,,,,,,,,,,,,0,73,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,74,,,,False
background,,,,,,,,,,,,bg_black,coverall,,,,,,,,,,,,0,75,,,,False
blocker,,,,,,1,true,0,0,0,0,,,,,,,,,,,,,,0,76,,,,False
character,,,,,,1,true,,,,,,,,,char_011_talula_1,,,,,,,,,0,77,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,0,78,,,,False
name,是刻意隐瞒，还是钻研得出了成果？他的小队竟然知道我不了解的信息。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,79,是刻意隐瞒，还是钻研得出了成果？他的小队竟然知道我不了解的信息。,わざと隠しているのか、それとも探求して成果を得たのか？彼の小隊は、私が知らない情報を知っているなんて。,タルラ,True
name,也许......是在战斗中有了成长。这样的法术已经超乎寻常，而他对我守口如瓶。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,80,也许......是在战斗中有了成长。这样的法术已经超乎寻常，而他对我守口如瓶。,もしかして……戦いの中で成長したのかしら。こんな術は普通を超えてるのに、あの子は私には何も話さなかった。,タルラ,True
name,......沉默寡言竟然成了伪装的外皮。本以为存活的会是浮士德。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,81,......沉默寡言竟然成了伪装的外皮。本以为存活的会是浮士德。,……無口なことがまさか仮面になっているとは。生き残るのはファウストだと思っていた。,タルラ,True
name,如果是这样，那也就不奇怪了。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,82,如果是这样，那也就不奇怪了。,そうなら、それも不思議じゃないわね。,タルラ,True
stopmusic,,,,,,2,,,,,,,,,,,,,,,,,,,0,83,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
blocker,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,0,85,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
background,,,,,,,,,,,,bg_cherbefore_1,coverall,,,,,,,,,,,,0,87,,,,False
cameraeffect,,,,,,0,,,,,,,,,,,,,Grayscale,true,1,,,,0,88,,,,False
blocker,,,,,,2,true,0,0,0,0,,,,,,,,,,,,,,0,89,,,,False
playmusic,,$loneliness_loop,,,,,,,,,,,,$loneliness_intro,0.4,,,,,,,,,,0,90,,,,False
name,......你是谁？,,,,,,,,,,,,,,,？？？,,,,,,,,,0,91,......你是谁？,……あなたは誰？,？？？,True
,我是谁？,,,,,,,,,,,,,,,,,,,,,,,,0,92,,,,False
name,你想做什么？,,,,,,,,,,,,,,,？？？,,,,,,,,,0,93,你想做什么？,あなたは何がしたいの？,？？？,True
,我想做什么......？,,,,,,,,,,,,,,,,,,,,,,,,0,94,,,,False
name,加入......你们？为了自己去斗争？,,,,,,,,,,,,,,,？？？,,,,,,,,,0,95,加入......你们？为了自己去斗争？,加わって……あなたたちに？自分のために戦うってこと？,？？？,True
,斗争......？,,,,,,,,,,,,,,,,,,,,,,,,0,96,,,,False
name,呵，崇高的乌萨斯人啊。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,97,呵，崇高的乌萨斯人啊。,ふふ、高貴なるウルサス人よ。,タルラ,True
name,原本你们才是应该走到最后的人。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,98,原本你们才是应该走到最后的人。,本来なら、最後まで辿り着くべきはあなたたちだったのよ。,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,99,,,,False
stopmusic,,,,,,2,,,,,,,,,,,,,,,,,,,0,100,,,,False
blocker,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,0,101,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,102,,,,False
cameraeffect,,,,,,0,,,,,,,,,,,,,Grayscale,true,0,,,,0,103,,,,False
background,,,,,,,,,,,,bg_cherunder,coverall,,,,,,,,,,,,0,104,,,,False
blocker,,,,,,2,true,0,0,0,0,,,,,,,,,,,,,,0,105,,,,False
playmusic,,$batmeeting_loop,,,,,,,,,,,,$batmeeting_intro,0.4,,,,,,,,,,0,106,,,,False
character,,,,,,1,true,,,,,,,,,char_002_amiya_1,,,,,,,,,0,107,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,0,108,,,,False
name,核心城似乎恢复速度了，停驻的时间不长。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,109,核心城似乎恢复速度了，停驻的时间不长。,コアシティの回復が早くなっているみたいです、停滞している時間もそれほど長くありません。,アーミヤ,True
name,往好的方向想，整合运动应该还是接收了一部分从龙门迁移出来的感染者。希望如此......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,110,往好的方向想，整合运动应该还是接收了一部分从龙门迁移出来的感染者。希望如此......,前向きに考えるなら、インテグレーションムーブメントが龍門から移動してきた感染者の一部を受け入れているはずです。そうであってほしいです……,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,0,111,,,,False
name,但我们也可能被迫改变策略。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,112,但我们也可能被迫改变策略。,しかし、我々も戦略を変更せざるを得ないかもしれない。,ケルシー,True
name,可预见的是，核心城还会在路途中停留几次，直到敌人的指挥官不再打算掩盖自己的动机，拒绝感染者难民为止。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,113,可预见的是，核心城还会在路途中停留几次，直到敌人的指挥官不再打算掩盖自己的动机，拒绝感染者难民为止。,予想されるのは、コアシティが道中であと数回停止することだ。敵の指揮官が自分の動機を隠すことをやめ、感染者難民を拒絶するまで続くだろう。,ケルシー,True
name,如果魏彦吾选择类似的时机展开进攻，敌人会改变现有防卫力量的布置，我们很可能会因此暴露位置，成为众矢之的。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,114,如果魏彦吾选择类似的时机展开进攻，敌人会改变现有防卫力量的布置，我们很可能会因此暴露位置，成为众矢之的。,もし魏彦吾がそうした時機に攻撃を仕掛けてきた場合、敵は現有の防衛配置を変えるだろう。我々もそのせいで位置が露見し、狙われる可能性が高い。,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1,2,,,,,,,0,115,,,,False
name,希望那个协定起码能让文月小姐把魏长官拖上一会儿......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,116,希望那个协定起码能让文月小姐把魏长官拖上一会儿......,あの協定が少なくとも文月さんにウェイ長官をしばらく引きとめてくれると良いのですが……,アーミヤ,True
name,嗯......我们已经相当接近核心城的中央区了。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,117,嗯......我们已经相当接近核心城的中央区了。,うーん……私たちはもうコアシティの中央区にかなり近付いています。,アーミヤ,True
name,大量在地下与地面上穿行的通道，似乎原本是核心城的资源输送系统的一部分。天灾过后，所有工业设施都停止了运作。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,118,大量在地下与地面上穿行的通道，似乎原本是核心城的资源输送系统的一部分。天灾过后，所有工业设施都停止了运作。,地下と地上に大量の通路があり、元々はコアシティの資源輸送システムの一部だったようです。天災の後、全ての工業施設は停止してしまいました。,アーミヤ,True
name,在这种情况下，核心城居然还能运作，甚至移动......这和凯尔希医生说的地下设施有关吗？,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,119,在这种情况下，核心城居然还能运作，甚至移动......这和凯尔希医生说的地下设施有关吗？,こんな状況なのに、コアシティはまだ動いている、しかも移動まで……これってケルシー先生が言っていた地下施設と関係あるのでしょうか？,アーミヤ,True
name,无论如何，穿梭通道为我们提供了良好的隐蔽。在这个接近中央区的仓储区域内，敌人的守卫数量已经增加了近一倍......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,120,无论如何，穿梭通道为我们提供了良好的隐蔽。在这个接近中央区的仓储区域内，敌人的守卫数量已经增加了近一倍......,いずれにしても、通路のおかげで私たちはうまく隠れられました。この中央区近くの倉庫エリアでは、敵の警備がすでに倍近く増えています……,アーミヤ,True
name,进入核心城以来，我们还没有遭遇太多火力冲突。但在踏入中央区之后，我们与整合运动摩擦、甚至交战的次数，应该会急剧增加。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,0,121,进入核心城以来，我们还没有遭遇太多火力冲突。但在踏入中央区之后，我们与整合运动摩擦、甚至交战的次数，应该会急剧增加。,コアシティに入ってから、私たちはあまり激しい戦闘に遭遇していません。でも中央区に入ると、インテグレーションムーブメントと衝突したり、戦闘になる回数が急激に増えると思います。,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,0,122,,,,False
name,侦察小队与行动小队已经先我们一步到位。迄今为止都很顺利。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,123,侦察小队与行动小队已经先我们一步到位。迄今为止都很顺利。,偵察小隊と行動小隊は既に我々より先に到着している。これまでのところ、すべて順調だ。,ケルシー,True
decision,我们怎么只有三支小队共同行动？,,,,,,,,,,,,,,,,,,,,,我们怎么只有三支小队共同行动？,1,,1,124,我们怎么只有三支小队共同行动？,なぜ私たちは三つの小隊だけで一緒に行動しているの？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,1,0,125,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,0,126,,,,False
name,侦察小队和特别行动小队有他们各自的任务。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,127,侦察小队和特别行动小队有他们各自的任务。,偵察小隊と特別行動小隊にはそれぞれの任務がある。,ケルシー,True
name,作为罗德岛的通讯专家之一，Raidian在这次行动中领导侦察小队。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,128,作为罗德岛的通讯专家之一，Raidian在这次行动中领导侦察小队。,ロドス島の通信専門家の一人であるレイディアンが、今回の作戦で偵察小隊を率いている。,ケルシー,True
name,依靠Raidian，侦察小队在核心城作战中发挥着通讯中继点的作用。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,129,依靠Raidian，侦察小队在核心城作战中发挥着通讯中继点的作用。,レイディアンのおかげで、偵察小隊はコアシティでの作戦中、通信中継の役割を果たしている。,ケルシー,True
name,即使在这里，我们也能与其他队伍交流，这全部仰赖这支小队的努力。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,130,即使在这里，我们也能与其他队伍交流，这全部仰赖这支小队的努力。,ここにいても、私たちが他の部隊と連携できているのはすべてこの小隊の努力のおかげだ。,ケルシー,True
decision,我没看见他们......,,,,,,,,,,,,,,,,,,,,,我没看见他们......,1,,1,131,我没看见他们......,私は彼らを見ていません……,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,1,0,132,,,,False
name,侦察小队从来都独来独往。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,133,侦察小队从来都独来独往。,偵察小隊は常に単独で動いている。,ケルシー,True
name,Outcast，Raidian，以及在切城营救行动中英勇牺牲的Scout——,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,134,Outcast，Raidian，以及在切城营救行动中英勇牺牲的Scout——,アウトキャスト、レイディアン、そしてチェルノボーグ救援作戦で勇敢に戦死したスカウト――,ケルシー,True
name,担任侦察小队队长的精英干员们，担负着独自领导一支小队，发现危机，报告危机，以及尝试独自处理危机的职责。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,135,担任侦察小队队长的精英干员们，担负着独自领导一支小队，发现危机，报告危机，以及尝试独自处理危机的职责。,偵察小隊のリーダーとなるエリートオペレーターたちは、小隊を率い、危機を発見し、報告し、そして時に単独で危機に対処する役割を持つ。,ケルシー,True
name,Raidian不像刚才提到的另两位精英干员那样擅长战斗，但在影响战局的层面上，却可以称作是在罗德岛屈指可数的人才。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,136,Raidian不像刚才提到的另两位精英干员那样擅长战斗，但在影响战局的层面上，却可以称作是在罗德岛屈指可数的人才。,レイディアンは、先に挙げた二人ほど戦闘には長けていないが、局面に影響を与えるという意味ではロドスでも屈指の人材だ。,ケルシー,True
name,这一次的攻击任务由我们这三支队伍承担，Raidian不必再承担繁重的战斗事务。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,137,这一次的攻击任务由我们这三支队伍承担，Raidian不必再承担繁重的战斗事务。,今回の攻撃任務は我々三部隊が担当し、レイディアンは重い戦闘任務を背負う必要はない。,ケルシー,True
name,至于特别小队，他们的任务与正面作战无关。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,138,至于特别小队，他们的任务与正面作战无关。,特別部隊については、彼らの任務は正面戦闘とは無関係だ。,ケルシー,True
decision,和我说说。,,,,,,,,,,,,,,,,,,,,,和我说说。;......;所以你不准备告诉我？,1;2;3,,3,139,和我说说。,教えてください。,,True
decision,......,,,,,,,,,,,,,,,,,,,,,和我说说。;......;所以你不准备告诉我？,1;2;3,,3,140,......,……,,True
decision,所以你不准备告诉我？,,,,,,,,,,,,,,,,,,,,,和我说说。;......;所以你不准备告诉我？,1;2;3,,3,141,所以你不准备告诉我？,つまり、私には教えるつもりはないの？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,142,,,,False
name,知道有其必要即可。更多细节你之后自然会明白。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,143,知道有其必要即可。更多细节你之后自然会明白。,知っておく必要があることだけでいい。それ以外の詳細は、後で自ずと分かるだろう。,ケルシー,True
name,不同的小队是战略计划链条上不同的环节，稳固的结构输出稳定的结果。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,144,不同的小队是战略计划链条上不同的环节，稳固的结构输出稳定的结果。,異なる小隊は戦略計画の鎖の異なる環であり、安定した組織構造が安定した結果を導く。,ケルシー,True
name,相应的，强韧的敌手也一样有着错综复杂的根部，它会从各个不同的层面吸取养分，砍掉枝条对他们并无威胁。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,145,相应的，强韧的敌手也一样有着错综复杂的根部，它会从各个不同的层面吸取养分，砍掉枝条对他们并无威胁。,それと同様に、強大な敵もまた複雑な根を持っている。彼らは様々な層から養分を吸収しており、枝を切っただけでは全く脅威とならない。,ケルシー,True
name,我们要做的是在暗处引燃敌人根基。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,146,我们要做的是在暗处引燃敌人根基。,私たちがすべきなのは、見えないところで敵の根本に火をつけることだ。,ケルシー,True
decision,我似乎明白了。,,,,,,,,,,,,,,,,,,,,,啊？你说什么？;......;我似乎明白了。,1;2;3,,3,147,我似乎明白了。,なんとなく分かった気がします。,,True
decision,......,,,,,,,,,,,,,,,,,,,,,啊？你说什么？;......;我似乎明白了。,1;2;3,,3,148,......,……,,True
decision,啊？你说什么？,,,,,,,,,,,,,,,,,,,,,啊？你说什么？;......;我似乎明白了。,1;2;3,,3,149,啊？你说什么？,あれ？何と言ったの？,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,0,150,,,,False
name,呵。理应不存在你不能理解的事情......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,151,呵。理应不存在你不能理解的事情......,ふふ。本来あなたに理解できないことはないはずだ……,ケルシー,True
name,“博士”。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,0,152,“博士”。,「ドクター」。,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
stopmusic,,,,,,2,,,,,,,,,,,,,,,,,,,0,155,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,0,156,,,,False
character,,,,,,1,true,,,,,,,,,avg_npc_042,,,,,,,,,0,157,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,0,158,,,,False
name,等一等。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,0,159,等一等。,ちょっと待って。,ローズマリー,True
name,远处有几个很模糊的感觉。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,0,160,远处有几个很模糊的感觉。,遠くにぼんやりとした気配がいくつかある。,ローズマリー,True
name,很整齐，流向没有变化，没有相互冲突。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,0,161,很整齐，流向没有变化，没有相互冲突。,とても整然として、流れも変わらず、互いに衝突もしていない。,ローズマリー,True
name,......很硬。在移动。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,0,162,......很硬。在移动。,……すごく硬い。動いている。,ローズマリー,True
playmusic,,$mist_loop,,,,,,,,,,,,$mist_intro,0.4,,,,,,,,,,0,163,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,0,164,,,,False
