command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,name2,focus,options,values,references,crossfade,option_number,index,text,jp_text,jp_name,text_match
name,我还差点害死他。其实没有他......没有他我们可能早死了。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,36,我还差点害死他。其实没有他......没有他我们可能早死了。,私はもう少しで彼を殺していたかもしれない。実際、彼がいなければ……私たちはとっくに死んでいただろう。,ウルサス感染者,True
name,但因为他每次放我们去找物资，都会有人死去，我真的怀疑过他和其他整合运动串通起来拿我们取乐。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,37,但因为他每次放我们去找物资，都会有人死去，我真的怀疑过他和其他整合运动串通起来拿我们取乐。,でも、彼が物資調達に行かせてくれるたびに誰かが死ぬ。彼が他の整合運動とグルになって、私たちを楽しませているのではと本気で疑った。,ウルサス感染者,True
name,我们不已经是感染者了吗？整合运动......有那么恨我们乌萨斯人吗？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,38,我们不已经是感染者了吗？整合运动......有那么恨我们乌萨斯人吗？,私たちはもう感染者じゃないのか？整合運動は……そんなに私たちウルサス人を憎んでいるのか？,ウルサス感染者,True
dialog,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
character,,,,,,,,,,1,true,,,,,char_003_kalts_1,,,,,,,0,42,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,0,43,,,,False
name,许多人心中最丑恶的情绪并不需要太多煽动，仅仅是放任自流，都能污染一座城市中的所有沟渠。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,44,许多人心中最丑恶的情绪并不需要太多煽动，仅仅是放任自流，都能污染一座城市中的所有沟渠。,多くの人の心の中の最も醜悪な感情は、大きな煽動を必要としない。ただ放任するだけで、その感情は都市中すべての水路を汚してしまう。,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1,2,,,,,0,45,,,,False
name,医生......刚才太突然了！,,,,,,,,,,,,,,,阿米娅,,,,,,,0,46,医生......刚才太突然了！,ドクター……さっきは急すぎました！,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1,1,,,,,0,47,,,,False
name,阿米娅，你应该已经不会被这种伎俩吓到。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,48,阿米娅，你应该已经不会被这种伎俩吓到。,アーミヤ、君ならもうこういう手には動じないはずだ。,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1,2,,,,,0,49,,,,False
name,见一两次就够了......！,,,,,,,,,,,,,,,阿米娅,,,,,,,0,50,见一两次就够了......！,一、二回見ればもう十分です……！,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1,1,,,,,0,51,,,,False
name,浪费太多时间用于交涉，只会阻碍我们下一步的行动。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,52,浪费太多时间用于交涉，只会阻碍我们下一步的行动。,交渉に時間をかけすぎると、次の行動の妨げになるだけだ。,ケルシー,True
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,0,53,,,,False
name,所以你......医生，如果她撒谎的话，你真的会杀我吗？,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,54,所以你......医生，如果她撒谎的话，你真的会杀我吗？,それで……ドクター、もし彼女が嘘をついていたら、お前は本当に俺を殺すのか？,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,2,,,,,0,55,,,,False
name,我......我最后没有那么说啊！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,56,我......我最后没有那么说啊！,私は……最後はそんなことは言っていない！,ウルサス感染者,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,0,57,,,,False
name,只是个假设，不是所有受过伤害的感染者都那么诚实，就连我自己也被冲昏头脑过。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,58,只是个假设，不是所有受过伤害的感染者都那么诚实，就连我自己也被冲昏头脑过。,ただの仮定だ。傷ついた感染者が皆正直だとは限らない。俺だって頭に血が上ったことがある。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,2,,,,,0,59,,,,False
name,唔，唉......,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,60,唔，唉......,うぅ、はぁ……,ウルサス感染者,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,0,61,,,,False
name,并不会。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,62,并不会。,しない。,ケルシー,True
name,你是罗德岛的干员。我首先信任的是你。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,63,你是罗德岛的干员。我首先信任的是你。,君はロドスのオペレーターだ。私はまず君を信じている。,ケルシー,True
name,比起别的，这更像是对她的心理疗法。当然，你和她的表现，都证明了你的无辜。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,64,比起别的，这更像是对她的心理疗法。当然，你和她的表现，都证明了你的无辜。,他の理由よりも、これは彼女への心理療法に近い。もちろん、君と彼女の態度は、君の無実を証明している。,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_059,2,,,,,0,65,,,,False
name,可我......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,66,可我......,でも、俺は……,ロドス近衛オペレーター？,True
name,医生你的表情太阴沉了。我真的很怕你做出这种事......而且你演得实在有点太像了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,67,医生你的表情太阴沉了。我真的很怕你做出这种事......而且你演得实在有点太像了。,ドクター、お前の顔があまりにも暗い。本当にこんなことをするんじゃないかと怖かった……それに演技が本気すぎる。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_059,1,,,,,0,68,,,,False
name,这没什么问题。我不会，但我理应做到让大多数人觉得我会。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,69,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1,2,,,,,0,70,,,,False
name,凯尔希医生，做到这份上......别再恐吓Guard啦。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,71,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1,1,,,,,0,72,,,,False
name,好。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,73,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,avg_npc_059,1,,,,,0,74,,,,False
name,Guard，不用担心，事情如果真发展到那种程度，我也会阻止医生的。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,75,,,,False
name,刚才这些，会不会太刺激到你的情绪？要我帮你恢复吗？,,,,,,,,,,,,,,,阿米娅,,,,,,,0,76,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,avg_npc_059,2,,,,,0,77,,,,False
name,啊，这倒不用，如果这种程度也需要阿米娅的心理治疗，我就太脆弱了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,78,,,,False
name,毕竟......我真正不放心的就只有站在门口的那个人。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,79,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,0,80,,,,False
name,......,,,,,,,,,,,,,,,迷迭香,,,,,,,0,81,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,avg_npc_059,2,,,,,0,82,,,,False
name,尽管现在好些了，她和我说了那些以后，我大概也明白......但我还是会想到她用巨剑掷过去切开一整个人的事。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,83,,,,False
name,那次任务我这辈子都忘不掉了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,84,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,avg_npc_059,1,,,,,0,85,,,,False
name,啊......我知道那一次。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,86,,,,False
name,Guard......你知道她在那次任务中救下了四个平民，使他们免遭当地武装实验武器的杀害了吗？,,,,,,,,,,,,,,,阿米娅,,,,,,,0,87,,,,False
name,她斩杀的是当地武装从萨尔贡奴隶贩子手里购买的废弃军用实验术师，那一批的所有术师全部被切除了脑垂体。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,88,,,,False
name,是种入身体的源石器官，而不是他们自身的神经系统在控制他们活动。他们实际上已经死了。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,89,,,,False
name,只有像迷迭香那样的战斗方式才能彻底摧毁实验体感染器官的运作。她没有做错。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,90,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,avg_npc_059,2,,,,,0,91,,,,False
name,......是这样吗？,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,92,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,avg_npc_059,1,,,,,0,93,,,,False
name,Guard，我认为，你对迷迭香的想象，和那位小姐一开始对你的误解有一定的相似处。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,94,,,,False
name,传闻和表象，是别人认识我们的第一面窗户。无论你做了什么，他们的第一反应都会是排斥整合运动，这无可厚非。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,95,,,,False
name,可是，如果仅仅停留在这层认知......不要说信任了，我们甚至不会对事情哪怕有一点点更多的了解。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,96,,,,False
name,如果没有人有了解真相的意愿，那就算把真相撒播在街道上，也不会有发芽的可能。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,97,,,,False
name,而且，迷迭香就在面前吧，直接去问她......会更好吧？,,,,,,,,,,,,,,,阿米娅,,,,,,,0,98,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,avg_npc_059,2,,,,,0,99,,,,False
name,问、问她？,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,100,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,0,101,,,,False
name,你想问什么？,,,,,,,,,,,,,,,迷迭香,,,,,,,0,102,,,,False
decision,（迷迭香好凶......！）,,,,,,,,,,,,,,,,,,（迷迭香好凶......！）,1,,,1,103,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,0,104,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,0,105,,,,False
name,（呃，不是这样......她也不知道该说什么吧......）,,,,,,,,,,,,,,,阿米娅,,,,,,,0,106,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,avg_npc_059,2,,,,,0,107,,,,False
name,......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,108,,,,False
name,......迷迭香，你来这里，是做什么的？,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,109,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,0,110,,,,False
name,执行任务。,,,,,,,,,,,,,,,迷迭香,,,,,,,0,111,,,,False
name,......还有，我说了，报仇。许多家人的仇。,,,,,,,,,,,,,,,迷迭香,,,,,,,0,112,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,0,113,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,0,114,,,,False
blocker,,,,,,1,0,0,0,2,true,,,,,,,,,,,,0,115,,,,False
blocker,,,,,,0,0,0,0,2,true,,,,,,,,,,,,0,116,,,,False
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,0,117,,,,False
name,我问完了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,118,,,,False
name,但......我也不知道我问了啥。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,119,,,,False
name,以前我对阿撒兹勒发火，现在还是我，对迷迭香出言不逊。哈，我真是一塌糊涂。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,120,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,0,121,,,,False
name,但你却信任爱国者。和我们谈谈爱国者和游击队，以及整合运动吧。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,122,,,,False
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,0,123,,,,False
name,我想医生和博士这样的，肯定很能理解现状。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,124,,,,False
name,之所以在这些地方还能有活人，之所以切尔诺伯格城里还能活下许多乌萨斯人......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,125,,,,False
name,全是因为爱国者和游击队，以及还有尊重他们的人在。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,126,,,,False
name,游击队战士们只要站在那里，周边就不会有纠纷，也不会有任何人敢对别人施以暴行。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,127,,,,False
name,他们不仅运送货物和分配资源，他们还帮助本地人改善生活条件。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,128,,,,False
name,......爱国者原本打算放我出城。但我选择自己留下来......看看现状。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,129,,,,False
name,我听到他和阿撒兹勒领袖的谈话，我觉得哪怕他的表象是伪装出来的，他也至少会爱护那个表象。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,130,,,,False
name,何况......何况Scout先生为了保护我死在了那里。爱国者他尊重Scout先生。我......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,131,,,,False
decision,Scout......牺牲在切尔诺伯格的干员。,,,,,,,,,,,,,,,,,,Scout......牺牲在切尔诺伯格的干员。,1,,,1,132,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,0,133,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,0,134,,,,False
name,Scout！,,,,,,,,,,,,,,,迷迭香,,,,,,,0,135,,,,False
decision,迷迭香......？,,,,,,,,,,,,,,,,,,迷迭香......？,1,,,1,136,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,0,137,,,,False
name,Scout他怎么了？,,,,,,,,,,,,,,,迷迭香,,,,,,,0,138,,,,False
name,我......我怎么不记得？他死了？他......,,,,,,,,,,,,,,,迷迭香,,,,,,,0,139,,,,False
name,这空虚......是他吗？Scout......我又忘了？,,,,,,,,,,,,,,,迷迭香,,,,,,,0,140,,,,False
name,我不是刚刚......终端......我怎么又忘了？,,,,,,,,,,,,,,,迷迭香,,,,,,,0,141,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,0,142,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,0,143,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,0,144,,,,False
,1月3日,,,,,,,,,,,,,,,,,,,,,,0,145,,,,False
,有个白发的老先生送来了一块焦黑的东西。Machinist看到那东西就坐在凳子上起不来了。,,,,,,,,,,,,,,,,,,,,,,0,146,,,,False
,老先生点了点头就离开了，同行的凯尔希医生也没说什么，只是碰了碰我的头。,,,,,,,,,,,,,,,,,,,,,,0,147,,,,False
,那是Scout的东西。,,,,,,,,,,,,,,,,,,,,,,0,148,,,,False
,Scout。,,,,,,,,,,,,,,,,,,,,,,0,149,,,,False
,Scout也不在了。,,,,,,,,,,,,,,,,,,,,,,0,150,,,,False
,Scout不是连影子都没有的人吗？不是其他人都死了他也会活下来的人吗？不是说的故事长到不会结束的人吗？,,,,,,,,,,,,,,,,,,,,,,0,151,,,,False
,Scout......,,,,,,,,,,,,,,,,,,,,,,0,152,,,,False
,我翻了以前的记录。Scout帮我做了蝴蝶结。可那是小女孩才用的，我已经不玩玩具了。,,,,,,,,,,,,,,,,,,,,,,0,153,,,,False
,Scout为什么会死？,,,,,,,,,,,,,,,,,,,,,,0,154,,,,False
,为什么？为什么？为什么？,,,,,,,,,,,,,,,,,,,,,,0,155,,,,False
,为什么？,,,,,,,,,,,,,,,,,,,,,,0,156,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,0,157,,,,False
blocker,,,,,,0,0,0,0,1,true,,,,,,,,,,,,0,158,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,0,159,,,,False
name,......,,,,,,,,,,,,,,,迷迭香,,,,,,,0,160,,,,False
name,呜......,,,,,,,,,,,,,,,迷迭香,,,,,,,0,161,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,0,162,,,,False
name,迷迭香......,,,,,,,,,,,,,,,阿米娅,,,,,,,0,163,,,,False
name,把手给我。闭上眼。迷迭香......,,,,,,,,,,,,,,,阿米娅,,,,,,,0,164,,,,False
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,0,165,,,,False
name,......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,166,,,,False
name,原来精英干员......和我们小队队员......也没那么大区别。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,167,,,,False
name,博士，我说说吧。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,168,,,,False
name,营救你的行动里，Scout是侦察小队的队长。他还没见过现在的博士，对......但他说他以前见过，和Ace一样。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,169,,,,False
name,他为了让我活下来，自己去抵挡了萨卡兹雇佣兵。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,170,,,,False
name,他的话，想逃，一定能逃掉的。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,171,,,,False
name,他还要我和你说......对，我想起来了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,172,,,,False
name,他说，他从没忘记过和你共同战斗的时光。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,173,,,,False
decision,......？,,,,,,,,,,,,,,,,,,......？,1,,,1,174,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,0,175,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,0,176,,,,False
name,啊......,,,,,,,,,,,,,,,阿米娅,,,,,,,0,177,,,,False
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,0,178,,,,False
name,他还想你别再指挥了。但看现在这状况，我觉得，你应该没法袖手旁观的。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,179,,,,False
name,头儿也为了救我牺牲了。我身上背着两位精英干员的命。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,180,,,,False
name,但Scout先生也说了，他们不是为了哪个人才死的。他们是为了一个信念。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,181,,,,False
name,他的小队也是。我的小队，也是。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,182,,,,False
name,所以我决定去看看整合运动。看看事情会走向哪里，看看哪里我能帮上罗德岛。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,183,,,,False
name,——我发现游击队也有信念。坚定，纯粹，让他们自愿奋斗的信念。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,184,,,,False
name,当然，他们更野蛮些，但他们也不会为暴力感到喜悦，这让我相信他们有那种东西。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,185,,,,False
name,如果说整合运动曾经说要解放所有感染者，那游击队......游击队首先要做的是消灭所有奴役者。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,186,,,,False
name,消灭所有奴役感染者的，消灭以感染者威胁普通人的，全部人。全部。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,187,,,,False
name,这都因为有爱国者。爱国者指导他们，带领他们，保护他们。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,188,,,,False
name,在爱国者离开切尔诺伯格去执行任务之前，我和爱国者......聊过一些。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,189,,,,False
name,唉，这个老战士，究竟有多老了？可他还是......分给我酒。我还是头次......有这种待遇。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,190,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,0,191,,,,False
name,他的年龄可能确实会超过你的预期。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,192,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_059,2,,,,,0,193,,,,False
name,你们听过那个传说吗？他离开乌萨斯的传说。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,194,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_059,1,,,,,0,195,,,,False
name,有所耳闻。他带着一整支精锐部队离开了乌萨斯。大叛乱确实给种种原本看来荒诞不经的事提供了土壤。,,,,,,,,,,,,,,,凯尔希,,,,,,,0,196,,,,False
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,0,197,,,,False
name,其实，那时候随他出走的乌萨斯军人，到今天为止已经不剩下几位了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,198,,,,False
name,和乌萨斯正规军的战斗，大概也让他们折损了许多战士。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,199,,,,False
name,绝大多数游击队员全是新招募的，都是游击队在西北冻原上奋斗时自愿加入他们的。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,200,,,,False
name,因为他们的战斗，因为他们的威望，因为他们的理想。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,201,,,,False
name,他们曾经与整合运动的领袖一拍即合。只是不知道为什么，可能因为感染者太仇恨乌萨斯人......事情才演变成这样。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,202,,,,False
name,演变成现在这副，所有活着的人，都被这片被天灾袭击过的土地折腾的样子，死的死疯的疯，有人发狂，还有人受苦。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,203,,,,False
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,0,204,,,,False
name,塔季娅娜......我记得你叫塔季娅娜。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,205,,,,False
