command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,options,values,references,a,initr,r,g,b,block,option_number,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,2,,,,,,,,,,0,29,,,,False
name,请说。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,30,请说。,どうぞ話してください。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,1,,,,,,,,,,0,31,,,,False
name,阿米娅。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,32,阿米娅。,アーミヤ。,ケルシー,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,33,,,,False
name,啊......好的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,34,啊......好的。,あ……はい。,アーミヤ,True
name,罗德岛不仅亲历了切尔诺伯格事件，而且......我们经历了天灾，并且自灾难中活了下来。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,35,罗德岛不仅亲历了切尔诺伯格事件，而且......我们经历了天灾，并且自灾难中活了下来。,ロドスはチェルノボーグ事件を直接体験しただけでなく……私たちは天災をも経験し、その災厄を生き延びました。,アーミヤ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,2,,,,,,,,,,0,36,,,,False
name,真是，真是，令人尊敬。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,37,真是，真是，令人尊敬。,本当に、本当に、感心しますよ。,ウェイ・イエンウ,True
name,除了一些不要命的狂人，我还真没见到过多少人能从天灾中幸存呢。阿米娅小姐，请继续说，我在听。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,38,除了一些不要命的狂人，我还真没见到过多少人能从天灾中幸存呢。阿米娅小姐，请继续说，我在听。,一部の命知らずを除けば、天災から生き延びた人はほとんど見たことがありません。アーミヤさん、続けてください。聞いていますよ。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,39,,,,False
name,......我们与整合运动的领袖交过手。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,40,......我们与整合运动的领袖交过手。,……私たちは統合運動のリーダーと交戦しました。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1#6,,,,,,,,,,,,0,41,,,,False
name,——,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,42,——,——,チェン,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,0,43,,,,False
name,嗯？她的名字是？,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,44,嗯？她的名字是？,ん？彼女の名前は？,ウェイ・イエンウ,True
name,我记得不是那么清楚了......,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,45,我记得不是那么清楚了......,よく覚えていませんが……,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,,-1,,,,,,,,,,0,46,,,,False
decision,塔露拉,,,,,,,,,,,,,,,,,塔露拉,1,,,,,,,,1,47,塔露拉,タルラ,,True
predicate,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,48,,,,False
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,1,,,,,,,,,,0,49,,,,False
name,哦，是的，塔露拉。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,50,哦，是的，塔露拉。,ああ、そうだ、タルラだったな。,ウェイ・イエンウ,True
name,陈警官，你认为呢？,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,51,陈警官，你认为呢？,チェン警官、君はどう思う？,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1#5,2,,,,,,,,,,0,52,,,,False
name,————,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,53,————,————,チェン,True
name,我——知道。,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,54,我——知道。,私は――知っています。,チェン,True
blocker,,,,,,,,0.6,,,,,,,,,,,,,1,2,0,0,0,true,0,55,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,56,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,0,,,,,true,0,57,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,58,,,,False
name,......这就是罗德岛在切尔诺伯格的经历。遭受天灾的切城虽然脱离了乌萨斯的控制————,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,59,......这就是罗德岛在切尔诺伯格的经历。遭受天灾的切城虽然脱离了乌萨斯的控制————,……これがロドスのチェルノボーグでの経験です。天災に遭ったチェルノボーグはウルサスの支配から脱しましたが――,アーミヤ,True
name,但是他们会需要扩张，此时仍然有大量物资缺口。而龙门是他们的下一个跳板。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,60,但是他们会需要扩张，此时仍然有大量物资缺口。而龙门是他们的下一个跳板。,しかし彼らは拡張が必要で、依然として多くの物資が不足しています。そして龍門が次の足がかりとなるのです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,0,61,,,,False
name,虽然龙门的确可以阻止一系列破坏行动，如果无法在未来主动出击的话，整合运动对龙门的攻击将持续不断——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,62,虽然龙门的确可以阻止一系列破坏行动，如果无法在未来主动出击的话，整合运动对龙门的攻击将持续不断——,龍門は一連の破壊行動を阻止できますが、今後積極的に行動しなければ、統合運動は龍門への攻撃をやめないでしょう――,アーミヤ,True
name,而且......最难以搞清楚的，其实是失去了切城的乌萨斯帝国他们对此事的态度......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,63,而且......最难以搞清楚的，其实是失去了切城的乌萨斯帝国他们对此事的态度......,そして……最も分かりにくいのは、チェルノボーグを失ったウルサス帝国がこの件についてどう考えているかです……,アーミヤ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,0,64,,,,False
name,呵呵......小姑娘，你说的不错。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,65,呵呵......小姑娘，你说的不错。,ふふ……お嬢さん、君の言う通りだ。,ウェイ・イエンウ,True
name,出于局势紧张，以及龙门近卫局人手有限，我可以以之前的临时协议为基础，考虑一下你们的具体方案。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,66,出于局势紧张，以及龙门近卫局人手有限，我可以以之前的临时协议为基础，考虑一下你们的具体方案。,情勢が緊迫しており、龍門近衛局の人手も限られているため、以前の暫定協定をもとに、君たちの具体的な案を考慮しよう。,ウェイ・イエンウ,True
name,但正如我刚才所说——,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,67,但正如我刚才所说——,だが、さっきも言った通り――,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,0,68,,,,False
name,......,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,69,......,……,ケルシー,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,1,,,,,,,,,,0,70,,,,False
name,......罗德岛的要价太高，是吗？,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,71,......罗德岛的要价太高，是吗？,……ロドスの要求は高すぎますか？,ケルシー,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,0,72,,,,False
name,正是如此。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,73,正是如此。,その通りです。,ウェイ・イエンウ,True
name,为了弥补龙门的支出，我的条件啊，也很简单，只有两条。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,74,为了弥补龙门的支出，我的条件啊，也很简单，只有两条。,龍門の負担を補うため、私の条件は簡単です、2つだけです。,ウェイ・イエンウ,True
name,第一，罗德岛必须帮助近卫局解除整合运动对龙门的威胁。其中包括确认龙门内的威胁以及处理关于切城的相关问题。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,75,第一，罗德岛必须帮助近卫局解除整合运动对龙门的威胁。其中包括确认龙门内的威胁以及处理关于切城的相关问题。,第一に、ロドスは近衛局を支援して統合運動による龍門への脅威を排除しなければなりません。その中には龍門内での脅威の確認、およびチェルノボーグに関する問題の処理も含みます。,ウェイ・イエンウ,True
name,还有所谓的感染者的渗透状况什么的。总之无论有什么样的有利情报，我需要你们同步共享给龙门。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,76,还有所谓的感染者的渗透状况什么的。总之无论有什么样的有利情报，我需要你们同步共享给龙门。,そして所謂感染者の侵入状況も含みます。とにかく有益な情報はすべて、龍門とリアルタイムで共有してください。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,1,,,,,,,,,,0,77,,,,False
name,——那，第二个要求是？,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,78,——那，第二个要求是？,――それで、二つ目の条件は？,ケルシー,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,2,,,,,,,,,,0,79,,,,False
name,第二个，要等你们完成了首要任务再说。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,80,第二个，要等你们完成了首要任务再说。,二つ目は、君たちが最初の任務を果たしてから話します。,ウェイ・イエンウ,True
name,当然，我的要求，不会超出罗德岛的能力范畴及业务内容。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,81,当然，我的要求，不会超出罗德岛的能力范畴及业务内容。,もちろん、私の要求はロドスの能力や業務範囲を超えません。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,1,,,,,,,,,,0,82,,,,False
name,我并不能理解。我希望魏先生详细解释一下。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,83,我并不能理解。我希望魏先生详细解释一下。,私は理解できません。ウェイさん、もう少し詳しく説明していただけますか。,ケルシー,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,0,84,,,,False
name,那就这么说吧。如果整合运动造成了超过罗德岛预期的损害——,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,85,那就这么说吧。如果整合运动造成了超过罗德岛预期的损害——,それなら、こう言いましょう。もし統合運動がロドスの予想以上の被害を出した場合――,ウェイ・イエンウ,True
name,我希望罗德岛能够协助近卫局，妥善处理，甚至参与某些部分的善后。当然，也在你们的能力范围内。这是大致的内容。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,86,我希望罗德岛能够协助近卫局，妥善处理，甚至参与某些部分的善后。当然，也在你们的能力范围内。这是大致的内容。,ロドスには近衛局に協力し、適切に対応し、場合によっては事後処理にも参加してほしい。それも君たちの能力の範囲で。これが大まかな内容です。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,1,,,,,,,,,,0,87,,,,False
name,......,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,88,......,……,ケルシー,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,2,,,,,,,,,,0,89,,,,False
name,在这个点上，我尚不能细说。不过请不要忘了，罗德岛没有选择。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,90,在这个点上，我尚不能细说。不过请不要忘了，罗德岛没有选择。,この点については今は詳しく言えませんが、ロドスには選択肢がないことを忘れないでください。,ウェイ・イエンウ,True
name,如果不能接受，那么我觉得我们之前的所有说的条件，以及你们想要的都......,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,91,如果不能接受，那么我觉得我们之前的所有说的条件，以及你们想要的都......,受け入れられないのなら、今まで話してきた条件も、君たちの希望もすべて……,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,92,,,,False
name,阿米娅？,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,93,阿米娅？,アーミヤ？,ケルシー,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,94,,,,False
name,凯尔希医生......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,95,凯尔希医生......,ケルシー先生……,アーミヤ,True
name,魏先生，我希望将这一条也写入合约......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,96,魏先生，我希望将这一条也写入合约......,ウェイさん、この条項も契約に書き加えていただきたいです……,アーミヤ,True
name,“在诠释条例时，由双方共同参与讨论。”————这样可以吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,97,“在诠释条例时，由双方共同参与讨论。”————这样可以吗？,「条項の解釈については、双方で協議する」と――この内容でよろしいですか？,アーミヤ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,0,98,,,,False
name,哦，哦......当然可以。这是对龙门的尊重呢，阿米娅小姐。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,99,哦，哦......当然可以。这是对龙门的尊重呢，阿米娅小姐。,ああ、ああ……もちろんです。これは龍門への敬意ですね、アーミヤさん。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,1,,,,,,,,,,0,100,,,,False
name,陈警官，你有什么意见？,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,101,陈警官，你有什么意见？,チェン警官、異議はありますか？,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,2,,,,,,,,,,0,102,,,,False
name,——我认可这次行动。,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,103,——我认可这次行动。,――今回の行動を認めます。,チェン,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,1,,,,,,,,,,0,104,,,,False
name,呵。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,105,呵。,ふっ。,ウェイ・イエンウ,True
name,看来陈警官也有了她自己的目标。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,106,看来陈警官也有了她自己的目标。,チェン警官も自分の目標ができたようですね。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_010_chen_1#6,,,,,,,,,,,,0,107,,,,False
name,......,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,108,......,……,チェン,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,0,109,,,,False
name,那么——恭喜各位，龙门信任你们。陈警官将全权负责和你们的对接事宜。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,110,那么——恭喜各位，龙门信任你们。陈警官将全权负责和你们的对接事宜。,それでは――皆さん、おめでとうございます。龍門は皆さんを信頼します。チェン警官が全面的に窓口を担当します。,ウェイ・イエンウ,True
name,不过，感染者自由行动会引起市民的恐慌。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,111,不过，感染者自由行动会引起市民的恐慌。,ですが、感染者が自由に動き回ると市民の恐慌を招きます。,ウェイ・イエンウ,True
blocker,,,,,,,,0.7,,,,,,,,,,,,,1,2,0,0,0,true,0,112,,,,False
name,希望你们在执行任务时，能服从龙门近卫局————,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,113,希望你们在执行任务时，能服从龙门近卫局————,任務を遂行するときは、龍門近衛局に従ってほしい――,ウェイ・イエンウ,True
name,尤其是陈警司的命令。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,114,尤其是陈警司的命令。,特にチェン警部の命令には従うように。,ウェイ・イエンウ,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,115,,,,False
stopmusic,,,,,,,,4,,,,,,,,,,,,,,,,,,,0,116,,,,False
name,龙门的关口将向罗德岛敞开，只要你们一切的行动都在正轨上。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,117,龙门的关口将向罗德岛敞开，只要你们一切的行动都在正轨上。,君たちのすべての行動が正規の範囲内であれば、龍門の門はロドスに開かれます。,ウェイ・イエンウ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,118,,,,False
background,,,,,bg_lungmen_station,1,1,0,coverall,,,,,,,,,,,,,,,,,,0,119,,,,False
playmusic,,$m_dia_street_loop,,,,,,,,$m_dia_street_intro,0.8,1,0.5,,,,,,,,,,,,,,0,120,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,121,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,,,,0,,,,,true,0,122,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#5,2,,,,,,,,,,0,123,,,,False
name,唔......啊......！那个大叔超难对付的......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,124,唔......啊......！那个大叔超难对付的......,うう……ああ……！あのおじさん、本当に手強い……,アーミヤ,True
name,讲起话来慢条斯理，感觉他完全不为所动......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,125,讲起话来慢条斯理，感觉他完全不为所动......,話しぶりが非常に落ち着いていて、全然動じない感じ……,アーミヤ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#5,1,,,,,,,,,,0,126,,,,False
name,阿米娅，你总得学会自己与他们交涉。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,127,阿米娅，你总得学会自己与他们交涉。,アーミヤ、自分で彼らと交渉することを覚えなさい。,ケルシー,True
name,最后，你做的还不错。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,128,最后，你做的还不错。,最後には、よくやった。,ケルシー,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#3,2,,,,,,,,,,0,129,,,,False
name,嘿嘿......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,130,嘿嘿......,えへへ……,アーミヤ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0,131,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,0,132,,,,False
name,说起来——,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,133,说起来——,そういえば――,ケルシー,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0,134,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,0,135,,,,False
name,......,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,136,......,……,ケルシー,True
delay,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,0,137,,,,False
name,......你......,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,138,......你......,……あなたは……,ケルシー,True
delay,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,0,139,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,-1,,,,,,,,,,0,140,,,,False
decision,我认识你吗，凯尔希？,,,,,,,,,,,,,,,,,我认识你吗，凯尔希？;......你好，凯尔希医生。;初次见面，Dr.凯尔希,1;2;3,,,,,,,,3,141,我认识你吗，凯尔希？,私はあなたを知っていますか、ケルシー？,,True
decision,......你好，凯尔希医生。,,,,,,,,,,,,,,,,,我认识你吗，凯尔希？;......你好，凯尔希医生。;初次见面，Dr.凯尔希,1;2;3,,,,,,,,3,142,......你好，凯尔希医生。,……こんにちは、ケルシー先生。,,True
decision,初次见面，Dr.凯尔希,,,,,,,,,,,,,,,,,我认识你吗，凯尔希？;......你好，凯尔希医生。;初次见面，Dr.凯尔希,1;2;3,,,,,,,,3,143,初次见面，Dr.凯尔希,初めまして、ドクター・ケルシー,,True
predicate,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,144,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,0,145,,,,False
name,............,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,146,............,…………,ケルシー,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0,147,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,char_002_amiya_1#2,2,,,,,,,,,,0,148,,,,False
name,凯尔希医生，请别为难博士——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,149,凯尔希医生，请别为难博士——,ケルシー先生、ドクターを困らせないでください――,アーミヤ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#4,1,,,,,,,,,,0,150,,,,False
name,嘘——,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,151,嘘——,しっ――,ケルシー,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#4,2,,,,,,,,,,0,152,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,153,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,154,,,,False
name,......呵。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,155,......呵。,……ふふ。,ケルシー,True
name,希望我们之前的牺牲......能有所回报。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,156,希望我们之前的牺牲......能有所回报。,私たちがこれまでに払った犠牲が……報われますように。,ケルシー,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0,157,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#2,,,,,,,,,,,,0,158,,,,False
name,你好，博士。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,159,你好，博士。,こんにちは、ドクター。,ケルシー,True
name,欢迎回来。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,160,欢迎回来。,おかえりなさい。,ケルシー,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0,161,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,,,,true,0,162,,,,False
