command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
character,,char_017_homura_3#5,0,,,,,,
name,......,煌,0,,,,,……,スルト
character,,char_1505_frstar_1#7,0,,,,,,
name,我的死......不值得任何人久留。,霜星,0,,,,,私の死など……誰にも価値がない。,フロストノヴァ
character,,char_1505_frstar_1,0,,,,,,
name,去救你们还能救的人吧。赶快。,霜星,0,,,,,君たちがまだ救える者を救いに行け。急げ。,フロストノヴァ
name,快去。,霜星,0,,,,,早く行け。,フロストノヴァ
name,无论是阻止那些穿雨衣的，还是去追杀梅菲斯特，还是收容那些无处可去的感染者......,霜星,0,,,,,レインコートの連中を止めるなり、メフィストを追うなり、行き場のない感染者を保護するなり……,フロストノヴァ
name,去吧。去做有价值的事。,霜星,0,,,,,行け。価値あることをしてくれ。,フロストノヴァ
character,,char_002_amiya_1#4,0,,,,,,
name,......,阿米娅,0,,,,,……,
name,博士......,阿米娅,0,,,,,ドクター……,アーミヤ
decision,我留下。,,2,1,,,1;2,私は残る。,
decision,你去吧。,,2,2,,,1;2,君が行くんだ。,
predicate,,,0,,1;2,,,,
name,我知道了。,阿米娅,0,,,,,わかりました。,アーミヤ
name,博士，请告诉霜星小姐那句话。,阿米娅,0,,,,,ドクター、フロストノヴァさんにあの言葉を伝えてください。,アーミヤ
name,......拜托你。,阿米娅,0,,,,,……お願いします。,アーミヤ
dialog,,,0,,,,,,
blocker,,,0,,,,,,
playmusic,,,0,,,,,,
image,,,0,,,avg_6_10,,,
blocker,,,0,,,,,,
character,,,0,,,,,,
character,,char_1505_frstar_1,0,,,,,,
name,真是只......天真的兔子。,霜星,0,,,,,本当に……無邪気なウサギだ。,フロストノヴァ
name,很像啊。和当时的塔露拉，很像。,霜星,0,,,,,よく似ているな。当時のタルラに、よく似ている。,フロストノヴァ
name,在死前能看到这样的人，这样坚定地去实现理想的人......,霜星,0,,,,,死ぬ前にこんな人間、こんなに理想を貫こうとする人を見ることができて……,フロストノヴァ
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,说好的责任呢？！,,3,1,,,1;2;3,約束した責任はどうなった？！,
decision,......,,3,2,,,1;2;3,……,
decision,不是答应说要加入罗德岛的吗？,,3,3,,,1;2;3,ロドスに入るって約束したんじゃないのか？,
predicate,,,0,,1;2;3,,,,
character,,char_1505_frstar_1,0,,,,,,
name,凭你的头脑，应该也考虑到这点了吧？,霜星,0,,,,,君の頭脳なら、この点も考えていたはずだろう？,フロストノヴァ
name,坏人也要有坏人该有的样子。我对自己应得的结局毫无怨言。,霜星,0,,,,,悪人は悪人らしくあるべきだ。自分の結末に何の不満もない。,フロストノヴァ
name,我伤害了你们，我和整合运动把目标对准了无辜的龙门人，一手促成了乌萨斯感染者的黑暗未来，这样的人根本没资格去罗德岛。,霜星,0,,,,,私は君たちを傷つけた。私も統合運動も無実の龍門の人々を標的とし、ウルサス感染者の暗い未来を作り出した。そんな私はロドスに入る資格なんてない。,フロストノヴァ
name,我的兄弟姐妹......这些傻子，一定是想着让我活着吧？,霜星,0,,,,,私の兄弟姉妹……あの愚かな子たちは、きっと私が生き残ることを望んでいたんだろう？,フロストノヴァ
name,本以为哪怕这一次我死去了，这些傻子也能因此得到个允许他们活下去的地方。,霜星,0,,,,,たとえ今回私が死んでも、あの子たちが生き延びる場所を得られると思っていたのに。,フロストノヴァ
name,没有，并没有。他们死了。为了保护我这个本来就没多少时间的人。,霜星,0,,,,,違う、全く違う。彼らは死んだ。ただ、時間のない私を守るためだけに。,フロストノヴァ
name,我不甘心。我们的性命全都被人利用了。,霜星,0,,,,,私は悔しい。私たちの命はすべて利用された。,フロストノヴァ
name,我不甘心......这最后一刻的生命，这一点不属于我，这是他们所有人用血去换来的！,霜星,0,,,,,私は悔しい……この最後の命は、私のものじゃない、皆が血で勝ち取ったものなんだ！,フロストノヴァ
name,这一点点生命.......我必须交给值得信任的人。,霜星,0,,,,,このわずかな命……私は信頼できる人に託さなければならない。,フロストノヴァ
name,谢谢你。,霜星,0,,,,,ありがとう。,フロストノヴァ
name,.......啊......即使活下来了，又有哪里可去呢？,霜星,0,,,,,……ああ……もし生き残っても、どこへ行けるというのか？,フロストノヴァ
name,我们本就没有其它地方可去。我们熟悉的从来就只有那片雪原而已。,霜星,0,,,,,私たちには他に行く場所などない。慣れ親しんだのは、あの雪原だけだ。,フロストノヴァ
name,龙门并不是乌萨斯。渴望着拯救同胞和感染者，想要去找一处又温暖，又有粮食，还有住处的地方......,霜星,0,,,,,龍門はウルサスじゃない。仲間や感染者を救いたいと願い、温かくて、食料と住処のある場所を探したが……,フロストノヴァ
name,不该是龙门。自一开始，就不该是龙门。龙门的市民也在苦苦寻求自己的生活。,霜星,0,,,,,龍門ではなかった。最初から龍門ではなかった。龍門の市民も自分の生活を必死に求めている。,フロストノヴァ
name,我们唯一该回去的，就只有乌萨斯......我们的祖国......,霜星,0,,,,,私たちが戻るべき場所はウルサスだけ……私たちの祖国……,フロストノヴァ
name,雪......静静的河水......摇曳的松林......碧绿的苔衣......,霜星,0,,,,,雪……静かな川の流れ……揺れる松林……翠の苔……,フロストノヴァ
name,这片大地，多么美好啊......,霜星,0,,,,,この大地は、本当に美しいな……,フロストノヴァ
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,所以，你认为塔露拉是操纵了这一切的人。,,1,1,,,1,つまり、タルラがすべてを操っていると思うんですね。,
predicate,,,0,,1,,,,
character,,char_1505_frstar_1,0,,,,,,
name,......如果我猜的没错......阴谋已经蓄势待发。,霜星,0,,,,,……もし私の予想が正しければ……陰謀はすでに動き出している。,フロストノヴァ
name,就算博卓卡斯替老爷子能拖上一时，塔露拉既然敢这样谋划，就一定有对付他的办法。,霜星,0,,,,,ボジョカスティ爺さんがしばらく時間を稼いでも、タルラがこんなに大胆に動くということは、彼に対抗する策があるはずだ。,フロストノヴァ
name,龙门没有出手的机会......而乌萨斯也会袖手旁观。,霜星,0,,,,,龍門には手出しできる機会はない……ウルサスも傍観するだけだろう。,フロストノヴァ
name,但你们还在，感染者还有机会。哪怕只有一点点——,霜星,0,,,,,だが、君たちはまだいるし、感染者にもまだ機会はある。わずかでも──,フロストノヴァ
name,——去毁掉现在的塔露拉。中止她的疯狂，不要让整合运动再吞噬更多感染者了。整合运动不需要塔露拉，任何一个塔露拉都不需要......,霜星,0,,,,,──今のタルラを止めてくれ。彼女の狂気を止め、統合運動がこれ以上感染者を飲み込まないように。統合運動にタルラは必要ない、誰もタルラを必要としない……,フロストノヴァ
name,或者......,霜星,0,,,,,あるいは……,フロストノヴァ
name,......我的一点点私心。去拯救她。不。去帮助她。和我们那无数的感染者同胞一起......,霜星,0,,,,,……これは少し私心だ。彼女を救ってくれ。いや。彼女を助けてくれ。私たち、多くの感染者の仲間とともに……,フロストノヴァ
name,那个真正的......走在泥泞土地上的......塔露拉......,霜星,0,,,,,本当の……泥道を歩む……タルラ……,フロストノヴァ
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,霜星小姐？,,1,1,,,1,フロストノヴァさん？,
predicate,,,0,,1,,,,
character,,char_1505_frstar_1,0,,,,,,
name,你......说。,霜星,0,,,,,言ってくれ……,フロストノヴァ
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,我认为你父亲是真的爱你的。,,1,1,,,1,君の父親は本当に君を愛していたと思う。,
predicate,,,0,,1,,,,
decision,就像你记得你的亲生父母为你而死。,,1,1,,,1,君が実の両親が君のために死んだことを覚えているのと同じくらい。,
predicate,,,0,,1,,,,
decision,你清楚地记着你父亲为你所做的一切。,,1,1,,,1,君は父が君のためにしてきたことをちゃんと覚えている。,
predicate,,,0,,1,,,,
character,,char_1505_frstar_1,0,,,,,,
name,......,霜星,0,,,,,……,
name,我又怎么会不知道呢？只是，我要死在他之前了。,霜星,0,,,,,私が知らないはずがない。ただ、私の方が先に死んでしまうだけだ。,フロストノヴァ
name,如果他从来没捡到我，那会有多好。那样，他就不会因我感到痛苦。,霜星,0,,,,,もし彼が私を拾わなかったら、どんなによかったか。そうすれば、彼は私で苦しむこともなかった。,フロストノヴァ
name,他已经受了那么多的苦......,霜星,0,,,,,彼はすでに多くの苦しみを味わってきた……,フロストノヴァ
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,正因为他受过很多苦，所以他才珍惜你。,,1,1,,,1,多くの苦しみを経験したからこそ、彼は君を大切にしたんだ。,
predicate,,,0,,1,,,,
character,,char_1505_frstar_1,0,,,,,,
name,呵呵......,霜星,0,,,,,ふふ……,フロストノヴァ
name,......博士。,霜星,0,,,,,……ドクター。,フロストノヴァ
name,我可以这么叫你吧？,霜星,0,,,,,そう呼んでもいいか？,フロストノヴァ
name,罗德岛的博士。在这片大地上，选择也许没有意义。,霜星,0,,,,,ロドスのドクター。この地では、選択なんて意味がないかもしれない。,フロストノヴァ
name,即使这样，即使结果没有区别......我也想自己去选。我做出选择了。,霜星,0,,,,,それでも、結果が変わらなくても……私は自分で選びたかった。私は決断した。,フロストノヴァ
name,用我自己的手......去擦拭我结出的果。,霜星,0,,,,,自分の手で……自分の結んだ果実を拭いたい。,フロストノヴァ
,霜星的手指摸索着你的面庞。,,0,,,,,霜星の指があなたの顔をそっとなぞる。,
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,......你的手指，是暖的？,,1,1,,,1,……君の指は温かい？,
predicate,,,0,,1,,,,
character,,char_1505_frstar_1,0,,,,,,
name,奇怪。你的脸......很冰。,霜星,0,,,,,変だ。君の顔は……とても冷たい。,フロストノヴァ
name,我的体温......没有那么低了？,霜星,0,,,,,私の体温……もうそんなに低くないのか？,フロストノヴァ
dialog,,,0,,,,,,
character,,,0,,,,,,
decision,是。你的病征消失了。,,3,1,,,1;2;3,そうだ。君の病状は消えている。,
decision,......,,3,2,,,1;2;3,……,
decision,很温暖，霜星。,,3,3,,,1;2;3,とても温かいよ、フロストノヴァ。,
predicate,,,0,,1;2;3,,,,
character,,char_1505_frstar_1,0,,,,,,
name,......在死前......我终于又和人相碰了。,霜星,0,,,,,……死ぬ前に……やっと、誰かと触れ合えた。,フロストノヴァ
decision,霜星，阿米娅和我都希望你加入罗德岛。,,1,1,,,1,フロストノヴァ、アーミヤも私も君がロドスに加わることを願っている。,
predicate,,,0,,1,,,,
name,我真有这种资格？,霜星,0,,,,,私にそんな資格があるのか？,フロストノヴァ
decision,仅仅是普通地死去，就没有时间再去改正错误。,,1,1,,,1,ただ普通に死ぬだけじゃ、過ちを償う時間もない。,
predicate,,,0,,1,,,,
name,......不给出答复是不礼貌的。,霜星,0,,,,,……答えを返さないのは無礼だな。,フロストノヴァ
name,告诉阿米娅，博士......,霜星,0,,,,,アーミヤに伝えてくれ、ドクター……,フロストノヴァ
name,在这片大地上，仅凭一个人，是什么也做不到的。,霜星,0,,,,,この地で、一人の力では何もできない。,フロストノヴァ
dialog,,,0,,,,,,
image,,,0,,,avg_6_10_2,,,
blocker,,,0,,,,,,
character,,,0,,,,,,
name,但她绝对不是一个人。,霜星,0,,,,,でも、彼女は決して一人じゃない。,フロストノヴァ
name,现在开始，我在你身边。我在你们身边。,霜星,0,,,,,これからは、私は君たちのそばにいる。,フロストノヴァ
name,我......愿意加入罗德岛。,霜星,0,,,,,私は……ロドスに加わることを望む。,フロストノヴァ
decision,谢谢你。,,1,1,,,1,ありがとう。,
predicate,,,0,,1,,,,
name,不。是我......谢谢你。,霜星,0,,,,,いや。私こそ……ありがとう。,フロストノヴァ
name,你的眼神......和我一位旧识，很像。,霜星,0,,,,,君の目は……昔の知り合いに、とても似ている。,フロストノヴァ
name,我遇见过一个男孩，他说他的哥哥宁愿上绞架也不愿改变观点去迎合敌人的宽恕......,霜星,0,,,,,昔、ある少年に会った。彼の兄は敵に赦されるより、処刑台に上がることを選んだと言っていた……,フロストノヴァ
name,所以他要走过雪原，他要踏遍乌萨斯.......所以他没有和我们一起走。,霜星,0,,,,,だから彼は雪原を歩き、ウルサスを踏破すると言った……だから、私たちとは一緒に行かなかった。,フロストノヴァ
name,我以为那已经是我见过最理想化的人了。,霜星,0,,,,,それが私の知る最も理想に生きる者だと思っていた。,フロストノヴァ
name,只是，你和阿米娅让我觉得……也许理想也可以成为一种信念。,霜星,0,,,,,でも、君とアーミヤを見て……理想も信念になり得るのだと感じた。,フロストノヴァ
decision,罗德岛就是为了共同的信念而战的。,,1,1,,,1,ロドスは共通の信念のために戦っている。,
predicate,,,0,,1,,,,
name,原本整合运动......也是一样的。,霜星,0,,,,,かつての統合運動も……そうだった。,フロストノヴァ
name,真像啊。,霜星,0,,,,,本当によく似ているな。,フロストノヴァ
name,你的眼神，和那个孩子，真的很像。,霜星,0,,,,,君の眼は、あの少年と本当にそっくりだ。,フロストノヴァ
name,只不过，你没他那么坚定，但却比他......温柔太多了。,霜星,0,,,,,ただ、君は彼ほど固くはないけれど……彼よりずっと優しい。,フロストノヴァ
name,放手吧。兄弟姐妹们在等我。,霜星,0,,,,,もういい。兄弟姉妹が私を待っている。,フロストノヴァ
name,......父亲......我真是个傻子。,霜星,0,,,,,……お父さん……私は本当にバカだった。,フロストノヴァ
name,原谅我吧。,霜星,0,,,,,許してくれ。,フロストノヴァ
dialog,,,0,,,,,,
blocker,,,0,,,,,,
image,,,0,,,,,,
blocker,,,0,,,,,,
dialog,,,0,,,,,,
character,,,0,,,,,,
background,,,0,,,,,,
blocker,,,0,,,,,,
,她滑落下去。,,0,,,,,彼女は滑り落ちた。,
,她的嘴角上扬，高傲得像是依然还活着一般。,,0,,,,,彼女の口元はわずかに上がり、まるで今も生きているかのように誇り高かった。,
delay,,,0,,,,,,
dialog,,,0,,,,,,
blocker,,,0,,,,,,
image,,,0,,,,,,
