command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,widgetID,style,fadestyle,offsetx,block,name2,focus,a,initr,r,g,b, name,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_106_franka_1,2,,,,,,,26,,,,False
name,也就是说，我们现在要给她跑腿？,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,27,也就是说，我们现在要给她跑腿？,つまり、私たちが彼女の使い走り？,フランカ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_106_franka_1,1,,,,,,,28,,,,False
name,毕竟是我们找到了目标......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,29,毕竟是我们找到了目标......,結局、私たちが目標を見つけたから……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_107_liskam_1,2,,,,,,,30,,,,False
name,（龙门近卫局并没有向我们出示过任何目标的具体资料。）,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,31,（龙门近卫局并没有向我们出示过任何目标的具体资料。）,（龍門近衛局は私たちに目標の具体的な資料を提示していない。）,レイズ,True
name,明明是合作者，却突然向我们告知，被我们发现的感染者有重要作用。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,32,明明是合作者，却突然向我们告知，被我们发现的感染者有重要作用。,協力者のはずなのに、突然、私たちが発見した感染者に重要な役割があると知らせてきた。,レイズ,True
name,我们缺少了许多关键信息。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,33,我们缺少了许多关键信息。,私たちは多くの重要な情報が欠けている。,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_107_liskam_1,1,,,,,,,34,,,,False
name,（......近卫局不过多透露信息是理所当然的。）,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,35,（......近卫局不过多透露信息是理所当然的。）,（……近衛局が多くの情報を明かさないのは当然です。）,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_107_liskam_1,2,,,,,,,36,,,,False
name,为什么？,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,37,为什么？,どうして？,レイズ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,char_107_liskam_1,1,,,,,,,38,,,,False
name,你那聪明脑瓜现在转不过来了？知道太多对罗德岛有什么好处？,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,39,你那聪明脑瓜现在转不过来了？知道太多对罗德岛有什么好处？,その賢い頭で今は何も考えられないの？知りすぎてロドスに何の得がある？,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,char_107_liskam_1,2,,,,,,,40,,,,False
name,我只理解知道太少对任务有害。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,41,我只理解知道太少对任务有害。,私は、知らなすぎると任務に害があるとしか思えない。,レイズ,True
name,总之，我们得先把米莎护送到汇合地点。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,42,总之，我们得先把米莎护送到汇合地点。,とにかく、まずミーシャを合流地点まで護送しなければ。,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,43,,,,False
name,路线的选择，唔——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,44,路线的选择，唔——,ルートの選択を、うーん——,アーミヤ,True
name,又得麻烦他们了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,45,又得麻烦他们了。,またあの人たちに頼まないといけない。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_107_liskam_1,2,,,,,,,46,,,,False
name,你是指？,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,47,你是指？,誰のこと？,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,48,,,,False
name,企鹅物流。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,49,企鹅物流。,ペンギン急便。,アーミヤ,True
blocker,,,,,,,,1,,,,,,,,,,,,true,,,1,2,0,0,0,,50,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,51,,,,False
blocker,,,,,,,,1,,,,,,,,,,,,true,,,0,,,,,,52,,,,False
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,53,,,,False
name,哟，罗德岛的各位~,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,54,哟，罗德岛的各位~,やあ、ロドスのみんな〜,エンジェル,True
name,任务是不是很快就完成了？“企鹅”的服务如何？,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,55,任务是不是很快就完成了？“企鹅”的服务如何？,"任務はもうすぐ終わりそう？""ペンギン""のサービスはどう？",エンジェル,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,56,,,,False
name,——我就知道。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,57,——我就知道。,——やっぱり。,フランカ,True
name,唉......,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,58,唉......,はぁ……,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,char_103_angel_1,2,,,,,,,59,,,,False
name,别这么~垂头丧气的嘛。,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,60,别这么~垂头丧气的嘛。,そんなに～落ち込まないでさ。,エンジェル,True
name,是发生什么不开心的事情了？还是说，遇到了什么不喜欢的人？,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,61,是发生什么不开心的事情了？还是说，遇到了什么不喜欢的人？,何か嫌なことでもあった？それとも、苦手な人と会ったの？,エンジェル,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,char_103_angel_1,1,,,,,,,62,,,,False
name,你。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,63,你。,あんた。,フランカ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,,,,,,char_106_franka_1,1,,,,,,,64,,,,False
name,别这么说，没有企鹅物流的情报，罗德岛没法缩小搜索范围——,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,65,别这么说，没有企鹅物流的情报，罗德岛没法缩小搜索范围——,そんなこと言うなよ。ペンギン急便の情報がなかったら、ロドスは捜索範囲を絞れなかった——,レイズ,True
name,更不可能那么轻易地掌握有关龙门感染者的各种信息。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,66,更不可能那么轻易地掌握有关龙门感染者的各种信息。,龍門の感染者に関する情報を簡単に手に入れることもできなかった。,レイズ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,,,,,,char_103_angel_1,2,,,,,,,67,,,,False
name,这位小姐，多谢夸奖！你还是很识货的！,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,68,这位小姐，多谢夸奖！你还是很识货的！,お嬢さん、褒めてくれてありがとう！やっぱり見る目あるね！,エンジェル,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,69,,,,False
name,能天使，我们需要一条比较安全的路线。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,70,能天使，我们需要一条比较安全的路线。,エンジェル、私たちは比較的安全なルートが必要です。,アーミヤ,True
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,71,,,,False
name,那我就直接说结论好了。,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,72,那我就直接说结论好了。,じゃあ、結論だけ言うね。,エンジェル,True
name,嗯......哪条都不好走。,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,73,嗯......哪条都不好走。,うーん……どれも通りにくいよ。,エンジェル,True
name,这条，就这条，嗯，请看地图，就是从贫民区中心，向北移动三条街道，然后再向南一路向前，直到离开贫民区。,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,74,这条，就这条，嗯，请看地图，就是从贫民区中心，向北移动三条街道，然后再向南一路向前，直到离开贫民区。,この道、この道ね、うん、地図を見て、スラムの中心から北へ三つ通り進んで、そこから南に進み続けて、スラム街を抜けるんだ。,エンジェル,True
name,这就算是，最安全的路线了吧。,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,75,这就算是，最安全的路线了吧。,これが、一番安全なルートだと思うよ。,エンジェル,True
name,然而，就算是这条路上埋伏着的敌人，也够组好几个合唱团了呢。,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,76,然而，就算是这条路上埋伏着的敌人，也够组好几个合唱团了呢。,でも、この道に潜んでいる敵でも、合唱団を何個も組めるくらいいるよ。,エンジェル,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,char_103_angel_1,1,,,,,,,77,,,,False
name,敌人？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,78,敌人？,敵？,アーミヤ,True
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,char_107_liskam_1,2,,,,,,,79,,,,False
name,看来整合运动确实已经渗透进了龙门。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,80,看来整合运动确实已经渗透进了龙门。,どうやら整合運動は確かに龍門に入り込んでいるようだな。,レイズ,True
name,能天使小姐，我可不可以理解成，你已经摸清了敌人的分布？,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,81,能天使小姐，我可不可以理解成，你已经摸清了敌人的分布？,エンジェルさん、それって、敵の配置を把握してるってこと？,レイズ,True
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,char_107_liskam_1,1,,,,,,,82,,,,False
name,嗯嗯！,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,83,嗯嗯！,うんうん！,エンジェル,True
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,char_107_liskam_1,2,,,,,,,84,,,,False
name,那，他们的行动趋势呢？,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,85,那，他们的行动趋势呢？,じゃあ、彼らの動きの傾向は？,レイズ,True
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,char_107_liskam_1,1,,,,,,,86,,,,False
name,正在朝你们靠拢！,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,87,正在朝你们靠拢！,ちょうどみんなの方に近づいてるよ！,エンジェル,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,char_107_liskam_1,2,,,,,,,88,,,,False
name,......,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,89,......,……,レイズ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,char_107_liskam_1,1,,,,,,,90,,,,False
name,......,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,91,......,……,フランカ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_107_liskam_1,92,,,,False
name,我们被围堵了。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,93,我们被围堵了。,私たちは包囲された。,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,94,,,,False
name,首要任务，是把米莎安全带出去。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,95,首要任务，是把米莎安全带出去。,最優先任務は、ミーシャを安全に連れて行くことです。,アーミヤ,True
name,芙兰卡，针对敌人的突袭，就交给你们了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,96,芙兰卡，针对敌人的突袭，就交给你们了。,フランカ、敵の急襲は君たちに任せます。,アーミヤ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,97,,,,False
name,简单。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,98,简单。,簡単だよ。,フランカ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,99,,,,False
name,雷蛇，重装小队负责两翼。米莎也交由你保护。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,100,雷蛇，重装小队负责两翼。米莎也交由你保护。,レイズ、重装部隊は両翼を担当して。ミーシャも君が守って。,アーミヤ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,101,,,,False
name,没问题。,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,102,没问题。,問題ない。,レイズ,True
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,103,,,,False
name,对了对了，敌人似乎还带了些术师哦？,,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,104,对了对了，敌人似乎还带了些术师哦？,そうそう、敵は術師も連れてるみたいだよ？,エンジェル,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,105,,,,False
name,......唔。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,106,......唔。,……うーん。,アーミヤ,True
name,博士，请牢牢跟在我身边。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,107,博士，请牢牢跟在我身边。,ドクター、私のそばを離れないでください。,アーミヤ,True
name,接下来也请你继续指挥小队作战，我会传达你的命令。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,108,接下来也请你继续指挥小队作战，我会传达你的命令。,これからも小隊の指揮をお願いします。私が命令を伝達します。,アーミヤ,True
name,......我们就走这最安全的路线试试看。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,109,......我们就走这最安全的路线试试看。,……この一番安全なルートで行ってみましょう。,アーミヤ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,110,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,111,,,,False
