command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,x,y,xScale,yScale,screenadapt,index,text,jp_text,jp_name,text_match
name,请别这么说。我可没资格让耀骑士还我人情。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,14,请别这么说。我可没资格让耀骑士还我人情。,そんなことは言わないでくれ。私は耀騎士に恩を返してもらう資格なんてない。,エース,True
name,说说刚才那个狙击手吧，临光。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,15,说说刚才那个狙击手吧，临光。,さっきのスナイパーのことを話してくれ、ニアール。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,2,,,,,,,,,,,,16,,,,False
name,好。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,17,好。,わかった。,ニアール,True
name,除却那把弩炮巨大的威力——,,,,,,,,,,,,,临光,,,,,,,,,,,,,,18,除却那把弩炮巨大的威力——,あのボウガンの威力の大きさはさておき――,ニアール,True
name,我认为......他可能预设了其他火力点，以及自动射击器械。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,19,我认为......他可能预设了其他火力点，以及自动射击器械。,私は……彼が他にも火力ポイントや自動射撃器も設置していたかもしれないと思う。,ニアール,True
name,我遭到了交叉火力的射击......我们却只观测到了一个狙击手。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,20,我遭到了交叉火力的射击......我们却只观测到了一个狙击手。,私はクロスファイアを受けた……しかし観測できたスナイパーは一人だけだった。,ニアール,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,1,,,,,,,,,,,,21,,,,False
name,我也有同样感觉。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,22,我也有同样感觉。,私も同じように感じた。,エース,True
name,第一发弹药和第二发弹药爆炸的时间点虽然非常接近，实际上却有着有相当微妙的时差。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,23,第一发弹药和第二发弹药爆炸的时间点虽然非常接近，实际上却有着有相当微妙的时差。,最初の弾薬と次の弾薬の爆発時間は非常に近かったが、実は微妙な時間差があった。,エース,True
name,那并不是连射弩弦的功劳。至少，我发动火力压制时，对抗的，并不是第一位狙击手。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,24,那并不是连射弩弦的功劳。至少，我发动火力压制时，对抗的，并不是第一位狙击手。,それは連射のせいじゃない。少なくとも私が火力制圧した時、相手にしたのは最初のスナイパーと違っていた。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,2,,,,,,,,,,,,25,,,,False
name,——你意识到了什么，Ace？,,,,,,,,,,,,,临光,,,,,,,,,,,,,,26,——你意识到了什么，Ace？,――何かに気付いたの、エース？,ニアール,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,1,,,,,,,,,,,,27,,,,False
name,说不准。如果敌人不是飞速地移动......就是同时存在于许多地方。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,28,说不准。如果敌人不是飞速地移动......就是同时存在于许多地方。,断言できないが、もし敵が非常に速く移動していないとしたら……同時に複数の場所にいたことになる。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,2,,,,,,,,,,,,29,,,,False
name,敌人狙击手的机动性......怎么也不可能达到这种程度。我不能想象这样的移动手段。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,30,敌人狙击手的机动性......怎么也不可能达到这种程度。我不能想象这样的移动手段。,敵スナイパーの機動力……さすがにこのレベルにはならないはず。そんな移動方法は想像できない。,ニアール,True
name,整合运动比我认知中更加危险。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,31,整合运动比我认知中更加危险。,インテグラは、私の認識以上に危険な存在だ。,ニアール,True
character,,,,,,,,,,,,,,char_130_doberm_ex,char_148_nearl_1,1,,,,,,,,,,,,32,,,,False
name,是那个凶狠的臭小子下令狙击你的。他在指挥围攻我们的时候，甚至没动用狙击手的力量......,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,33,是那个凶狠的臭小子下令狙击你的。他在指挥围攻我们的时候，甚至没动用狙击手的力量......,あの凶暴なガキが君を狙撃するよう命じたのよ。私たちを包囲していた時は、スナイパーの力を使っていなかったのに……,ドーベルマン,True
character,,,,,,,,,,,,,,char_130_doberm_ex,char_148_nearl_1,2,,,,,,,,,,,,34,,,,False
name,看来那么恶劣的性格，是有同样危险的力量支撑着的。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,35,看来那么恶劣的性格，是有同样危险的力量支撑着的。,ああいう悪質な性格には、それ相応の危険な力が伴っているようね。,ニアール,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,1,,,,,,,,,,,,36,,,,False
name,但他一直没有出手，哪怕是在暴怒的情况下。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,37,但他一直没有出手，哪怕是在暴怒的情况下。,だが、彼は怒りに任せても決して自ら動かなかった。,エース,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,38,,,,False
name,要么，在战斗上他是个废物；要么，现在还不到他展现实力的时候。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,39,要么，在战斗上他是个废物；要么，现在还不到他展现实力的时候。,戦闘がまるでダメなのか、それとも今はまだ実力を見せる時じゃないだけなのかもね。,ドーベルマン,True
name,当然，他展现出的指挥能力......已经很令人怀疑了。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,40,当然，他展现出的指挥能力......已经很令人怀疑了。,もちろん、彼が見せた指揮能力は……すでに疑問を感じさせるわね。,ドーベルマン,True
name,他的部队，就像是完全被他操纵着一样......,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,41,他的部队，就像是完全被他操纵着一样......,彼の部隊は、まるで全てを操られているかのようだった……,ドーベルマン,True
character,,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,42,,,,False
name,不管怎么说，我们已经脱离了他的控制区域。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,43,不管怎么说，我们已经脱离了他的控制区域。,いずれにしても、私たちはすでに彼の支配領域から抜け出せた。,ニアール,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,44,,,,False
name,临光......谢谢你。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,45,临光......谢谢你。,ニアール……ありがとう。,アーミヤ,True
name,没有你及时赶到的话，我们很可能就要深陷危机了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,46,没有你及时赶到的话，我们很可能就要深陷危机了。,君がすぐに来てくれなかったら、私たちはきっと危機に陥っていた。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,char_148_nearl_1#1,2,,,,,,,,,,,,47,,,,False
name,这都是我们战前的作战计划的方针而已。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,48,这都是我们战前的作战计划的方针而已。,これもすべて、作戦計画に基づいた方針よ。,ニアール,True
name,让我和Ace他根据局势采取不同计划的，是你。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,49,让我和Ace他根据局势采取不同计划的，是你。,私とエースが状況ごとに違う行動をとれたのは、君のおかげよ。,ニアール,True
name,是你解决了自己的问题。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,50,是你解决了自己的问题。,自分の問題を解決したのは君自身だ。,ニアール,True
name,一路上，我看到了整合运动的暴行，也对他们的实力产生过怀疑。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,51,一路上，我看到了整合运动的暴行，也对他们的实力产生过怀疑。,道中、私はインテグラの暴挙を見て、彼らの実力に疑念も覚えた。,ニアール,True
name,如果我在那时，停下来去与他们战斗呢？,,,,,,,,,,,,,临光,,,,,,,,,,,,,,52,如果我在那时，停下来去与他们战斗呢？,もしあの時、私が立ち止まって彼らと戦っていたら？,ニアール,True
name,如果我去帮助乌萨斯人抵御整合运动呢？,,,,,,,,,,,,,临光,,,,,,,,,,,,,,53,如果我去帮助乌萨斯人抵御整合运动呢？,もし私がウルサスの人々を助けてインテグラに抵抗していたら？,ニアール,True
name,如果我原地坚守，只是等着你们撤退到我面前呢？,,,,,,,,,,,,,临光,,,,,,,,,,,,,,54,如果我原地坚守，只是等着你们撤退到我面前呢？,もし私がその場で踏みとどまって、君たちが私の元に来るのを待っていたら？,ニアール,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,char_148_nearl_1#7,2,,,,,,,,,,,,55,,,,False
name,——如果按照我自己的想法来做，也许会招致更糟的后果。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,56,——如果按照我自己的想法来做，也许会招致更糟的后果。,――自分の考えで動けば、もしかするともっと悪い結果になっていたかもしれない。,ニアール,True
name,我不擅长预见，不断战斗是我达到目的的方式。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,57,我不擅长预见，不断战斗是我达到目的的方式。,私は予測が得意じゃない。戦い続けることが自分の道だから。,ニアール,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,char_148_nearl_1#1,2,,,,,,,,,,,,58,,,,False
name,所以，阿米娅，你有自己解决危机的实力，而我只是履行了自己的职责。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,59,所以，阿米娅，你有自己解决危机的实力，而我只是履行了自己的职责。,だからアーミヤ、君には危機を乗り越える力がある。私は自分の役目を果たしただけだ。,ニアール,True
name,这是你通过自己的努力摘下的果实，再自信点。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,60,这是你通过自己的努力摘下的果实，再自信点。,君自身の努力で手にした成果なんだ。もっと自信を持ちなさい。,ニアール,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,char_148_nearl_1#1,1,,,,,,,,,,,,61,,,,False
name,临光小姐......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,62,临光小姐......,ニアールさん……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,char_148_nearl_1#6,2,,,,,,,,,,,,63,,,,False
name,嘿嘿。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,64,嘿嘿。,えへへ。,ニアール,True
character,,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,65,,,,False
name,你身边这位，就是博士了吧。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,66,你身边这位，就是博士了吧。,君のそばにいるのが、ドクターだろう？,ニアール,True
character,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,67,,,,False
name,是的。只是......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,68,是的。只是......,はい、そうです。ただ……,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,69,,,,False
name,——我们每遇到一个人就要和她说说博士失忆了的事，这也太麻烦了。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,70,——我们每遇到一个人就要和她说说博士失忆了的事，这也太麻烦了。,――会う人ごとにドクターが記憶を失ったことを説明するなんて、面倒だな。,ドーベルマン,True
character,,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,71,,,,False
name,博士吗......,,,,,,,,,,,,,临光,,,,,,,,,,,,,,72,博士吗......,ドクターか……,ニアール,True
character,,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,73,,,,False
name,我的一个朋友同样也失去了记忆，你一定会和她很合得来的。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,74,我的一个朋友同样也失去了记忆，你一定会和她很合得来的。,私の友人も記憶喪失だから、きっと君と気が合うと思う。,ニアール,True
name,毕竟对于你来说，没有什么比“现在”更重要了。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,75,毕竟对于你来说，没有什么比“现在”更重要了。,君にとって“今”ほど大事なものはないんだろうし。,ニアール,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,76,,,,False
name,嗯......嗯！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,77,嗯......嗯！,うん……うん！,アーミヤ,True
character,,,,,,,,,,,,,,char_148_nearl_1#1,,,,,,,,,,,,,,78,,,,False
name,走吧，各位。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,79,走吧，各位。,行こう、みんな。,ニアール,True
name,我们，还要把博士护送到罗德岛。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,80,我们，还要把博士护送到罗德岛。,ドクターをロドスまで護送しないと。,ニアール,True
blocker,,,,,,,,1,,,,,,,,,1,2,0,0,0,true,,,,,,81,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,82,,,,False
background,,,,,bg_cher_5,1,1,0,,,,,,,,,,,,,,,,,,,,83,,,,False
blocker,,,,,,,,1,,,,,,,,,0,2,0,0,0,true,,,,,,84,,,,False
character,,,,,,,,2,,,,,,char_1508_Faust_1,,,,,,,,true,,,,,,85,,,,False
name,对不起......我失手了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,86,对不起......我失手了。,すみません……失敗しました。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,char_1508_Faust_1,1,,,,,,,,,,,,87,,,,False
name,不，不要道歉。是我的错，我太冲动了。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,88,不，不要道歉。是我的错，我太冲动了。,いや、謝らないで。悪いのは僕だ、僕が焦りすぎた。,メフィスト,True
name,能帮我追踪罗德岛他们吗？我会去把情况通报给塔露拉姐姐。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,89,能帮我追踪罗德岛他们吗？我会去把情况通报给塔露拉姐姐。,ロドスたちの追跡、頼めるかい？僕はタルラ姉さんに報告しに行くよ。,メフィスト,True
name,她应该也已经压制住了切尔诺伯格的核心指挥塔。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,90,她应该也已经压制住了切尔诺伯格的核心指挥塔。,彼女もチェルノボーグの中枢司令塔を制圧したはずだ。,メフィスト,True
name,——就让她来决定这些虫子的生死吧。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,91,——就让她来决定这些虫子的生死吧。,――この虫けらたちの生死は、彼女に決めさせよう。,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,char_1508_Faust_1,2,,,,,,,,,,,,92,,,,False
name,......明白了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,93,......明白了。,……わかりました。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,char_1508_Faust_1,1,,,,,,,,,,,,94,,,,False
name,小心点，优先保护好自己，好吗？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,95,小心点，优先保护好自己，好吗？,気を付けて、まずは自分を守ってくれ、いい？,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,char_1508_Faust_1,2,,,,,,,,,,,,96,,,,False
name,......好。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,97,......好。,……はい。,ファウスト,True
blocker,,,,,,,,1,,,,,,,,,1,2,0,0,0,true,,,,,,98,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,99,,,,False
blocker,,,,,,,,1,,,,,,,,,0,2,0,0,0,true,,,,,,100,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,101,,,,False
name,......我的任务也完成了。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,102,......我的任务也完成了。,……僕の任務も完了した。,メフィスト,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,103,,,,False
name,同胞们，该走了。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,104,同胞们，该走了。,同志たち、行くぞ。,メフィスト,True
blocker,,,,,,,,3,,,,,,,,,1,,0,0,0,true,,,,,,105,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,106,,,,False
image,,,,,avg_ep00_2,,,3,,,,,,,,,,,,,,,0,0,1,1,coverall,107,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,false,,,,,,108,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#5,,,,,,,,,,,,,,109,,,,False
name,去迎接属于我们的时代吧！！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,110,去迎接属于我们的时代吧！！,我々の時代を迎えに行こう！！,メフィスト,True
delay,,,,,,,,,,,,,3,,,,,,,,,,,,,,,111,,,,False
blocker,,,,,,,,2,,,,,,,,,1,,0,0,0,true,,,,,,112,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,,,,,,,113,,,,False
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,114,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,115,,,,False
