command,text,name,focus,image,name2,jp_text,jp_name
name,呼，呼......这里是......我们准备迁移过来的地方。地方已经建好了......可是......,阿丽娜,,,,はぁ、はぁ……ここは……私たちが移住する予定だった場所です。場所はもうできているけど……でも……,アリーナ
character,,avg_npc_079#4,2,,avg_npc_078#4,,
name,他们......爷爷他......,塔露拉,,,,彼らが……おじいさんが……,タルラ
name,不能让他们再这么做.......不能让他们......,塔露拉,,,,彼らにこんなことをさせ続けてはいけません……絶対にさせません……,タルラ
character,,avg_npc_079#4,1,,avg_npc_078#4,,
name,他救了你，救了我，救了全村的人。,阿丽娜,,,,彼はあなたを救い、私を救い、村のみんなを救ったのよ。,アリーナ
name,你却......搅黄了老爸爸他的计划。,阿丽娜,,,,でもあなたは……おじいさんの計画を邪魔してしまったの。,アリーナ
character,,avg_npc_079#4,2,,avg_npc_078#4,,
name,你在说什么？那些村民，他们举报了——,塔露拉,,,,何を言っているのですか？その村人たちが、彼を密告した――,タルラ
name,......等等。你是说，举报爷爷他的，是......,塔露拉,,,,……待って。あなたが言いたいのは、密告したのは……,タルラ
character,,avg_npc_079#4,1,,avg_npc_078#4,,
name,是爷爷他自己。因为这样，纠察队就不会再查下去，情况理想的话，就是这样。,阿丽娜,,,,おじいさん自身なのよ。そうすればパトロール隊はもう調べに来ない。うまくいけば……そうなっていたはずなの。,アリーナ
name,你再有实力也对抗不了纠察队。,阿丽娜,,,,どんなに力があっても、パトロール隊には敵わないわ。,アリーナ
character,,avg_npc_079#4,2,,avg_npc_078#4,,
name,我能。,塔露拉,,,,私にはできます。,タルラ
character,,avg_npc_079#4,1,,avg_npc_078#4,,
name,这之后呢？要是宪兵来了呢？城市驻军和贵族老爷们的士兵来了呢？,阿丽娜,,,,その後は？憲兵が来たら？都市の駐屯軍や貴族の兵士たちが来たら？,アリーナ
character,,avg_npc_079#4,2,,avg_npc_078#4,,
name,我们只是没有足够的力量，等我们积攒了足够的实力......,塔露拉,,,,私たちにはまだ力が足りませんが、十分な力を蓄えれば……,タルラ
character,,avg_npc_079#4,2,,avg_npc_078#5,,
name,那并不对。不对，这事情不该这么看！,塔露拉,,,,それは違います。こんな見方をするのは間違いです！,タルラ
name,看着邪恶的事情在眼前发生却视而不见，只求自保，这并不对！,塔露拉,,,,目の前で悪事が行われても見て見ぬふりをして、自分だけ守ろうとするのは間違いです！,タルラ
name,......这是自私，甚至无情的行为。,塔露拉,,,,……これは利己的で、無慈悲な行為です。,タルラ
name,如果公义需要更多暴力才能伸张，那还怎么能被称得上是公义？,塔露拉,,,,もし正義にさらに多くの暴力が必要なら、それはもはや正義と呼べないのではありませんか？,タルラ
character,,avg_npc_079#4,1,,avg_npc_078#5,,
name,我还回答不了你这种问题，塔露拉。你读的书比我多，我知道的。,阿丽娜,,,,私はまだそんな答えは出せません、タルラ。あなたの方が本をたくさん読んでいるもの、私は知っています。,アリーナ
name,但这个村子今天已经死了一个人了。今天不应该再死更多人。,阿丽娜,,,,でもこの村では今日もう一人死んでいます。これ以上人が死んではいけません。,アリーナ
name,你是很聪明的，你能想明白。,阿丽娜,,,,あなたは賢い人です。きっとわかるはず。,アリーナ
name,走吧，塔露拉！,阿丽娜,,,,行きましょう、タルラ！,アリーナ
character,,avg_npc_079#4,2,,avg_npc_078#4,,
name,......我会回来。,塔露拉,,,,……私は戻ってきます。,タルラ
character,,avg_npc_079#4,1,,avg_npc_078#4,,
name,和自己说吧，塔露拉。和自己说。,阿丽娜,,,,自分に言い聞かせて、タルラ。自分に。,アリーナ
dialog,,,,,,,
blocker,,,,,,,
image,,,,,,,
dialog,,,,,,,
image,,,,,,,
