command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,option_number,index,text,jp_text,jp_name,text_match
name,你还要逼我多久！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,21,你还要逼我多久！,いつまで私を追い詰めるつもりだ！,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,,,,,,0,22,,,,False
name,先让你到安全的地方再说。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,23,先让你到安全的地方再说。,まずは君を安全な場所に連れていかないと。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,0,24,,,,False
name,不要靠近她，Guard！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,25,不要靠近她，Guard！,ガード、彼女に近寄らないで！,アーミヤ,True
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,,,,,,0,26,,,,False
name,我不会。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,27,我不会。,近寄らないよ。,ロドス近衛オペレーター？,True
name,......我知道事情很难解释。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,28,......我知道事情很难解释。,……事情が説明しづらいことは分かってる。,ロドス近衛オペレーター？,True
name,但我们最好都小心些。这个区域里所有的乌萨斯被动感染者......都过得非常糟。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,29,但我们最好都小心些。这个区域里所有的乌萨斯被动感染者......都过得非常糟。,だけど、みんな警戒していた方がいい。この区域のウルサスの受動感染者たちは……皆とてもひどい状況にある。,ロドス近衛オペレーター？,True
name,他们中的大多数已经处在精神崩溃的边缘......就只差有人推那么一下。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,30,他们中的大多数已经处在精神崩溃的边缘......就只差有人推那么一下。,彼らのほとんどが精神的に崩壊寸前だ……あとは誰かがちょっと押すだけで…,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_057,,,,,,,,,,,,0,31,,,,False
name,你把这叫做“糟”？你们这些杀人狂！你们这些肮脏的虐待狂！！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,32,你把这叫做“糟”？你们这些杀人狂！你们这些肮脏的虐待狂！！,これを『ひどい』っていうのか？お前らは殺人鬼だ！汚いサディストども！！,ウルサスの感染者,True
name,我也被......我也被你们弄成这样！变成这样！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,33,我也被......我也被你们弄成这样！变成这样！,私も……私もお前たちのせいでこうなったんだ！こんな風に！,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,,,,,,0,34,,,,False
name,但是，你再不走，就会被魔族人找到，然后丢给其他整合运动。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,35,但是，你再不走，就会被魔族人找到，然后丢给其他整合运动。,だけど、君がこのままなら、サーカズに見つかって、他のレユニオンの連中に引き渡されるぞ。,ロドス近衛オペレーター？,True
name,爱国者的部队已经被完全调出这个区域了。你被抓住，我就彻底没办法救你了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,36,爱国者的部队已经被完全调出这个区域了。你被抓住，我就彻底没办法救你了。,パトリオットの部隊は既にこのエリアから完全に引き上げられた。君が捕まれば、もう俺には救えない。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,2,,,,,,,,,,0,37,,,,False
name,那就让我死好了！就让我死在这片你们这些怪物横行的地上！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,38,那就让我死好了！就让我死在这片你们这些怪物横行的地上！,じゃあいっそ殺せ！この化け物どもが跋扈するこの大地で死なせてくれよ！,ウルサスの感染者,True
name,什么游击队，什么感染者的盾......他们有区别吗？和其他整合运动有区别吗？！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,39,什么游击队，什么感染者的盾......他们有区别吗？和其他整合运动有区别吗？！,"ゲリラだとか、感染者の盾だとか……何が違うんだ？他のレユニオンと違いなんてあるのか？！」},{",ウルサスの感染者,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,,,,,,0,40,,,,False
name,有。没有他们，我们都已经死了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,41,有。没有他们，我们都已经死了。,違いはある。彼らがいなかったら、俺たちは皆もう死んでいた。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,2,,,,,,,,,,0,42,,,,False
name,那你解释给我听，解释！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,43,那你解释给我听，解释！,じゃあ、私に説明してみろよ、説明して！,ウルサスの感染者,True
name,如果他们真的像你这几天说的那样只做对的事，为什么他们还呆在这整合运动？为什么他们会让这里变成这样？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,44,如果他们真的像你这几天说的那样只做对的事，为什么他们还呆在这整合运动？为什么他们会让这里变成这样？,もしあいつらが本当に、お前の言うように正しいことしかしていないなら、なんであいつらは今もレユニオンの中に残ってるんだ？なんでここがこんな風になったんだ？,ウルサスの感染者,True
name,为什么不反抗？为什么不出走？！为什么知道我们被杀，被亵渎，被报复却还是让这些事情发生？！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,45,为什么不反抗？为什么不出走？！为什么知道我们被杀，被亵渎，被报复却还是让这些事情发生？！,なんで反抗しないんだ？なんで出ていかない？！なんで私たちが殺されて、辱められて、報復されているのに何もしないんだ？！,ウルサスの感染者,True
name,你说的游击队为什么没和这些巡逻的魔族怪物厮杀？！为什么？！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,46,你说的游击队为什么没和这些巡逻的魔族怪物厮杀？！为什么？！,お前が言ってたゲリラはなぜこのパトロール中のサーカズの怪物と戦わない？！なんでだよ？！,ウルサスの感染者,True
name,我看着它们亲手，亲手......用手就扯掉了......我......,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,47,我看着它们亲手，亲手......用手就扯掉了......我......,私は見たんだ、奴らが自分の手で、手で……引き裂いて……私……,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,,,,,,0,48,,,,False
name,......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,49,......,……,ロドス近衛オペレーター？,True
name,爱国者看不见的地方太多了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,50,爱国者看不见的地方太多了。,パトリオットが見えていない所が多すぎる。,ロドス近衛オペレーター？,True
name,当需要爱国者指挥他的队伍才能捍卫其他人生存权利的时候，我就知道这里已经出了问题。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,51,当需要爱国者指挥他的队伍才能捍卫其他人生存权利的时候，我就知道这里已经出了问题。,パトリオットが部隊を指揮しなければ、他人の生存権すら守れなくなってる時点で、ここはもうおかしくなってるって分かってた。,ロドス近衛オペレーター？,True
name,即使如此......只要还有游击队会从这里走过，就不会有险恶的整合运动成员踏足这片区域。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,52,即使如此......只要还有游击队会从这里走过，就不会有险恶的整合运动成员踏足这片区域。,それでも……まだゲリラがここを通る限り、邪悪なレユニオンのメンバーはこの区域に足を踏み入れない。,ロドス近衛オペレーター？,True
name,这已经区别了暴徒和游击队战士。爱国者手下的，即使是萨卡兹，也比许多普通整合运动感染者更守规矩。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,53,这已经区别了暴徒和游击队战士。爱国者手下的，即使是萨卡兹，也比许多普通整合运动感染者更守规矩。,それが暴徒とゲリラ兵士の違いだ。パトリオットの部下なら、たとえサーカズでも、普通のレユニオン感染者よりずっと規律を守っている。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,2,,,,,,,,,,0,54,,,,False
name,那他们为什么不在这里？！为什么！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,55,那他们为什么不在这里？！为什么！,じゃあ、なんであいつらここにいないんだ？！どうしてだよ！,ウルサスの感染者,True
name,他们不在以后，剩下的那些感染者只是更残暴更恶劣地对待我们！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,56,他们不在以后，剩下的那些感染者只是更残暴更恶劣地对待我们！,"あいつらがいなくなったら、残った連中はもっと残忍でひどいことばかり私たちにしてくるだけだ！」},{",ウルサスの感染者,True
name,这不是他们的错吗？这不是游击队的错吗！没有游击队，他们就不会这么对我们了，对不对？！他们在报复游击队！！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,57,这不是他们的错吗？这不是游击队的错吗！没有游击队，他们就不会这么对我们了，对不对？！他们在报复游击队！！,これってやつらのせいじゃないか？ゲリラのせいだろ？！ゲリラがいなければ、こんな目にあわなかったんだよな？！やつらはゲリラに復讐してるんだ！！,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,,,,,,0,58,,,,False
name,你说得不对。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,59,你说得不对。,それは違う。,ロドス近衛オペレーター？,True
name,游击队做的没错。就像你自己也那么觉得......其他人有可能是在报复游击队。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,60,游击队做的没错。就像你自己也那么觉得......其他人有可能是在报复游击队。,ゲリラは間違ったことをしていない。君自身もそう思っているだろう……確かに、他の連中はゲリラに報復しようとしているかもしれない。,ロドス近衛オペレーター？,True
name,那整合运动报复游击队的原因，就只是因为游击队战士在捍卫你们的活下去的机会。只会如此。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,61,那整合运动报复游击队的原因，就只是因为游击队战士在捍卫你们的活下去的机会。只会如此。,レユニオンがゲリラに復讐する理由はただ一つ、ゲリラの兵士が君たちの生きる機会を守るために戦っているから。それだけだ。,ロドス近衛オペレーター？,True
name,不。游击队......甚至在捍卫你们的尊严。我亲眼看到。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,62,不。游击队......甚至在捍卫你们的尊严。我亲眼看到。,違う。ゲリラは……君たちの尊厳すら守っている。俺はこの目で見たんだ。,ロドス近衛オペレーター？,True
name,我看到那个战士命令其他整合运动喊你们名字，而不是数字。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,63,我看到那个战士命令其他整合运动喊你们名字，而不是数字。,その兵士が、他のレユニオンに君たちの名前を呼ばせて、番号では呼ばせなかったのを見た。,ロドス近衛オペレーター？,True
name,是不是？,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,64,是不是？,そうじゃないのか？,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,2,,,,,,,,,,0,65,,,,False
name,......,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,66,......,……,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,,,,,,0,67,,,,False
name,以及，游击队留下我们，就是为了在他们不在的时候帮助你们。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,68,以及，游击队留下我们，就是为了在他们不在的时候帮助你们。,それに、ゲリラが俺たちを残したのは、自分たちがいない時に、君たちを助けるためだ。,ロドス近衛オペレーター？,True
name,......整个切尔诺伯格已经被切割成了许多块。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,69,......整个切尔诺伯格已经被切割成了许多块。,……チェルノボーグ全体がいくつもの区域に分断されてしまった。,ロドス近衛オペレーター？,True
name,也许有些地方还驻扎着游击队员，但他们不在的地方......如果没人维持纪律，那么就只能靠我们......领你们活下去。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,70,也许有些地方还驻扎着游击队员，但他们不在的地方......如果没人维持纪律，那么就只能靠我们......领你们活下去。,場所によってはまだゲリラ兵がいるかもしれないが、彼らのいないところでは……規律を守る者がいなければ、俺たちが……君たちを生かしていくしかないんだ。,ロドス近衛オペレーター？,True
name,哪怕我们可能根本活不下去。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,71,哪怕我们可能根本活不下去。,たとえ俺たち自身の命がないかもしれなくても。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,,,,,,0,72,,,,False
name,阿米娅，我刚才说的，你相信吗？,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,73,阿米娅，我刚才说的，你相信吗？,アーミヤ、今言ったこと、信じてくれるか？,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,0,74,,,,False
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,75,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,,avg_npc_057,,,,,,,,,,,,0,76,,,,False
name,不！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,77,不！,いやだ！,ウルサスの感染者,True
name,卡特斯女孩，你看......你看！他是整合运动！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,78,卡特斯女孩，你看......你看！他是整合运动！,カータスの女の子、見て……見てよ！あいつはレユニオンだ！,ウルサスの感染者,True
name,你们难道要信整合运动吗？还有，我，我变成感染者就该信整合运动的胡说八道了吗？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,79,你们难道要信整合运动吗？还有，我，我变成感染者就该信整合运动的胡说八道了吗？,君たちはレユニオンなんて信じるつもり？それに、私……感染者になったからって、レユニオンのくだらない話を信じなきゃいけないの？,ウルサスの感染者,True
name,你看看，刚才你说那些要杀我们的，不也是整合运动？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,80,你看看，刚才你说那些要杀我们的，不也是整合运动？,見てよ、さっき君が言ってた、私たちを殺そうとするのもレユニオンでしょ？,ウルサスの感染者,True
name,我现在变成感染者，整合运动难道就待我更好了吗？所以我怎么知道你们谁是谁，你们谁要杀我！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,81,我现在变成感染者，整合运动难道就待我更好了吗？所以我怎么知道你们谁是谁，你们谁要杀我！,今は私も感染者だけど、レユニオンが私に優しくするってわけでもない！だから、君たちが誰で、誰が私を殺そうとしているか、私には分からないよ！,ウルサスの感染者,True
name,你们，整合运动，全都该......全都该......！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,82,你们，整合运动，全都该......全都该......！,お前たち、レユニオン、全部……みんな……！,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,83,,,,False
name,（阿米娅。）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,84,（阿米娅。）,（アーミヤ。）,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,char_002_amiya_1#6,2,,,,,,,,,,0,85,,,,False
name,（医生？）,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,86,（医生？）,（ドクター？）,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,87,,,,False
name,（接下来别冲动。）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,88,（接下来别冲动。）,（この後は冷静に。）,ケルシー,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
character,,,,,,1,true,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,90,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,91,,,,False
name,凯尔希？,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,92,凯尔希？,ケルシー？,ローズマリー,True
name,凯尔希，我们应该继续向上走。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,93,凯尔希，我们应该继续向上走。,ケルシー、私たちは上に進むべきです。,ローズマリー,True
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,,,,,,0,94,,,,False
name,......你......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,95,......你......,……君は……,ロドス近衛オペレーター？,True
name,怎么会是她......！怎么是她！,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,96,怎么会是她......！怎么是她！,どうして彼女なんだ……！なぜ彼女なんだ！,ロドス近衛オペレーター？,True
name,你们......要彻底消灭整合运动吗？！罗德岛也......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,97,你们......要彻底消灭整合运动吗？！罗德岛也......,君たちは……レユニオンを完全に消し去ろうとしているのか？！ロドスも……,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,98,,,,False
name,？,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,99,？,？,ローズマリー,True
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,,,,,,0,100,,,,False
name,......不管怎样！这附近的萨卡兹佣兵巡逻队，会在这个时间段经过这个仓库！,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,101,......不管怎样！这附近的萨卡兹佣兵巡逻队，会在这个时间段经过这个仓库！,……とにかく！このあたりのサーカズ傭兵のパトロール隊が、この時間帯にこの倉庫を通るんだ！,ロドス近衛オペレーター？,True
name,如果不处理他们，或者不躲好的话，很容易就会被他们发现，掳走......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,102,如果不处理他们，或者不躲好的话，很容易就会被他们发现，掳走......,やつらを何とかするか、ちゃんと隠れないと、簡単に見つかって連れ去られてしまう……,ロドス近衛オペレーター？,True
name,加上普通整合运动的巡逻队，我们只有一点点时间能出来寻找物资！,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,103,加上普通整合运动的巡逻队，我们只有一点点时间能出来寻找物资！,それに普通のレユニオンのパトロールも加えたら、物資を探しに出られる時間なんてほんのわずかしかない！,ロドス近衛オペレーター？,True
name,就因为这样，许多人食不果腹，还缺乏必要药品，死亡在切尔诺伯格的居民中蔓延。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,104,就因为这样，许多人食不果腹，还缺乏必要药品，死亡在切尔诺伯格的居民中蔓延。,だから多くの人が十分に食べ物を得られず、必要な薬も不足して、チェルノボーグの住民の間で死が広がっている。,ロドス近衛オペレーター？,True
name,阿米娅，凯尔希医生！还有......博士，如果可以的话，至少相信我这些话，至少我们先躲起来！,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,105,阿米娅，凯尔希医生！还有......博士，如果可以的话，至少相信我这些话，至少我们先躲起来！,"アーミヤ、ケルシー先生！そして……ドクター、よければ、せめてこの言葉だけは信じてくれ、まずは一緒に隠れよう！」},{",ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,0,106,,,,False
name,Guard......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,107,Guard......,ガード……,アーミヤ,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,108,,,,False
name,乌萨斯的感染者。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,109,乌萨斯的感染者。,ウルサスの感染者。,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_057,2,,,,,,,,,,0,110,,,,False
name,......,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,111,......,……,ウルサスの感染者,True
name,你在叫我？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,112,你在叫我？,私のことを呼んだの？,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_057,1,,,,,,,,,,0,113,,,,False
name,乌萨斯的感染者，我诚恳地向你咨询数个问题。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,114,乌萨斯的感染者，我诚恳地向你咨询数个问题。,ウルサスの感染者、いくつか真摯に質問させてほしい。,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_057,2,,,,,,,,,,0,115,,,,False
name,你，你的口音......你是从帝国首都来的？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,116,你，你的口音......你是从帝国首都来的？,あ、あなたの訛り……帝国の首都から来たのか？,ウルサスの感染者,True
name,但你的用词，好老旧......,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,117,但你的用词，好老旧......,でも、あなたの言葉はとても古い……,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_057,1,,,,,,,,,,0,118,,,,False
name,你受过高等教育。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,119,你受过高等教育。,あなたは高等教育を受けている。,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_057,2,,,,,,,,,,0,120,,,,False
name,......我以前是大学的抄写员。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,121,......我以前是大学的抄写员。,……私はもと大学の写字員だった。,ウルサスの感染者,True
name,现在，拜你们感染者所赐，一切都毁了。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,122,现在，拜你们感染者所赐，一切都毁了。,だけど今は、君たち感染者のせいで、全部めちゃくちゃになった。,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_057,1,,,,,,,,,,0,123,,,,False
name,那么，你信任你身后那位，曾经身为我们雇员的现整合运动感染者吗？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,124,那么，你信任你身后那位，曾经身为我们雇员的现整合运动感染者吗？,では、君の後ろの、かつて我々の雇い人だった今のレユニオンの感染者を信じているのか？,ケルシー,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,avg_npc_057,2,,,,,,,,,,0,125,,,,False
name,啊？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,126,啊？,えっ？,ウルサスの感染者,True
name,他......是你们的雇员？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,127,他......是你们的雇员？,彼……あなたたちの雇い人だったの？,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,128,,,,False
name,罗德岛在战斗状态中，有为无辜感染者处理生存问题的职能。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,129,罗德岛在战斗状态中，有为无辜感染者处理生存问题的职能。,ロドスは戦闘状況下でも、無実の感染者の生活を守る任務がある。,ケルシー,True
name,你是否无辜，我们尚无法判断......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,130,你是否无辜，我们尚无法判断......,君が無実かどうか、現時点では判断できない……,ケルシー,True
name,但是。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,131,但是。,だが。,ケルシー,True
blocker,,,,,,0.2,true,0.8,1,1,1,,,,,,,,,,,,,,,,,0,132,,,,False
camerashake,,,,,,,false,,,,,,,,,,,,1,10,12,30,90,true,,,,0,133,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0,134,,,,False
blocker,,,,,,0.5,true,0,0,0,0,,,,,,,,,,,,,,,,,0,135,,,,False
delay,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0,136,,,,False
name,————,,,,,,,,,,,,,,,Mon3tr,,,,,,,,,,,,0,137,————,————,Mon3tr,True
character,,,,,,,,,,,,,,,,avg_npc_057,,,,,,,,,,,,0,138,,,,False
camerashake,,,,,,,false,,,,,,,,,,,,0.4,0,8,30,30,true,,,,0,139,,,,False
name,啊！！！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,140,啊！！！,"ああっ！！！」},{",ウルサスの感染者,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,0,141,,,,False
name,凯尔希医生！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,142,凯尔希医生！,ケルシー先生！,アーミヤ,True
decision,你做什么！,,,,,,,,,,,,,,,,,,,,,,,,你做什么！,1,,1,143,你做什么！,"何をしているんだ！」},{",,True
