command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,block,index,text,jp_text,jp_name,text_match
name,她们正在跟踪这支整合运动，我们可以随她们的指引行动。,,,,,,,,,,,,,,阿米娅,,,,40,她们正在跟踪这支整合运动，我们可以随她们的指引行动。,彼女たちは今、レユニオンを追跡しています。私たちもその指示に従って行動できます。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,41,,,,False
name,可以啊。,,,,,,,,,,,,,,星熊,,,,42,可以啊。,いいね。,ホシグマ,True
name,老陈，你上次确实夸在点子上了。,,,,,,,,,,,,,,星熊,,,,43,老陈，你上次确实夸在点子上了。,チェン、お前は前にピッタリ褒めてたな。,ホシグマ,True
name,这些人很在行。,,,,,,,,,,,,,,星熊,,,,44,这些人很在行。,こいつらは本当に腕利きだ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,45,,,,False
name,陈长官......夸赞我们？,,,,,,,,,,,,,,阿米娅,,,,46,陈长官......夸赞我们？,チェン長官……私たちを褒めてくれてたんですか？,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,2,,47,,,,False
name,呵。,,,,,,,,,,,,,,陈,,,,48,呵。,ふっ。,チェン,True
name,星熊，召集近卫局所有小队，该行动了。,,,,,,,,,,,,,,陈,,,,49,星熊，召集近卫局所有小队，该行动了。,ホシグマ、近衛局の全隊を集めて、行動開始だ。,チェン,True
name,罗德岛，你们带路。,,,,,,,,,,,,,,陈,,,,50,罗德岛，你们带路。,ロドス、案内を頼む。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,51,,,,False
name,——了解。当然，整合运动似乎留下了一些断后的战斗人员。,,,,,,,,,,,,,,阿米娅,,,,52,——了解。当然，整合运动似乎留下了一些断后的战斗人员。,――了解です。ただ、レユニオンが後方に戦闘員を残しているようです。,アーミヤ,True
name,他们正埋伏在路线上——,,,,,,,,,,,,,,阿米娅,,,,53,他们正埋伏在路线上——,彼らは進路上に待ち伏せしています――,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,54,,,,False
name,这简单。,,,,,,,,,,,,,,星熊,,,,55,这简单。,それは簡単だ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,56,,,,False
name,嗯，我们只要小心谨慎地行动，就能发现他们的踪迹，先发制人。,,,,,,,,,,,,,,阿米娅,,,,57,嗯，我们只要小心谨慎地行动，就能发现他们的踪迹，先发制人。,うん、私たちが用心して進めば、彼らの痕跡を見つけて先手を打てます。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,58,,,,False
name,好！,,,,,,,,,,,,,,星熊,,,,59,好！,よし！,ホシグマ,True
name,就让我看看，罗德岛战斗起来是不是也一样内行！,,,,,,,,,,,,,,星熊,,,,60,就让我看看，罗德岛战斗起来是不是也一样内行！,じゃあ見せてもらおうか、ロドスが戦っても本当に腕利きか！,ホシグマ,True
delay,,,,,,,,,,,,,,0.6,,,,,61,,,,False
blocker,,,,,,,,,,,,,,,,,,true,62,,,,False
