command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,intro,volume,crossfade,delay,time,name,image,screenadapt,width,height,name2,focus,ease,x,y,xScale,yScale,index,text,jp_text,jp_name,text_match
name,记住，这是你的事，不是别人的。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,81,记住，这是你的事，不是别人的。,覚えておけ、これは君自身のことであって、他人のものじゃない。,チェン,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,2,,,,,,82,,,,False
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,83,......,......,アーミヤ,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,1,,,,,,84,,,,False
name,——罗德岛的小小的“领导人”。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,85,——罗德岛的小小的“领导人”。,――ロドスの小さな“リーダー”よ。,チェン,True
name,如果你已经真的做好了心理准备去背负这一切。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,86,如果你已经真的做好了心理准备去背负这一切。,すべてを背負う覚悟が本当にできたのなら。,チェン,True
name,做出你的选择，承担你选择的结果。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,87,做出你的选择，承担你选择的结果。,自分で選んで、その選択の結果を受け止めろ。,チェン,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,2,,,,,,88,,,,False
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,89,......,......,アーミヤ,True
name,谢谢你......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,90,谢谢你......,ありがとう……,アーミヤ,True
name,陈长官......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,91,陈长官......,チェン長官……,アーミヤ,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,1,,,,,,92,,,,False
name,......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,93,......,......,チェン,True
name,近卫局在清扫现场之后会进行修整，之后，我会联系那个医生的。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,94,近卫局在清扫现场之后会进行修整，之后，我会联系那个医生的。,近衛局は現場を片付けた後に再編成を行う。その後、あのドクターに連絡する。,チェン,True
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,95,,,,False
blocker,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,96,,,,False
blocker,,,,,0,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,97,,,,False
character,,,,,,,,,1,,,,,,,,,,,,,,,,,,,98,,,,False
delay,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,99,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,100,,,,False
name,博士，我们走吧。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,101,博士，我们走吧。,ドクター、行きましょう。,アーミヤ,True
delay,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,102,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,InOutCubic,,,,,103,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,104,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,105,,,,False
character,,,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,106,,,,False
name,啧，看来人的命运总是交织在一起。,,,,,,,,,,,,,,,W,,,,,,,,,,,,107,啧，看来人的命运总是交织在一起。,ちっ、人の運命はやっぱり絡み合ってるものね。,W,True
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,108,,,,False
name,互相牵绊，互相阻挠。再好的棋手都会被一些意外将了军。,,,,,,,,,,,,,,,W,,,,,,,,,,,,109,互相牵绊，互相阻挠。再好的棋手都会被一些意外将了军。,お互いに縛り合い、妨げ合う。どんな名手でも、思わぬ一手に詰まされるものよ。,W,True
name,算了，也不差。,,,,,,,,,,,,,,,W,,,,,,,,,,,,110,算了，也不差。,まあ、悪くないけど。,W,True
blocker,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,111,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,112,,,,False
image,,,,,,,,,0,,,,,,,,avg_ep03,coverall,,,,,,0,0,1,1,113,,,,False
blocker,,,,,0,,,,0.6,false,,,,,,,,,,,,,,,,,,114,,,,False
name,至少，之后的事情......还算值得期待，呵呵。,,,,,,,,,,,,,,,W,,,,,,,,,,,,115,至少，之后的事情......还算值得期待，呵呵。,少なくとも、これからは……ちょっと楽しみだわ、ふふっ。,W,True
delay,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,116,,,,False
blocker,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,117,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,118,,,,False
character,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,119,,,,False
blocker,,,,,,,,,,true,,,,,,,,,,,,,,,,,,120,,,,False
