command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,name,options,values,references,time,name2,focus,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
name,尽可能地让矿石病患者在罗德岛接受先进的抑制性治疗，同时减缓矿石病的扩散和发展，也一直是我们的行动标的。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,27,尽可能地让矿石病患者在罗德岛接受先进的抑制性治疗，同时减缓矿石病的扩散和发展，也一直是我们的行动标的。,ロドスで鉱石病患者が先進的な抑制治療を受けられるようにし、また鉱石病の拡散と進行を抑えることも、私たちの行動指針となってきました。,アーミヤ,True
name,可这远远不够。在这之前，感染者和普通人之间的矛盾正在不断加剧。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,28,可这远远不够。在这之前，感染者和普通人之间的矛盾正在不断加剧。,ですが、これは決して十分ではありません。その前に、感染者と一般の人々との対立はますます激しくなっています。,アーミヤ,True
name,敌视感染者的人不希望感染者得到救治，他们犯下的每一桩针对感染者的恶行，都增加了感染者与普通人间的不信任。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,29,敌视感染者的人不希望感染者得到救治，他们犯下的每一桩针对感染者的恶行，都增加了感染者与普通人间的不信任。,感染者を敵視する人たちは、感染者が救われることを望んでいません。彼らが感染者に対して働く悪行の一つ一つが、不信の溝をさらに深めています。,アーミヤ,True
name,而另外一些人，利用感染者，奴役感染者，感染者只是他们的利益牺牲品。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,30,而另外一些人，利用感染者，奴役感染者，感染者只是他们的利益牺牲品。,また別の人たちは、感染者を利用して、奴隷のように扱い、感染者を利益の犠牲にしています。,アーミヤ,True
name,有人仅仅因为我们在研发治疗矿石病的药物，就与我们敌对，甚至攻击我们......这样的事情，我们遭遇过。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,31,有人仅仅因为我们在研发治疗矿石病的药物，就与我们敌对，甚至攻击我们......这样的事情，我们遭遇过。,私たちが鉱石病治療薬を開発しているというだけで、敵意を向けたり、攻撃してくる人々もいます……そうした経験もありました。,アーミヤ,True
name,如果......如果我们研发出了药物，却再也没有机会将这种药物交付给感染者使用，那又会是什么样的光景？,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,32,如果......如果我们研发出了药物，却再也没有机会将这种药物交付给感染者使用，那又会是什么样的光景？,もし……もし私たちが薬を開発できたとしても、その薬を感染者に届けることができなくなったら、一体どんな未来が待っているでしょうか。,アーミヤ,True
name,我们的敌人远不仅仅是“矿石病”。我们也已经没办法从这场战争里安然脱身。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,33,我们的敌人远不仅仅是“矿石病”。我们也已经没办法从这场战争里安然脱身。,私たちの敵は『鉱石病』だけではありません。この戦争から、もはや平穏無事に抜け出すことはできないのです。,アーミヤ,True
name,两个星期前，整合运动与我们罗德岛发生了暴力冲突，有许多干员牺牲在了切尔诺伯格。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,34,两个星期前，整合运动与我们罗德岛发生了暴力冲突，有许多干员牺牲在了切尔诺伯格。,2週間前、レユニオン・ムーブメントとロドスの間で激しい衝突があり、多くのオペレーターがチェルノボーグで犠牲になりました。,アーミヤ,True
name,......这种事已经在我们的身边发生过太多次了。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,35,......这种事已经在我们的身边发生过太多次了。,……このような出来事は、既に何度も私たちの身近で起こっています。,アーミヤ,True
name,如果每一次的牺牲都迫使我们转身复仇，那我们就有无数的仇要去报，将有无数的人......会被杀死。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,36,如果每一次的牺牲都迫使我们转身复仇，那我们就有无数的仇要去报，将有无数的人......会被杀死。,もしそのたびごとに復讐の連鎖に走れば、私たちは無数の敵討ちをしなければならず、無数の人が……殺されてしまいます。,アーミヤ,True
name,被敌人杀死，被我们杀死。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,37,被敌人杀死，被我们杀死。,敵に殺され、また私たちも人を殺めることになるでしょう。,アーミヤ,True
name,我们与整合运动间的争执，本不该建立在仇恨上。在能与对方谈判的情况下，我们会要求对方为他们的行为作出解释，承担责任。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,38,我们与整合运动间的争执，本不该建立在仇恨上。在能与对方谈判的情况下，我们会要求对方为他们的行为作出解释，承担责任。,私たちがレユニオン・ムーブメントと争う理由は、憎しみではあってはなりません。交渉の余地があるなら、私たちは相手に説明と責任を求めます。,アーミヤ,True
name,但到现在为止，整合运动依然没有自他们的疯狂行为中清醒过来。现在，他们正操作着切尔诺伯格核心城，冲向龙门。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,39,但到现在为止，整合运动依然没有自他们的疯狂行为中清醒过来。现在，他们正操作着切尔诺伯格核心城，冲向龙门。,ですが今のところ、レユニオン・ムーブメントは自らの狂気から目覚めていません。今、彼らはチェルノボーグのコアシティを操り、龍門を目指しています。,アーミヤ,True
name,更诡异的是，乌萨斯并没有放弃对核心城的领土控制。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,40,更诡异的是，乌萨斯并没有放弃对核心城的领土控制。,さらに奇妙なのは、ウルサスがコアシティの領土権を手放そうとしていないことです。,アーミヤ,True
name,乌萨斯依然把切尔诺伯格核心城看做自己的领土，哪怕它现在被整合运动操控着，哪怕乌萨斯从来没有......,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,41,乌萨斯依然把切尔诺伯格核心城看做自己的领土，哪怕它现在被整合运动操控着，哪怕乌萨斯从来没有......,ウルサスは今もチェルノボーグのコアシティを自国の領土と見なしています。たとえ今、レユニオン・ムーブメントが操っていても、ウルサスは……,アーミヤ,True
name,哪怕乌萨斯从来没有对整个事件做出任何反应。切尔诺伯格这座城市里发生了种种可怕的事，乌萨斯帝国对此视而不见，也没有采取手段。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,42,哪怕乌萨斯从来没有对整个事件做出任何反应。切尔诺伯格这座城市里发生了种种可怕的事，乌萨斯帝国对此视而不见，也没有采取手段。,たとえウルサスがこれまで、この事件全体に一切反応を示していなくても。チェルノボーグで恐ろしい出来事が起こっても、ウルサス帝国は見て見ぬふりをしています。,アーミヤ,True
name,......那可是它们的国民。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,43,......那可是它们的国民。,……それは彼らの国民であるはずなのに。,アーミヤ,True
name,所以，我认为，这次冲突背后隐藏着乌萨斯的阴谋。核心城的冲撞一定会带来国家与国家的战争。一旦乌萨斯和炎开战——,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,44,所以，我认为，这次冲突背后隐藏着乌萨斯的阴谋。核心城的冲撞一定会带来国家与国家的战争。一旦乌萨斯和炎开战——,ですから私は、この衝突の裏にウルサスの陰謀があると考えています。コアシティの衝突は、必ず国家間の戦争を引き起こします。もしウルサスとヤンが戦争を始めたら――,アーミヤ,True
name,到那时候，做什么都太晚了。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,45,到那时候，做什么都太晚了。,その時になってしまっては、何をしても手遅れです。,アーミヤ,True
name,无论整合运动的背后有多少隐情、多少隐形的推力，无论罪魁祸首是谁，只有一个事实会被冷酷地摆在我们面前。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,46,,,,False
name,——“感染者挑发了这场战争。”,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,47,,,,False
name,无论谁赢得了战争的胜利，感染者都是仇恨矛头指向的目标。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,48,,,,False
name,感染者面临着的，是比现在更严苛的压迫，更加艰苦的生存环境，还有......永远无法被消解的仇恨。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,49,,,,False
name,那样的话，我们罗德岛根植的土壤就会消失。这片大地上的各个国家，将不允许我们治疗感染者，不允许他们获得正常的生活。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,50,,,,False
name,是的......这也是我们和矿石病的漫长战争中，无法逃避的一部分。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,51,,,,False
name,所以，罗德岛一直身在这场战争。这场战争，我们很难取胜。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,52,,,,False
name,就算这样，我们也不可能认输。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,53,,,,False
name,我们会用理智去对抗狂热，用巧妙的战术去战胜敌意，我们不可能放弃，因为我们没人希望最后只有一个不幸的结局等着我们。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,54,,,,False
name,所以，我们要阻止整合运动，我们要去阻止切尔诺伯格核心城与与龙门城的冲撞。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,55,,,,False
name,希望留舰的各位照顾好罗德岛。不管我们能不能回来，罗德岛都会坚持到最后。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,56,,,,False
name,嗯。一切照常运行。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,57,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
stopmusic,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,,,,False
blocker,,,,,1,0,0,0,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,61,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,62,,,,False
background,,,,,,,,,,,bg_bridge,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,63,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,,,,False
playmusic,,$dignified_loop,,,,,,,,,,,$dignified_intro,0.4,,,,,,,,,,,,,,,,,,,,,,0,65,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,66,,,,False
name,咻......,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,67,,,,False
decision,你演讲的样子很迷人。,,,,,,,,,,,,,,,,,,,,,,,,说得好！;......;你演讲的样子很迷人。,1;2;3,,,,,,,,,,3,68,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,说得好！;......;你演讲的样子很迷人。,1;2;3,,,,,,,,,,3,69,,,,False
decision,说得好！,,,,,,,,,,,,,,,,,,,,,,,,说得好！;......;你演讲的样子很迷人。,1;2;3,,,,,,,,,,3,70,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,71,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,0,72,,,,False
name,啊，嗯，谢谢博士夸奖！,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,73,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0,74,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,0,75,,,,False
name,唔，唔？博士，我脸上，有什么东西吗？不会是......面包屑吧？,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,76,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0,77,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#10,,,,,,,,,,,,0,78,,,,False
name,嗯！,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,79,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,0,80,,,,False
name,......嗯？！欸？！,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,81,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,0,82,,,,False
decision,会不会悲观了些？,,,,,,,,,,,,,,,,,,,,,,,,会不会悲观了些？,1,,,,,,,,,,1,83,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,84,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,85,,,,False
name,......嗯，也有干员以前和我们这么说过。他们说，在这个时候，要鼓励大家，激发他们的志气。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,86,,,,False
name,可是，我慢慢发现，我们并不是那种团体。我们没有那么、那么需要昂扬的斗志，我们需要的是，对自己行为的理解。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,87,,,,False
name,越是困难的时候，越应该把最真实的情况告诉大家，否则，我们的选择就会是盲目的。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,88,,,,False
name,有什么会比遮着眼睛在大地上行走更危险呢......？,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,89,,,,False
decision,我听说陈长官离开了龙门。,,,,,,,,,,,,,,,,,,,,,,,,我听说陈长官离开了龙门。,1,,,,,,,,,,1,90,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,91,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,92,,,,False
name,......是的。这次，陈长官应该会一个人潜入切尔诺伯格核心城。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,93,,,,False
name,龙门城，感染者，血缘关系......陈长官的身上纠结着许许多多的矛盾。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,94,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,0,95,,,,False
name,哪怕是这样沉重的负担，她也没有放弃，没有逃走，她带着它们走向了切尔诺伯格核心城。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,96,,,,False
name,背叛，离乡，死亡......她都不害怕。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,97,,,,False
name,博士，陈长官是感染者。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,98,,,,False
decision,我就知道是这样。,,,,,,,,,,,,,,,,,,,,,,,,什么？！;啊......;我就知道是这样。,1;2;3,,,,,,,,,,3,99,,,,False
decision,什么？！,,,,,,,,,,,,,,,,,,,,,,,,什么？！;啊......;我就知道是这样。,1;2;3,,,,,,,,,,3,100,,,,False
decision,啊......,,,,,,,,,,,,,,,,,,,,,,,,什么？！;啊......;我就知道是这样。,1;2;3,,,,,,,,,,3,101,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,0,102,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,103,,,,False
name,是。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,104,,,,False
name,博士，我们罗德岛去核心城的同时，也会尽力去援助她。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,105,,,,False
name,不仅是因为她......不仅是因为陈长官已经算是我们的朋友，也并不完全因为这是龙门某位人物的私人委托。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,106,,,,False
name,陈长官不会独自面对整合运动。我们会和她一起。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,107,,,,False
name,她努力去维护的东西，她苦熬至今的沉默......我们去帮助她，是为了我们愿望里相似的部分。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,108,,,,False
decision,我以为你会有点害怕那个铁娘子。,,,,,,,,,,,,,,,,,,,,,,,,太好心了点吧？;......;我以为你会有点害怕那个铁娘子。,1;2;3,,,,,,,,,,3,109,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,太好心了点吧？;......;我以为你会有点害怕那个铁娘子。,1;2;3,,,,,,,,,,3,110,,,,False
decision,太好心了点吧？,,,,,,,,,,,,,,,,,,,,,,,,太好心了点吧？;......;我以为你会有点害怕那个铁娘子。,1;2;3,,,,,,,,,,3,111,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,0,112,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,0,113,,,,False
name,唉，哈哈，博士的表情......真有趣。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,114,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,115,,,,False
name,我以前怀疑过陈长官她，也想着她是我们无法改变的那种人。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,116,,,,False
name,但是，当她向感染者伸出援手的时候，我看到了，我看到了她心灵的颜色。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,117,,,,False
decision,这样的形容挺有趣的。,,,,,,,,,,,,,,,,,,,,,,,,我头次听这种说法。;......;这样的形容挺有趣的。,1;2;3,,,,,,,,,,3,118,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,我头次听这种说法。;......;这样的形容挺有趣的。,1;2;3,,,,,,,,,,3,119,,,,False
decision,我头次听这种说法。,,,,,,,,,,,,,,,,,,,,,,,,我头次听这种说法。;......;这样的形容挺有趣的。,1;2;3,,,,,,,,,,3,120,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,0,121,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,0,122,,,,False
name,呃，唔，就，就是一种形容啦！,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,123,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,124,,,,False
name,我也不知道怎么和别人描述我看到的东西......直接传输给别人也很不礼貌。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,125,,,,False
name,但在移动城市中保护感染者，坚持这种信念是一件......壮举。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,126,,,,False
name,陈长官绝不是一个冷血无情的人。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,127,,,,False
name,也许她铁面无私，但正因为如此，她的正义感会促使她起身与灰暗的大地战斗。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,128,,,,False
name,即使她从来都不这么说。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,129,,,,False
name,所以，我们要去。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,130,,,,False
decision,也有人希望我去阻止整合运动。,,,,,,,,,,,,,,,,,,,,,,,,没问题，我也和人约好了要去！;好。;也有人希望我去阻止整合运动。,1;2;3,,,,,,,,,,3,131,,,,False
decision,没问题，我也和人约好了要去！,,,,,,,,,,,,,,,,,,,,,,,,没问题，我也和人约好了要去！;好。;也有人希望我去阻止整合运动。,1;2;3,,,,,,,,,,3,132,,,,False
decision,好。,,,,,,,,,,,,,,,,,,,,,,,,没问题，我也和人约好了要去！;好。;也有人希望我去阻止整合运动。,1;2;3,,,,,,,,,,3,133,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,0,134,,,,False
name,......博士，难道是在说......,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,135,,,,False
name,啊......,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,136,,,,False
name,......霜星小姐......,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,137,,,,False
name,......对。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,138,,,,False
name,还有，米莎。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,139,,,,False
name,如果我们还能做些什么，能阻止米莎悲剧的重演，能宽慰霜星小姐和她的战士们，还有什么......,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,140,,,,False
name,还有什么是能帮助到更多人，阻止这片大地生产更多悲哀的事，我们去做。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,141,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,142,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,143,,,,False
playsound,,$dooropenquite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,144,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,145,,,,False
character,,,,,,,,,1,true,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,146,,,,False
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,147,,,,False
name,资料已经发给两位了。,,,,,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,148,,,,False
name,接下来，将是我们三个人第一次共同指挥。,,,,,,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,149,,,,False
