command,text,name,image,jp_text,jp_name
character,,,,,
name,哇，姐姐力气还蛮大的呢！谢谢姐姐！,孩童,,わあ、お姉さん力持ちだね！ありがとう！」,子供
character,,char_002_amiya_1,,,
name,可是......这个留声机......还是坏了啊。,阿米娅,,でも……この蓄音機……やっぱり壊れていますね。,アーミヤ
character,,,,,
name,没关系！因为它最开始就是坏的呢。,孩童,,大丈夫！もともと壊れてたからね。,子供
name,总有一天可以修好的。我给大家收集了不少唱片，虽然从来都没听过——,孩童,,いつか直せるよ。みんなのためにレコードもたくさん集めたんだ。まだ一度も聴いたことないけど——,子供
name,————但总有一天，我会给大家放的！,孩童,,———でもいつか、みんなに聴かせてあげるよ！」,子供
character,,char_002_amiya_1,,,
name,......,阿米娅,,......,
name,......如此轻松的说着这些艰难的话......,阿米娅,,……こんなにも難しいことを、こんなに簡単に言えるなんて……,アーミヤ
name,......我到底是为了什么......又能做什么......,阿米娅,,……私は何のために……そして何ができるのでしょうか……,アーミヤ
character,,,,,
name,姐姐不怕我吗？,孩童,,お姉さん、僕のこと怖くないの？,子供
character,,char_002_amiya_1,,,
name,......怕什么？,阿米娅,,……何を怖がればいいんですか？,アーミヤ
character,,,,,
name,我可是感染者哦！,孩童,,僕は感染者だよ！」,子供
character,,char_002_amiya_1#2,,,
name,哈哈......我也是呀。,阿米娅,,ふふ……私もですよ。,アーミヤ
character,,,,,
name,什么！太可惜了，姐姐长得这么可爱，居然是感染者......！,孩童,,えっ！残念だよ、お姉さん、こんなに可愛いのに感染者なんて……！」,子供
character,,char_002_amiya_1#6,,,
name,——,阿米娅,,——,アーミヤ
character,,char_002_amiya_1#3,,,
name,感染者不是什么问题。无论是健康人还是感染者——,阿米娅,,感染者であることは問題ではありません。健常者でも感染者でも——,アーミヤ
name,你如果是个好孩子，就一直是个好孩子哦。,阿米娅,,あなたがいい子なら、ずっといい子のままですよ。,アーミヤ
character,,,,,
name,唉——？我听不懂呢......,孩童,,えぇ——？わかんないよ……,子供
name,（咕噜......）,孩童,,（ぐるる……）,子供
character,,char_002_amiya_1,,,
name,......饿了吗？,阿米娅,,……お腹が空きましたか？,アーミヤ
character,,,,,
name,......嗯......,孩童,,……うん……,子供
character,,char_002_amiya_1,,,
name,......给，我只带了这些。,阿米娅,,……どうぞ、これしか持ってきていませんが。,アーミヤ
character,,,,,
name,太好了！谢谢你，兔姐姐！,孩童,,やった！ありがとう、うさぎお姉さん！」,子供
name,不过你.....为什么来这里？,孩童,,でも、お姉さん……どうしてここに来たの？」,子供
character,,char_002_amiya_1#4,,,
name,我......,阿米娅,,私は……,アーミヤ
blocker,,,,,
name,因为......,阿米娅,,それは……,アーミヤ
character,,char_002_amiya_1#10,,,
name,因为我答应过一个人。,阿米娅,,私、ある人と約束をしたからです。,アーミヤ
dialog,,,,,
delay,,,,,
character,,,,,
blocker,,,,,
name,姐姐再见！！,孩童,,お姉さん、またね！！,子供
character,,char_002_amiya_1#3,,,
name,好的，再见！,阿米娅,,はい、さようなら！」,アーミヤ
character,,char_002_amiya_1,,,
name,......,阿米娅,,......,
character,,char_002_amiya_1#4,,,
name,......,阿米娅,,......,
blocker,,,,,
stopmusic,,,,,
name,就连那样的孩子，最后，最后也只会......,阿米娅,,あんな子でさえ、最後には、最後にはきっと……,アーミヤ
,被剥夺了身份的人。感染者。你们早已不是人。,,,身分を奪われた者たち。感染者。お前たちはとっくに人間ではない。,
name,我能做什么呢，我又能，再多做些什么呢......,阿米娅,,私は何ができるのでしょうか、もっと何かできることがあるのでしょうか……,アーミヤ
name,为什么......我不能保护大家呢......,阿米娅,,なぜ……私はみんなを守れないのでしょうか……,アーミヤ
,你不能。,,,あなたはできません。,
name,不......我......,阿米娅,,違います……私は……,アーミヤ
,饥荒......迫害......死亡......,,,飢饉……迫害……死亡……,
,感染者终究只有这样的结局。,,,感染者の結末は結局このようなものだ。,
name,不是这样的......,阿米娅,,そんなはずはありません……,アーミヤ
name,只要罗德岛还在为了感染者.....,阿米娅,,ロドスが感染者のために……,アーミヤ
,你只是少数幸运儿。,,,あなたはほんの一握りの幸運な人です。,
name,不，所有人都聚在一起，向着共同的目标，不断地努力。,阿米娅,,いいえ、みんなが一丸となって、共通の目標に向かって努力し続けています。,アーミヤ
,这片大地已经麻木。,,,この大地はすでに麻痺している。,
name,还没有......,阿米娅,,まだです……,アーミヤ
name,感染者绝不能就此陷入绝望......,阿米娅,,感染者は決してここで絶望してはいけません……,アーミヤ
,你。,,,あなた。,
,被愤怒吞噬吧。,,,怒りに飲み込まれてしまえ。,
,只有———————,,,だけ———————,
playmusic,,,,,
name,我......,阿米娅,,私は……,
name,不......我不会......,阿米娅,,違います……私はそんなことしません……,アーミヤ
name,我答应过......,阿米娅,,私は約束しました……,アーミヤ
name,我答应过她——！,阿米娅,,あの人と約束したんです——！」,アーミヤ
dialog,,,,,
blocker,,,,,
delay,,,,,
background,,,,,
blocker,,,,,
character,,char_002_amiya_1,,,
name,......嗯？,阿米娅,,……ん？,アーミヤ
name,那是......?,阿米娅,,あれは……？,アーミヤ
delay,,,,,
blocker,,,,,
image,,,avg_31_1,,
imagetween,,,avg_31_1,,
name,一个姐姐和我说过，这个布偶，只有亲手做的才有用。,小女孩,,お姉さんが言ってたけど、このぬいぐるみは自分で作ると意味があるんだって。,少女
name,所以所以，这个送给你！,小女孩,,だから、これあげるね！」,少女
name,——————。,另一个少女的声音,,——————。,もう一人の少女の声
dialog,,,,,
blocker,,,,,
character,,char_002_amiya_1,,,
name,刚才那个声音是 ......？,阿米娅,,今の声は……？,アーミヤ
character,,,,,
delay,,,,,
name,！,阿米娅,,！,アーミヤ
name,那个背影————,阿米娅,,あの後ろ姿———,アーミヤ
blocker,,,,,
image,,,avg_31_2,,
blocker,,,,,
imagetween,,,avg_31_2,,
name,是陈小姐？,阿米娅,,チェンさんですか？」,アーミヤ
dialog,,,,,
name,——————。,小女孩,,——————。,
name,————————————。,小女孩,,————————————。,少女
name,——————————————————————————！,小女孩,,——————————————————————————！」,少女
name,————————！,小女孩,,————————！」,少女
name,——————。,另一个少女的声音,,——————。,
dialog,,,,,
delay,,,,,
image,,,,,
character,,char_010_chen_1,,,
name,......！,陈,,……！」,チェン
character,,,,,
blocker,,,,,
name,......,阿米娅,,......,
dialog,,,,,
blocker,,,,,
delay,,,,,
background,,,bg_lungmen_r,,
character,,char_010_chen_1,,,
name,......,陈,,......,
character,,char_002_amiya_1,,,
name,陈长官......,阿米娅,,チェン長官……,アーミヤ
character,,char_010_chen_1,,,
name,............,陈,,............,チェン
background,,,,,
blocker,,,,,
character,,,,,
image,,,avg_31_4,,
blocker,,,,,
name,......,阿米娅,,......,
name,陈长官，你来这里是要做什么？,阿米娅,,チェン長官、ここで何をしに来たんですか？,アーミヤ
name,我以为......,阿米娅,,私は……,アーミヤ
name,不关你的事。,陈,,君には関係ない。」,チェン
dialog,,,,,
blocker,,,,,
name,龙门的事情，我会处理。,陈,,龍門のことは私が対処する。」,チェン
name,......,阿米娅,,......,
dialog,,,,,
delay,,,,,
blocker,,,,,
image,,,,,
background,,,bg_lungmen_r,,
blocker,,,,,
character,,char_002_amiya_1,,,
name,......,阿米娅,,......,
name,陈长官......,阿米娅,,チェン長官……,
dialog,,,,,
blocker,,,,,
character,,,,,
image,,,avg_31_3,,
blocker,,,,,
delay,,,,,
name,这是我第一次看到......,阿米娅,,こんな姿を見たのは初めてです……,アーミヤ
name,她是那样的眼神......,阿米娅,,あんな表情で……,アーミヤ
delay,,,,,
dialog,,,,,
blocker,,,,,
image,,,,,
